general_pl,city_name,id,Zoning
R-3,albany,0,2
R-1,albany,1,1
SC,albany,2,0
CMX,albany,3,0
CMX,albany,4,0
CMX,albany,5,0
CMX,albany,6,0
CMX,albany,7,0
PF,albany,8,0
PF,albany,9,0
R-2,albany,10,2
PF,albany,11,0
PF,albany,12,0
PF,albany,13,0
PF,albany,14,0
PF,albany,15,0
PF,albany,16,0
PF,albany,17,0
PF,albany,18,0
R-1,albany,19,1
R-1,albany,20,1
R-1,albany,21,1
R-1,albany,22,1
R-1,albany,23,1
R-1,albany,24,1
R-1,albany,25,9
R-1,albany,26,1
R-1,albany,27,1
R-1,albany,28,1
R-1,albany,29,1
R-1,albany,30,1
R-1,albany,31,1
R-1,albany,32,1
R-1,albany,33,1
R-1,albany,34,9
R-1,albany,35,1
R-1,albany,36,1
R-1,albany,37,9
R-1,albany,38,9
R-1,albany,39,1
R-1,albany,40,9
R-1,albany,41,1
R-1,albany,42,1
R-1,albany,43,1
R-1,albany,44,1
R-1,albany,45,1
R-1,albany,46,1
R-1,albany,47,1
R-1,albany,48,1
R-1,albany,49,1
R-1,albany,50,1
R-1,albany,51,1
R-1,albany,52,1
R-1,albany,53,1
R-1,albany,54,1
R-3,albany,55,2
R-1,albany,56,9
R-1,albany,57,9
R-1,albany,58,1
R-1,albany,59,1
R-1,albany,60,1
R-1,albany,61,1
R-1,albany,62,1
R-1,albany,63,1
R-1,albany,64,1
R-1,albany,65,1
R-1,albany,66,9
R-1,albany,67,1
R-1,albany,68,1
R-1,albany,69,1
R-1,albany,70,1
R-1,albany,71,1
R-1,albany,72,1
R-1,albany,73,1
R-1,albany,74,1
R-1,albany,75,1
R-1,albany,76,1
R-1,albany,77,1
R-1,albany,78,1
R-1,albany,79,1
R-1,albany,80,1
R-1,albany,81,1
R-1,albany,82,1
R-1,albany,83,1
R-1,albany,84,1
R-1,albany,85,1
R-1,albany,86,1
R-1,albany,87,1
R-1,albany,88,1
R-1,albany,89,1
R-1,albany,90,1
R-1,albany,91,1
R-1,albany,92,1
R-1,albany,93,1
R-1,albany,94,1
R-1,albany,95,1
R-1,albany,96,1
R-1,albany,97,1
R-1,albany,98,1
R-1,albany,99,1
R-1,albany,100,1
R-1,albany,101,1
R-1,albany,102,1
R-1,albany,103,1
R-1,albany,104,1
R-1,albany,105,1
R-1,albany,106,1
R-1,albany,107,1
R-1,albany,108,1
R-1,albany,109,1
R-1,albany,110,1
R-1,albany,111,1
R-1,albany,112,1
R-1,albany,113,1
R-1,albany,114,1
R-1,albany,115,1
R-1,albany,116,1
R-1,albany,117,1
R-1,albany,118,1
R-1,albany,119,1
R-1,albany,120,1
R-1,albany,121,1
R-1,albany,122,1
R-1,albany,123,1
R-1,albany,124,1
R-1,albany,125,1
R-1,albany,126,1
R-1,albany,127,1
R-1,albany,128,1
R-1,albany,129,1
R-1,albany,130,9
R-1,albany,131,1
R-1,albany,132,1
R-1,albany,133,1
R-1,albany,134,1
R-1,albany,135,1
R-1,albany,136,1
R-1,albany,137,1
R-1,albany,138,1
R-1,albany,139,1
R-1,albany,140,1
R-1,albany,141,1
R-1,albany,142,1
R-1,albany,143,1
R-1,albany,144,1
R-1,albany,145,1
R-1,albany,146,9
R-1,albany,147,1
R-1,albany,148,1
R-1,albany,149,1
R-1,albany,150,9
R-1,albany,151,1
R-2,albany,152,2
R-2,albany,153,2
R-2,albany,154,2
R-2,albany,155,2
R-2,albany,156,2
R-2,albany,157,2
R-2,albany,158,2
R-2,albany,159,2
R-2,albany,160,2
R-2,albany,161,2
R-2,albany,162,2
R-2,albany,163,2
R-2,albany,164,2
R-2,albany,165,2
R-2,albany,166,2
R-2,albany,167,2
R-2,albany,168,2
R-2,albany,169,2
R-2,albany,170,2
R-2,albany,171,2
R-2,albany,172,2
R-2,albany,173,2
R-2,albany,174,2
R-3,albany,175,2
R-3,albany,176,2
R-3,albany,177,2
R-3,albany,178,2
R-3,albany,179,2
R-3,albany,180,2
R-3,albany,181,2
R-3,albany,182,2
R-3,albany,183,2
R-3,albany,184,2
R-3,albany,185,2
R-3,albany,186,2
R-3,albany,187,2
R-3,albany,188,2
R-3,albany,189,2
R-3,albany,190,2
R-3,albany,191,2
R-3,albany,192,2
PF,albany,193,0
R-3,albany,194,2
R-3,albany,195,2
RHD,albany,196,1
RHD,albany,197,1
RHD,albany,198,1
RHD,albany,199,1
RHD,albany,200,1
SC,albany,201,0
SC,albany,202,0
SC,albany,203,0
SC,albany,204,0
SC,albany,205,0
SC,albany,206,0
SC,albany,207,0
SC,albany,208,0
SC,albany,209,0
SC,albany,210,0
SC,albany,211,0
SC,albany,212,0
SC,albany,213,0
SC,albany,214,0
SC,albany,215,0
SC,albany,216,0
SC,albany,217,0
SC,albany,218,0
SC,albany,219,0
SC,albany,220,0
SC,albany,221,0
SC,albany,222,0
SC,albany,223,0
SC,albany,224,0
SC,albany,225,0
SC,albany,226,0
SC,albany,227,0
SC,albany,228,0
SC,albany,229,0
SPC,albany,230,0
SPC,albany,231,0
SPC,albany,232,0
SPC,albany,233,0
SPC,albany,234,0
SPC,albany,235,0
SPC,albany,236,0
SPC,albany,237,0
SPC,albany,238,0
SPC,albany,239,0
SPC,albany,240,0
SPC,albany,241,0
U,albany,242,9
U,albany,243,9
U,albany,244,9
U,albany,245,9
U,albany,246,9
U,albany,247,9
U,albany,248,9
U,albany,249,9
U,albany,250,9
U,albany,251,9
U,albany,252,9
U,albany,253,9
U,albany,254,9
U,albany,255,9
U,albany,256,9
U,albany,257,9
U,albany,258,9
U,albany,259,9
U,albany,260,9
U,albany,261,9
U,albany,262,9
U,albany,263,9
U,albany,264,9
U,albany,265,9
U,albany,266,9
U,albany,267,9
U,albany,268,9
U,albany,269,9
U,albany,270,9
U,albany,271,9
U,albany,272,9
U,albany,273,9
U,albany,274,9
U,albany,275,9
U,albany,276,0
U,albany,277,0
U,albany,278,0
U,albany,279,0
U,albany,280,9
U,albany,281,9
U,albany,282,9
U,albany,283,9
U,albany,284,9
U,albany,285,9
U,albany,286,9
