ZN_ID,GP_DESG,FILENUM,OTHER,ACRES,CHANGED,LABCLAS,ZNPROP,ZNEX,ZNEXUPD,T_GP,LABEL_F,ZNPROPD,T_hndlb,Cannabs,gnrl_p_,id,edt_g__,zoning
3,OS,NA,NA,1.305,N,Small,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,1,Open Space/Public Use District,0
4,PI,NA,NA,11.52,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),2,Single-Family Residential District (6 du/acre),1
5,PI,NA,NA,15.156,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),3,Single-Family Residential District (6 du/acre),1
6,PI,NA,NA,9.986,N,Medium,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),4,Single-Family Residential District (6 du/acre),1
7,PI,NA,NA,11.681,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),5,Single-Family Residential District (6 du/acre),1
8,NA,81-8,Park,17.497,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,6,Planned Development District_NonRes,0
9,NA,NA,NA,2.473,Y,Medium,C-2,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,7,Professional Office District,0
10,OS,NA,NA,3.004,Y,Medium,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,8,Open Space/Public Use District,0
11,OS,NA,NA,6.156,Y,Medium,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,9,Open Space/Public Use District,0
12,OS,NA,NA,16.716,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),10,Single-Family Residential District (6 du/acre),1
13,NA,NA,(C-2),2.263,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,11,Planned Development District_NonRes,0
15,NA,80-2,NA,19.97,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,12,Planned Development District_NonRes,0
16,OS,NA,NA,9.214,Y,Medium,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,13,Open Space/Public Use District,0
