gnrl_p_,id,zoning
801 - Commercial - Business and Professional,0,0
801 - Commercial - Business and Professional,1,0
801 - Commercial - Business and Professional,2,0
801 - Commercial - Business and Professional,3,0
801 - Commercial - Business and Professional,4,0
801 - Commercial - Business and Professional,5,0
801 - Commercial - Business and Professional,6,0
801 - Commercial - Business and Professional,7,0
801 - Commercial - Community,8,0
801 - Commercial - Community,9,0
801 - Commercial - Community,10,0
801 - Commercial - Community,11,0
801 - Commercial - Community,12,0
801 - Commercial - Community,13,0
801 - Commercial - Downtown,14,0
801 - Commercial - Downtown,15,0
801 - Commercial - Downtown,16,0
801 - Commercial - Downtown,17,0
801 - Commercial - Downtown,18,0
801 - Commercial - Downtown,19,0
801 - Commercial - Downtown,20,0
801 - Commercial - Downtown,21,0
801 - Commercial - Downtown,22,0
801 - Commercial - Downtown,23,0
801 - Commercial - Downtown,24,0
801 - Commercial - Downtown,25,0
801 - Commercial - Downtown,26,0
801 - Commercial - Downtown,27,0
801 - Commercial - Downtown,28,0
801 - Commercial - Downtown,29,0
801 - Commercial - Downtown,30,0
801 - Commercial - Downtown,31,0
801 - Commercial - Downtown,32,0
801 - Commercial - Downtown,33,0
801 - Commercial - Downtown,34,0
801 - Commercial - Downtown,35,0
801 - Commercial - Downtown,36,0
801 - Commercial - Downtown,37,0
801 - Commercial - Downtown,38,0
801 - Commercial - Downtown,39,0
801 - Commercial - Downtown,40,0
801 - Commercial - Downtown,41,0
801 - Commercial - Downtown,42,0
801 - Commercial - Downtown,43,0
801 - Commercial - Downtown,44,0
801 - Commercial - General,45,0
801 - Commercial - General,46,0
801 - Commercial - General,47,0
801 - Commercial - General,48,0
801 - Commercial - General,49,0
801 - Commercial - General,50,0
801 - Commercial - General,51,0
801 - Commercial - General,52,0
801 - Commercial - General,53,0
801 - Commercial - General,54,0
801 - Commercial - General,55,0
801 - Commercial - General,56,0
801 - Commercial - General,57,0
801 - Commercial - General,58,0
801 - Commercial - General,59,0
801 - Commercial - General,60,0
801 - Commercial - General,61,0
801 - Commercial - General,62,0
801 - Commercial - General,63,0
801 - Commercial - General,64,0
801 - Commercial - General,65,0
801 - Commercial - General,66,0
801 - Commercial - General,67,0
801 - Commercial - General,68,0
801 - Commercial - General,69,0
801 - Commercial - General,70,0
801 - Commercial - General,71,0
801 - Commercial - Waterfront,72,0
801 - Industrial - General,73,0
801 - Industrial - General,74,0
801 - Industrial - General,75,0
801 - Industrial - General,76,0
801 - Industrial - General,77,0
801 - Industrial - General,78,0
801 - Industrial - General,79,0
801 - Industrial - General,80,0
801 - Industrial - General,81,0
801 - Industrial - General,82,0
801 - Industrial - General,83,0
801 - Industrial - General,84,0
801 - Industrial - General,85,0
801 - Industrial - General,86,0
801 - Industrial - General,87,0
801 - Industrial - General,88,0
801 - Industrial - General,89,0
801 - Industrial - General,90,0
801 - Industrial - General,91,0
801 - Industrial - General,92,0
801 - Industrial - Limited,93,0
801 - Industrial - Limited,94,0
801 - Industrial - Limited,95,0
801 - Industrial - Limited,96,0
801 - Industrial - Limited,97,0
801 - Industrial - Limited,98,0
801 - Industrial - Limited,99,0
801 - Industrial - Limited,100,0
801 - Industrial - Limited,101,0
801 - Industrial - Limited,102,0
801 - Industrial - Limited,103,0
801 - Industrial - Limited,104,0
801 - Industrial - Limited,105,0
801 - Industrial - Limited,106,0
801 - Industrial - Limited,107,0
801 - Industrial - Limited,108,0
801 - Industrial - Waterfront,109,0
801 - Industrial - Waterfront,110,0
801 - Industrial - Waterfront,111,0
801 - Industrial - Waterfront,112,0
801 - Industrial - Waterfront,113,0
801 - Mixed Use - Downtown,114,2
801 - Mixed Use - Downtown,115,2
801 - Mixed Use - Downtown,116,2
801 - Mixed Use - Downtown,117,2
801 - Mixed Use - Downtown,118,2
801 - Mixed Use - Downtown,119,2
801 - Mixed Use - Downtown,120,2
801 - Mixed Use - Downtown,121,2
801 - Mixed Use - Downtown,122,2
801 - Mixed Use - Downtown,123,2
801 - Mixed Use - Downtown,124,2
801 - Mixed Use - Downtown,125,2
801 - Mixed Use - Downtown,126,2
801 - Mixed Use - Downtown,127,2
801 - Mixed Use - Downtown,128,2
801 - Mixed Use - Downtown,129,2
801 - Mixed Use - Downtown,130,2
801 - Mixed Use - Downtown,131,2
801 - Mixed Use - Downtown,132,2
801 - Mixed Use - Downtown,133,2
801 - Mixed Use - Downtown,134,2
801 - Mixed Use - Downtown,135,2
801 - Mixed Use - Downtown,136,2
801 - Mixed Use - Downtown,137,2
801 - Mixed Use - Downtown,138,2
801 - Mixed Use - Downtown,139,2
801 - Mixed Use - Downtown,140,2
801 - Mixed Use - Downtown,141,2
801 - Mixed Use - Downtown,142,2
801 - Mixed Use - Lower Arsenal,143,0
801 - Mixed Use - Lower Arsenal,144,0
801 - Mixed Use - Lower Arsenal,145,0
801 - Mixed Use - Lower Arsenal,146,0
801 - Mixed Use - Lower Arsenal,147,0
801 - Mixed Use - Lower Arsenal,148,0
801 - Mixed Use - Lower Arsenal,149,0
801 - Mixed Use - Lower Arsenal,150,0
801 - Mixed Use - Lower Arsenal,151,0
801 - Open Space - General,152,0
801 - Open Space - General,153,0
801 - Open Space - General,154,0
801 - Open Space - General,155,0
801 - Open Space - General,156,0
801 - Open Space - General,157,0
801 - Open Space - General,158,0
801 - Open Space - General,159,0
801 - Open Space - General,160,0
801 - Open Space - General,161,0
801 - Open Space - General,162,0
801 - Open Space - General,163,0
801 - Open Space - General,164,0
801 - Open Space - General,165,0
801 - Open Space - General,166,0
801 - Open Space - General,167,0
801 - Open Space - General,168,0
801 - Open Space - General,169,0
