general_pl,id,Zoning
R-1H,0,1
R-1H,1,1
R-1H,2,1
R-1H,3,1
R-1H,4,1
R-1H,5,1
R-1H,6,1
R-1H,7,1
R-1H,8,1
R-1H,9,1
R-1H,10,1
R-1H,11,1
R-1H,12,1
R-1H,13,1
R-1H,14,1
R-1H,15,1
R-1H,16,1
R-1H,17,1
R-1H,18,1
R-1H,19,1
R-1H,20,1
R-1H,21,1
R-1H,22,1
R-1H,23,1
R-1H,24,1
R-1H,25,1
R-1H,26,1
R-1H,27,1
R-1H,28,1
R-1H,29,1
R-1H,30,1
R-1H,31,1
R-1H,32,1
R-1H,33,1
R-1,34,1
R-1H,35,1
R-1H,36,1
R-1H,37,1
R-1,38,1
R-1H,39,1
R-1H,40,1
R-1,41,1
R-1H,42,1
R-1H,43,1
R-1H,44,1
R-1H,45,1
R-1H,46,1
R-1H,47,1
R-1H,48,1
R-1H,49,1
R-1H,50,1
R-1H,51,1
R-1H,52,1
R-1H,53,1
R-1H,54,1
R-1H,55,1
R-1H,56,1
R-1H,57,1
R-1H,58,1
R-1H,59,1
R-1H,60,1
R-1H,61,1
R-1,62,1
R-1,63,1
R-1H,64,1
R-1H,65,1
R-1H,66,1
R-1H,67,1
R-1H,68,1
R-1H,69,1
R-1H,70,1
R-1H,71,1
R-1H,72,1
R-1H,73,1
R-1H,74,1
R-1H,75,1
R-1H,76,1
R-1,77,1
R-1H,78,1
R-1H,79,1
R-1H,80,1
R-1H,81,1
R-1H,82,1
R-1H,83,1
R-1H,84,1
R-1,85,1
R-1,86,1
R-1H,87,1
R-1,88,1
R-1H,89,1
R-1,90,1
R-1H,91,1
R-1H,92,1
R-1H,93,1
R-1H,94,1
R-1H,95,1
R-1H,96,1
R-1,97,1
R-1H,98,1
R-1H,99,1
R-1H,100,1
R-1H,101,1
R-1H,102,1
R-1H,103,1
R-1,104,1
R-1,105,1
R-1H,106,1
R-1H,107,1
X,108,NA
R-1,109,1
R-1H,110,1
R-1H,111,1
R-1,112,1
R-1H,113,1
R-1,114,1
R-1,115,1
R-1H,116,1
R-1H,117,1
R-1H,118,1
R-1H,119,1
R-1H,120,1
R-1H,121,1
R-1,122,1
R-1H,123,1
R-1H,124,1
R-1H,125,1
R-1H,126,1
R-1H,127,1
C-SO,128,NA
C-SO,129,NA
C-SO,130,NA
R-1H,131,1
R-1H,132,1
R-1H,133,1
C-SO,134,NA
R-1H,135,1
R-1H,136,1
C-SO,137,NA
C-SO,138,NA
R-1H,139,1
R-1H,140,1
C-SO,141,NA
C-SO,142,NA
C-SO,143,NA
R-1H,144,1
C-SO,145,NA
R-1H,146,1
C-SO,147,NA
R-1,148,1
R-1H,149,1
R-1H,150,1
R-1,151,1
R-3,152,2
R-1,153,1
R-1,154,1
R-1H,155,1
R-1,156,1
R-1H,157,1
R-1H,158,1
R-1H,159,1
R-1H,160,1
R-1H,161,1
R-1H,162,1
R-1H,163,1
R-1H,164,1
R-1H,165,1
R-1H,166,1
R-1H,167,1
R-1H,168,1
R-1,169,1
R-1H,170,1
R-1H,171,1
R-1H,172,1
R-1H,173,1
C-N(H),174,NA
R-1H,175,1
R-1H,176,1
R-1H,177,1
R-1H,178,1
R-1,179,1
R-1H,180,1
R-1H,181,1
R-1H,182,1
R-1,183,1
R-1,184,1
R-1H,185,1
R-1H,186,1
R-1H,187,1
R-1,188,1
R-1,189,1
R-1H,190,1
R-1H,191,1
R-1H,192,1
R-1H,193,1
R-1H,194,1
R-1,195,1
R-1H,196,1
R-1H,197,1
R-1H,198,1
R-1H,199,1
R-1H,200,1
R-1H,201,1
R-1,202,1
R-1H,203,1
R-1,204,1
R-1H,205,1
R-1,206,1
R-1H,207,1
R-1H,208,1
R-1H,209,1
R-1H,210,1
R-1H,211,1
R-1,212,1
R-1H,213,1
R-1,214,1
R-1H,215,1
R-1H,216,1
R-1H,217,1
R-1H,218,1
R-1H,219,1
R-1,220,1
R-1H,221,1
R-1H,222,1
R-2H,223,2
R-1,224,1
R-1H,225,1
R-1,226,1
R-1H,227,1
R-2H,228,2
R-2H,229,2
R-1H,230,1
R-1,231,1
R-2,232,2
R-2,233,2
R-1H,234,1
R-2H,235,2
R-1,236,1
R-1H,237,1
R-2,238,2
R-2,239,2
R-1H,240,1
R-1H,241,1
R-1H,242,1
R-2H,243,2
R-1H,244,1
R-2AH,245,2
R-1H,246,1
R-2AH,247,2
R-1H,248,1
R-1H,249,1
R-1H,250,1
R-2A,251,2
R-2H,252,2
R-1H,253,1
R-2A,254,2
R-2A,255,2
C-W,256,NA
C-W,257,NA
R-2,258,2
R-2,259,2
R-2AH,260,2
MUR,261,NA
R-2,262,2
MUR,263,NA
R-2,264,2
MUR,265,NA
R-2,266,2
MULI,267,NA
MULI,268,NA
C-1,269,NA
R-2A,270,2
M,271,NA
R-2,272,2
C-W,273,NA
C-1,274,NA
R-2A,275,2
C-W,276,NA
R-2,277,2
R-2A,278,2
R-1A,279,2
M,280,NA
R-2,281,2
R-2A,282,2
R-1A,283,2
R-2,284,2
R-1A,285,2
C-N,286,NA
R-2,287,2
R-2A,288,2
C-W,289,NA
R-2A,290,2
R-3,291,2
R-2,292,2
R-2,293,2
R-2,294,2
R-2,295,2
MULI,296,NA
R-2A,297,2
R-2,298,2
R-2,299,2
R-2,300,2
R-2,301,2
C-SA,302,NA
R-1,303,1
C-1,304,NA
C-SA,305,NA
R-2,306,2
R-1,307,1
R-1,308,1
R-2,309,2
R-2A,310,2
R-2,311,2
R-1,312,1
R-3,313,2
R-2A,314,2
R-2,315,2
C-W,316,NA
R-3,317,2
R-2,318,2
R-2,319,2
R-1,320,1
R-3,321,2
C-1,322,NA
C-1,323,NA
R-4,324,2
R-2,325,2
C-2,326,NA
C-W,327,NA
R-2A,328,2
ES-R,329,NA
C-1,330,NA
R-4,331,2
C-1,332,NA
C-W,333,NA
R-1A,334,2
R-2,335,2
C-1,336,NA
R-1A,337,2
R-4,338,2
R-2,339,2
C-1,340,NA
R-2,341,2
C-2,342,NA
R-3,343,2
R-2,344,2
R-2,345,2
R-1A,346,2
R-3,347,2
C-1,348,NA
R-2,349,2
R-1,350,1
R-1,351,1
R-2A,352,2
R-1,353,1
R-2A,354,2
C-SA,355,NA
C-1,356,NA
R-2A,357,2
R-1,358,1
R-1H,359,1
R-2,360,2
R-1,361,1
C-SA,362,NA
R-2A,363,2
R-2,364,2
R-2A,365,2
C-N,366,NA
R-2,367,2
C-SA,368,NA
R-1,369,1
R-2A,370,2
R-1,371,1
R-2,372,2
R-1,373,1
R-1H,374,1
R-2A,375,2
R-2A,376,2
C-W,377,NA
R-1H,378,1
MULI,379,NA
R-1H,380,1
R-2A,381,2
R-1A,382,2
R-2,383,2
R-2A,384,2
R-1H,385,1
MULI,386,NA
R-2,387,2
R-2A,388,2
R-2,389,2
R-2,390,2
MULI,391,NA
R-1H,392,1
MULI,393,NA
R-2A,394,2
MULI,395,NA
R-2,396,2
R-1H,397,1
R-2A,398,2
R-1H,399,1
R-1A,400,2
R-2,401,2
R-1H,402,1
R-4,403,2
R-2,404,2
R-4,405,2
