id,gnrl_p_,zoning
0,PD-64,1
1,PD-1,1
2,PD-4,1
3,PD-8,1
4,PD-43,0
5,PD-16,1
6,PD-47,0
7,PD-7,1
8,PD34,0
9,PD-24,1
10,PD-13,1
11,PD-12,0
12,PD-39,1
13,PD-51,0
14,PD-52,0
15,PD-36,0
16,PD-57,1
17,PD-22,1
18,PD-9,1
19,PD-25,1
20,PD-3,1
21,PD-5,1
22,PD-38,0
23,PD-48,0
24,PD-53,1
25,PD-35,1
26,PD,0
27,PD-6,0
28,PD-18,1
29,PD-20,1
30,PD-21,1
31,PD-15,1
32,PD-27,1
33,PD-2,1
34,PD-26,1
35,PD-44,1
36,PD-29,1
37,PD-31,1
38,PD-11,1
39,PD-28,1
40,PD-55,0
41,PD-46,1
42,PD-17,1
43,PD-58,2
44,PD-45,1
45,PD-23,1
46,PD-10,0
47,PD-14,1
48,PD-19,1
49,PD-54,1
50,PD-37,1
51,R-2,2
52,C-3,0
53,R-1-E,1
54,R-1-6,1
55,R-3,2
56,PF,0
57,R-3,2
58,R-1-E,1
59,CO,0
60,R-1-8,1
61,R-1,1
62,R-1,1
63,R-1-E,1
64,RE,1
65,PF,0
66,R-2,2
67,C-2,0
68,R-1-10,1
69,RE,1
70,PD-41,0
71,PF,0
72,C-1,0
73,PF,0
74,R-1-10,1
75,R-1,1
76,RE,1
77,R-2,2
78,RE,1
79,OS,0
80,R-1-6,1
81,R-1-8,1
82,R-3,2
83,R-1,1
84,R-3,2
85,R-2,2
86,R-1-6,1
87,PF,0
88,R-1-6,1
89,R-2,2
90,C-1,0
91,PF,0
92,R-3,2
93,PF,0
94,C-3,0
95,R-1-6,1
96,R-2,2
97,PEC,1
98,RE,1
99,C-3,0
100,CO,0
101,R-1-6,1
102,R-2,2
103,OS,0
104,PF,0
105,COR,1
106,C-3,0
107,CB,0
108,IC,0
109,COR,1
110,C-2,0
111,COB,0
112,C-3,0
113,C-1,0
114,R-1-10,1
115,R-1-E,1
116,R-1-E,1
117,R-2,2
118,RE,1
119,C-3,0
120,PF,0
121,R-2,2
122,C-1,0
123,R-1,1
124,R-1,1
125,PF,0
126,R-3,2
127,CO,0
128,COB,0
129,R-3,2
130,R-2,2
131,COR,1
132,OS,0
999,R-2,2
134,R-1-E,1
135,R-1,1
136,R-1,1
137,RE,1
138,PD-60,1
139,PD-50,1
140,R-1-10,1
141,PD-30,1
142,PD-62,1
143,PD-61,1
144,PD-65,1
145,R-1-E,1
146,PD-63,2
147,PD-35,1
148,R-1-8,1
149,C-2,0
150,PD-42,0
151,PD-40,0
152,PD-49,0
153,PD-56,0
154,PF,0
133,R-2,2
998,PD_MF,2
997,PD_MF,2
995,PD_MF,2
996,PD_SF,1
