general_pl,id,Zoning
603 - Aquatic Areas,0,3
603 - Aquatic Areas,1,NA
603 - Heavy Commercial,2,NA
603 - Heavy Commercial,3,NA
603 - Heavy Commercial,4,NA
603 - Heavy Commercial,5,NA
603 - Neighborhood Commercial/ Retail/ Office,6,NA
603 - Neighborhood Commercial/ Retail/ Office,7,NA
603 - Neighborhood Commercial/ Retail/ Office,8,NA
603 - Neighborhood Commercial/ Retail/ Office,9,NA
603 - Neighborhood Commercial/ Retail/ Office,10,NA
603 - Neighborhood Commercial/ Retail/ Office,11,NA
603 - Neighborhood Commercial/ Retail/ Office,12,NA
603 - Neighborhood Commercial/ Retail/ Office,13,NA
603 - Neighborhood Commercial/ Retail/ Office,14,NA
603 - Neighborhood Commercial/ Retail/ Office,15,NA
603 - Neighborhood Commercial/ Retail/ Office,16,NA
603 - Neighborhood Commercial/ Retail/ Office,17,NA
603 - Open Space,18,NA
603 - Open Space,19,NA
603 - Open Space,20,NA
603 - Open Space,21,NA
603 - Open Space,22,NA
603 - Open Space,23,NA
603 - Open Space,24,NA
603 - Open Space,25,NA
603 - Open Space,26,NA
603 - Open Space,27,NA
603 - Open Space,28,NA
603 - Public Facilities and Parks,29,NA
603 - Public Facilities and Parks,30,NA
603 - Public Facilities and Parks,31,3
603 - Public Facilities and Parks,32,NA
603 - Public Facilities and Parks,33,NA
603 - Public Facilities and Parks,34,NA
603 - Public Facilities and Parks,35,NA
603 - Public Facilities and Parks,36,NA
603 - Public Facilities and Parks,37,NA
603 - Quarry,38,NA
603 - Residential (0-2 du/ac),39,1
603 - Residential (0-2 du/ac),40,1
603 - Residential (0-2 du/ac),41,1
603 - Residential (15-30 du/ac),42,2
603 - Residential (15-30 du/ac),43,2
603 - Residential (15-30 du/ac),44,2
603 - Residential (15-30 du/ac),45,2
603 - Residential (15-30 du/ac),46,2
603 - Residential (15-30 du/ac),47,2
603 - Residential (15-30 du/ac),48,2
603 - Residential (15-30 du/ac),49,2
603 - Residential (15-30 du/ac),50,2
603 - Residential (15-30 du/ac),51,2
603 - Residential (15-30 du/ac),52,2
603 - Residential (15-30 du/ac),53,2
603 - Residential (2.5- 14 du/ac),54,1
603 - Residential (2.5- 14 du/ac),55,1
603 - Residential (2.5- 14 du/ac),56,1
603 - Residential (2.5- 14 du/ac),57,1
603 - Residential (2.5- 14 du/ac),58,1
603 - Residential (2.5- 14 du/ac),59,1
603 - Residential (2.5- 14 du/ac),60,1
603 - Residential (2.5- 14 du/ac),61,1
603 - Residential (2.5- 14 du/ac),62,1
603 - Residential (2.5- 14 du/ac),63,1
603 - Residential (2.5- 14 du/ac),64,1
603 - Residential (2.5- 14 du/ac),65,1
603 - Residential (2.5- 14 du/ac),66,1
603 - Residential (2.5- 14 du/ac),67,1
603 - Residential (2.5- 14 du/ac),68,1
603 - Residential (2.5- 14 du/ac),69,1
603 - Residential (2.5- 14 du/ac),70,1
603 - Residential (2.5- 14 du/ac),71,1
603 - Residential (2.5- 14 du/ac),72,1
603 - Residential (2.5- 14 du/ac),73,1
603 - Residential (2.5- 14 du/ac),74,1
603 - Residential (2.5- 14 du/ac),75,1
603 - Residential (2.5- 14 du/ac),76,1
603 - Residential (2.5- 14 du/ac),77,1
603 - Residential (2.5- 14 du/ac),78,1
603 - Residential (2.5- 14 du/ac),79,1
603 - Residential (2.5- 14 du/ac),80,1
603 - Residential (2.5- 14 du/ac),81,1
603 - Residential (2.5- 14 du/ac),82,1
603 - Residential (2.5- 14 du/ac),83,1
603 - Residential (2.5- 14 du/ac),84,1
603 - Residential (2.5- 14 du/ac),85,1
603 - Residential (2.5- 14 du/ac),86,1
603 - Residential (2.5- 14 du/ac),87,1
603 - Residential (2.5- 14 du/ac),88,1
603 - Residential (2.5- 14 du/ac),89,1
603 - Residential (2.5- 14 du/ac),90,1
603 - Residential (2.5- 14 du/ac),91,1
603 - Residential (2.5- 14 du/ac),92,1
603 - Residential (2.5- 14 du/ac),93,1
603 - Residential (2.5- 14 du/ac),94,1
603 - Residential (2.5- 14 du/ac),95,1
603 - Residential (2.5- 14 du/ac),96,1
603 - Residential (2.5- 14 du/ac),97,1
603 - Residential (2.5- 14 du/ac),98,1
603 - Residential (2.5- 14 du/ac),99,1
603 - Residential (2.5- 14 du/ac),100,1
603 - Residential (2.5- 14 du/ac),101,1
603 - Residential (2.5- 14 du/ac),102,1
603 - Residential (2.5- 14 du/ac),103,1
603 - Residential (2.5- 14 du/ac),104,1
603 - Residential (2.5- 14 du/ac),105,1
603 - Residential (6.23 du/ac),106,NA
603 - Residential (6.23 du/ac),107,2
603 - Residential (6.23 du/ac),108,2
603 - Residential (6.23 du/ac),109,2
603 - Residential (6.23 du/ac),110,2
603 - Residential (6.23 du/ac),111,2
603 - Residential (6.23 du/ac),112,2
603 - Residential (6.23 du/ac),113,2
603 - Residential (6.23 du/ac),114,1
603 - Residential (6.23 du/ac),115,1
603 - Sierra Point Commercial/ Retail/ Office,116,NA
603 - Sierra Point Commercial/ Retail/ Office,117,NA
603 - Sierra Point Commercial/ Retail/ Office,118,NA
603 - Sierra Point Commercial/ Retail/ Office,119,NA
603 - Subregional Commercial/ Retail/ Office,120,NA
603 - Subregional Commercial/ Retail/ Office,121,NA
603 - Subregional Commercial/ Retail/ Office,122,NA
603 - Trade Commercial,123,NA
603 - Trade Commercial,124,NA
603 - Trade Commercial,125,NA
603 - Trade Commercial,126,NA
603 - Trade Commercial,127,NA
603 - Trade Commercial,128,NA
603 - Trade Commercial,129,NA
603 - Trade Commercial,130,NA
603 - Trade Commercial,131,NA
603 - Trade Commercial,132,NA
603 - Trade Commercial,133,NA
603 - Trade Commercial,134,NA
603 - Trade Commercial,135,NA
603 - Trade Commercial,136,NA
603 - Trade Commercial,137,NA
603 - Trade Commercial,138,NA
603 - Trade Commercial,139,NA
603 - Trade Commercial,140,NA
603 - Trade Commercial,141,NA
603 - Trade Commercial,142,NA
