gnrl_p_,id,edt_g__,zoning
701 - Central Commercial,0,701 - Central Commercial,0
701 - Central Commercial,1,701 - Central Commercial,0
701 - Central Commercial,2,701 - Central Commercial,0
701 - Central Commercial,3,701 - Central Commercial,0
701 - Central Commercial,4,701 - Central Commercial,0
701 - Central Commercial,5,701 - Central Commercial,0
701 - Central Commercial,6,701 - Central Commercial,0
701 - Central Commercial,7,701 - Central Commercial,0
701 - Central Commercial,8,701 - Central Commercial,0
701 - Central Commercial,9,701 - Central Commercial,0
701 - Central Commercial,10,701 - Central Commercial,0
701 - Central Commercial,11,701 - Central Commercial,0
701 - Central Commercial,12,701 - Central Commercial,0
701 - Central Commercial,13,701 - Central Commercial,0
701 - Central Commercial,14,701 - Central Commercial,0
701 - Central Commercial,15,701 - Central Commercial,0
701 - Central Commercial,16,701 - Central Commercial,0
701 - Central Commercial,17,701 - Central Commercial,0
701 - Central Commercial,18,701 - Central Commercial,0
701 - Central Commercial,19,701 - Central Commercial,0
701 - Central Commercial,20,701 - Central Commercial,0
701 - Central Commercial,21,701 - Central Commercial,0
701 - Central Commercial,22,701 - Central Commercial,0
701 - Central Commercial,23,701 - Central Commercial,0
701 - Central Commercial,24,701 - Central Commercial,0
701 - Central Commercial,25,701 - Central Commercial,0
701 - Central Commercial,26,701 - Central Commercial,0
701 - Central Commercial,27,701 - Central Commercial,0
701 - Central Commercial,28,701 - Central Commercial,0
701 - Central Commercial,29,701 - Central Commercial,0
701 - Central Commercial,30,701 - Central Commercial,0
701 - Central Commercial,31,701 - Central Commercial,0
701 - Central Commercial,32,701 - Central Commercial,0
701 - Central Commercial,33,701 - Central Commercial,0
701 - Central Commercial,34,701 - Central Commercial,0
701 - Central Commercial,35,701 - Central Commercial,0
701 - Central Commercial,36,701 - Central Commercial,0
701 - Central Commercial,37,701 - Central Commercial,0
701 - Central Commercial,38,701 - Central Commercial,0
701 - Central Commercial,39,701 - Central Commercial,0
701 - Commercial and/or industrial,40,701 - Commercial and/or industrial,0
701 - Commercial and/or industrial,41,701 - Commercial and/or industrial,0
701 - Commercial and/or industrial,42,701 - Commercial and/or industrial,0
701 - Commercial and/or industrial,43,701 - Commercial and/or industrial,0
701 - Commercial and/or industrial,44,701 - Commercial and/or industrial,0
701 - Commercial and/or industrial,45,701 - Commercial and/or industrial,0
701 - General Commercial,46,701 - General Commercial,0
701 - General Commercial,47,701 - General Commercial,0
701 - General Commercial,48,701 - General Commercial,0
701 - General Commercial,49,701 - General Commercial,0
701 - General Commercial,50,701 - General Commercial,0
701 - General Commercial,51,701 - General Commercial,0
701 - General Commercial,52,701 - General Commercial,0
701 - General Commercial,53,701 - General Commercial,0
701 - General Commercial,54,701 - General Commercial,0
701 - General Commercial,55,701 - General Commercial,0
701 - General Commercial,56,701 - General Commercial,0
701 - General Commercial,57,701 - General Commercial,0
701 - General Commercial,58,701 - General Commercial,0
701 - General Commercial,59,701 - General Commercial,0
701 - General Commercial,60,701 - General Commercial,0
701 - General Commercial,61,701 - General Commercial,0
701 - General Commercial,62,701 - General Commercial,0
701 - General Commercial,63,701 - General Commercial,0
701 - General Commercial,64,701 - General Commercial,0
701 - General Commercial,65,701 - General Commercial,0
701 - General Commercial,66,701 - General Commercial,0
701 - General Commercial,67,701 - General Commercial,0
701 - General Commercial,68,701 - General Commercial,0
701 - General Commercial,69,701 - General Commercial,0
701 - General Commercial,70,701 - General Commercial,0
701 - General Commercial,71,701 - General Commercial,0
701 - General Commercial,72,701 - General Commercial,0
701 - General Commercial,73,701 - General Commercial,0
701 - General Commercial,74,701 - General Commercial,0
701 - General Commercial,75,701 - General Commercial,0
701 - General Commercial,76,701 - General Commercial,0
701 - General Commercial,77,701 - General Commercial,0
701 - General Commercial,78,701 - General Commercial,0
701 - General Commercial,79,701 - General Commercial,0
701 - General Commercial,80,701 - General Commercial,0
701 - General Commercial,81,701 - General Commercial,0
701 - General Commercial,82,701 - General Commercial,0
701 - General Commercial,83,701 - General Commercial,0
701 - General Commercial,84,701 - General Commercial,0
701 - General Commercial,85,701 - General Commercial,0
701 - General Commercial,86,701 - General Commercial,0
701 - General Commercial,87,701 - General Commercial,0
701 - General Commercial,88,701 - General Commercial,0
701 - General Commercial,89,701 - General Commercial,0
701 - General Commercial,90,701 - General Commercial,0
701 - General Commercial,91,701 - General Commercial,0
701 - General Commercial,92,701 - General Commercial,0
701 - General Commercial,93,701 - General Commercial,0
701 - General Commercial,94,701 - General Commercial,0
701 - General Commercial,95,701 - General Commercial,0
701 - General Commercial,96,701 - General Commercial,0
701 - General Commercial,97,701 - General Commercial,0
701 - General Commercial,98,701 - General Commercial,0
701 - General Commercial,99,701 - General Commercial,0
701 - General Commercial,100,701 - General Commercial,0
701 - General Commercial,101,701 - General Commercial,0
701 - General Commercial,102,701 - General Commercial,0
701 - High density residential (21-27 units/Gr. acre),103,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),104,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),105,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),106,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),107,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),108,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),109,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),110,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),111,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),112,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),113,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),114,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),115,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),116,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),117,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),118,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),119,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),120,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),121,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),122,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),123,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),124,701 - High density residential (21-27 units/Gr. acre),2
701 - High density residential (21-27 units/Gr. acre),125,701 - High density residential (21-27 units/Gr. acre),2
701 - Institutional,126,701 - Institutional,0
701 - Institutional,127,701 - Institutional,0
701 - Institutional,128,701 - Institutional,0
701 - Institutional,129,701 - Institutional,0
701 - Institutional,130,701 - Institutional,0
701 - Institutional,131,701 - Institutional,0
701 - Institutional,132,701 - Institutional,0
701 - Institutional,133,701 - Institutional,0
701 - Institutional,134,701 - Institutional,0
701 - Institutional,135,701 - Institutional,0
701 - Institutional,136,701 - Institutional,0
701 - Institutional,137,701 - Institutional,0
701 - Institutional,138,701 - Institutional,0
701 - Institutional,139,701 - Institutional,0
701 - Institutional,140,701 - Institutional,0
701 - Institutional,141,701 - Institutional,0
701 - Institutional,142,701 - Institutional,0
701 - Institutional,143,701 - Institutional,0
701 - Institutional,144,701 - Institutional,0
701 - Institutional,145,701 - Institutional,0
701 - Institutional,146,701 - Institutional,0
701 - Institutional,147,701 - Institutional,0
701 - Institutional,148,701 - Institutional,0
701 - Institutional,149,701 - Institutional,0
701 - Light Industrial,150,701 - Light Industrial,0
701 - Light Industrial,151,701 - Light Industrial,0
701 - Light Industrial,152,701 - Light Industrial,0
701 - Light Industrial,153,701 - Light Industrial,0
701 - Light Industrial,154,701 - Light Industrial,0
701 - Light Industrial,155,701 - Light Industrial,0
701 - Light Industrial,156,701 - Light Industrial,0
701 - Light Industrial,157,701 - Light Industrial,0
701 - Light Industrial,158,701 - Light Industrial,0
701 - Light Industrial,159,701 - Light Industrial,0
701 - Light Industrial,160,701 - Light Industrial,0
701 - Light Industrial,161,701 - Light Industrial,0
