gnrl_p_,id,zoning
203 - Convenience Commercial,0,0
203 - Cultural Center,1,0
203 - Cultural Center,2,0
203 - High Density Residential,3,1
203 - High Density Residential,4,1
203 - High Density Residential,5,1
203 - High Density Residential,6,1
203 - High Density Residential,7,1
203 - High Density Residential,8,1
203 - High Density Residential,9,1
203 - High Density Residential,10,1
203 - High Density Residential,11,1
203 - High Density Residential,12,1
203 - High Density Residential,13,1
203 - High Density Residential,14,1
203 - High Density Residential,15,1
203 - High Density Residential,16,1
203 - High Density Residential,17,1
203 - High Density Residential,18,1
203 - High Density Residential,19,1
203 - High Density Residential,20,1
203 - Institutional Density Residential,21,2
203 - Institutional Density Residential,22,2
203 - Institutional Density Residential,23,2
203 - Institutional Density Residential,24,2
203 - Kirker Corridor,25,0
203 - Low Density Residential,26,1
203 - Low Density Residential,27,1
203 - Low Density Residential,28,1
203 - Low Density Residential,29,1
203 - Low Density Residential,30,1
203 - Low Density Residential,31,1
203 - Low Density Residential,32,1
203 - Low Density Residential,33,1
203 - Low Density Residential,34,1
203 - Low Density Residential,35,1
203 - Low Density Residential,36,1
203 - Low Density Residential,37,1
203 - Low Density Residential,38,1
203 - Low Density Residential,39,1
203 - Low Density Residential,40,1
203 - Low Density Residential,41,1
203 - Low Density Residential,42,1
203 - Low Density Residential,43,1
203 - Low Density Residential,44,1
203 - Low Density Residential,45,1
203 - Low Density Residential,46,1
203 - Low Density Residential,47,1
203 - Low Density Residential,48,1
203 - Low Density Residential,49,1
203 - Low Density Residential,50,1
203 - Low Density Residential,51,1
203 - Low Density Residential,52,1
203 - Low Density Residential,53,1
203 - Low Density Residential,54,1
203 - Low Density Residential,55,1
203 - Low Density Residential,56,1
203 - Low Density Residential,57,1
203 - Low Density Residential,58,1
203 - Low Density Residential,59,1
203 - Low Density Residential,60,1
203 - Low Density Residential,61,1
203 - Low Density Residential,62,1
203 - Low Density Residential,63,1
203 - Low Density Residential,64,1
203 - Low Density Residential,65,1
203 - Low Density Residential,66,1
203 - Low Density Residential,67,1
203 - Low Density Residential,68,1
203 - Low Density Residential,69,1
203 - Low Density Residential,70,1
203 - Low Density Residential,71,1
203 - Low Density Residential,72,1
203 - Low Density Residential,73,1
203 - Low Density Residential,74,1
203 - Low Density Residential,75,1
203 - Low Density Residential,76,1
203 - Low Density Residential,77,1
203 - Low Density Residential,78,1
203 - Low Density Residential,79,1
203 - Low Density Residential,80,1
203 - Low Density Residential,81,1
203 - Low Density Residential,82,1
203 - Low Density Residential,83,1
203 - Low Density Residential,84,1
203 - Low Density Residential,85,1
203 - Low Density Residential,86,1
203 - Low Density Residential,87,1
203 - Low Density Residential,88,1
203 - Low Density Residential,89,1
203 - Low Density Residential,90,1
203 - Low Density Residential,91,1
203 - Low Density Residential,92,1
203 - Low Density Residential,93,1
203 - Low Density Residential,94,1
203 - Low Density Residential,95,1
203 - Low Density Residential,96,1
203 - Low Density Residential,97,1
203 - Low Density Residential,98,1
203 - Low Density Residential,99,1
203 - Low Density Residential,100,1
203 - Low Density Residential,101,1
203 - Low Density Residential,102,1
203 - Low Density Residential,103,1
203 - Low Density Residential,104,1
203 - Low Density Residential,105,1
203 - Low Density Residential,106,1
203 - Low Density Residential,107,1
203 - Low Density Residential,108,1
203 - Low Density Residential,109,1
203 - Low Density Residential,110,1
203 - Low Density Residential,111,1
203 - Low Density Residential,112,1
203 - Low Density Residential,113,1
203 - Low Density Residential,114,1
203 - Low Density Residential,115,1
203 - Low Density Residential,116,1
203 - Low Density Residential,117,1
203 - Low Density Residential,118,1
203 - Low Density Residential,119,1
203 - Low Density Residential,120,1
203 - Low Density Residential,121,1
203 - Low Density Residential,122,1
203 - Low Density Residential,123,1
203 - Low Density Residential,124,1
203 - Low Density Residential,125,1
203 - Low Density Residential,126,1
203 - Low Density Residential,127,1
203 - Low Density Residential,128,1
203 - Low Density Residential,129,1
203 - Low Density Residential,130,1
203 - Low Density Residential,131,1
203 - Low Density Residential,132,1
203 - Low Density Residential,133,1
203 - Low Density Residential,134,1
203 - Low Density Residential,135,1
203 - Low Density Residential,136,1
203 - Low Density Residential,137,1
203 - Low Density Residential,138,1
203 - Low Density Residential,139,1
203 - Low Density Residential,140,1
203 - Low Density Residential,141,1
203 - Low Density Residential,142,1
203 - Low Density Residential,143,1
203 - Low Density Residential,144,1
203 - Low Density Residential,145,1
203 - Medium Density Residential,146,1
203 - Medium Density Residential,147,1
203 - Medium Density Residential,150,1
203 - Medium Density Residential,151,1
203 - Medium Density Residential,152,1
203 - Medium Density Residential,153,1
203 - Medium Density Residential,154,1
203 - Medium Density Residential,155,1
