ZCODE,LABEL,SHAPE_Leng,SHAPE_Area,Zoning
P-I,NA,7996.29075211,1759939.09047,NA
R-1,NA,3699.1191017,607639.326008,1
R-R,NA,2326.12618547,321909.809937,1
TOD,NA,1922.61650611,145046.281883,2
P-I,NA,6362.97283297,1460530.4508,NA
S-P,S-P/1,14844.6284659,11089607.3979,NA
P-I,NA,9292.54371129,2437202.05258,NA
M-P,NA,1226.30687658,82642.0172343,NA
S-C,NA,3582.73868468,565409.933176,NA
P-D,P-D/10,9983.42025407,2590116.26334,1
R-3,NA,4632.80292586,881818.579709,2
G-C,NA,2019.38470259,220445.688632,NA
P-I,NA,1095.55756118,64498.4114972,NA
R-1,NA,8794.29195798,2693205.11285,1
R-3,NA,8582.94332346,1075869.77773,2
S-C,NA,5128.59235794,605815.555378,NA
P-I,NA,924.431397212,53890.3236851,NA
P-I,NA,1126.61698227,58115.7074066,NA
P-I,NA,560.902526553,19051.3637634,NA
R-3,NA,2298.10180169,275809.872634,2
G-C,NA,1420.37152543,125146.339295,NA
R-1,NA,760.76891714,35268.5176013,1
G-C,NA,865.382446427,37947.3471214,NA
TOD,NA,5648.99433816,1057519.15503,2
S-C,NA,1852.16554167,108469.229114,NA
R-2,NA,4161.33847018,623971.484856,2
R-3,NA,1885.91475846,159067.474881,2
R-R,NA,3440.89729333,380986.614387,1
P-I,NA,1929.14393462,127053.69434,NA
R-R,NA,15547.7013997,4810225.43597,1
R-1,NA,36670.9168937,12338013.3936,1
P-I,NA,711.364966355,32186.5962734,NA
P-I,NA,243.179784229,3592.33770288,NA
R-2,NA,19273.067398,3495754.44681,2
P-I,NA,5989.41697572,994294.474015,NA
G-C,NA,628.527160331,24225.5748459,NA
S-C,NA,2648.99672045,209339.560655,NA
P-I,NA,2259.7113216,307973.383287,NA
O-R,NA,4175.09566858,390304.188534,2
DTC,NA,6614.55683181,1048193.38452,NA
P-I,NA,843.765180388,36152.3923773,NA
P-I,NA,365.345587808,6696.23617962,NA
P-I,NA,1007.24138187,54221.7880803,NA
O-R,NA,3644.55832574,387272.826997,1
P-I,NA,2668.105507,455936.094143,NA
P-I,NA,2718.86081519,347632.345921,NA
P-I,NA,363.054158345,6575.92405323,NA
R-3,NA,3020.09121289,444658.809936,2
P-I,NA,1831.42771889,205591.870759,NA
P-D,P-D/5,1451.2995692,94385.9215914,NA
P-I,NA,1449.87913034,107439.115192,NA
P-I,NA,2395.27320808,325259.683527,NA
P-I,NA,2256.22859303,252007.317065,NA
P-I,NA,580.897153412,19054.278287,NA
P-I,NA,3324.5127455,283649.89215,NA
CF,NA,2.66411106264,0.290185631076,NA
P-D,P-D/8,5314.15080432,1139527.66143,NA
P-D,P-D/17,13508.5086397,7517041.06938,1
R-1,NA,3624.0253724,524499.483725,1
P-D,P-D/1,5392.5389936,1624055.29564,1
P-D,P-D/15,678.900927306,26761.8704545,2
P-D,P-D/2,2064.49900984,117581.764223,1
S-C,NA,996.622586207,46670.6992623,NA
P-D,P-D/16,2497.50447404,104022.464796,1
P-D,P-D/3,1346.62289554,91014.6838631,2
P-D,P-D/4,3370.06907936,443837.407531,2
P-I,NA,538.941360953,18299.5767682,NA
P-D,P-D/9,1882.59892376,180488.900573,2
R-3,NA,2307.99660833,159528.640382,2
P-D,P-D/11,1869.123581,169322.725035,2
R-1,NA,3607.83090486,624352.305541,1
P-D,P-D/7,6410.1407285,2141767.28406,NA
P-D,P-D/13,4331.08620667,829590.874342,1
P-D,P-D/14,3185.57539071,318187.508095,1
P-D,P-D/12,2214.49862888,299479.68846700003,1
M-1,NA,7057.34775336,1104593.97957,NA
M-1,NA,2209.55289739,263152.757978,NA
M-P,NA,4511.92513124,1220729.73661,NA
M-1,NA,3958.2023768,664418.478673,NA
S-P,S-P/1,862.53683238,29208.4175139,NA
M-1,NA,897.618860965,43571.8534274,NA
TOD,NA,1620.95253229,110916.971496,2
P-I,NA,2692.92673493,117121.694585,NA
P-I,NA,1491.61434025,82966.2450207,NA
M-1,NA,4619.49942582,1113090.40181,NA
P-I,NA,1744.19014613,184449.260364,NA
M-1,NA,4147.23628026,641398.979011,NA
M-1,NA,1840.9692016,159062.987389,NA
M-1,NA,4184.67402604,530079.769106,NA
R-R,NA,688.567698998,29000.9760649,1
M-1,NA,625.250990618,24265.6530491,NA
R-R,NA,2453.28358295,274330.479152,1
