general_pl,id,Zoning
605 - Cemetary,0,NA
605 - Cemetary,1,NA
605 - Cemetary,2,NA
605 - Cemetary,3,NA
605 - Cemetary,4,NA
605 - Cemetary,5,NA
605 - Cemetary,6,NA
605 - Cemetary,7,NA
605 - Commercial,8,NA
605 - Commercial,9,NA
605 - Commercial,10,NA
605 - Commercial,11,NA
605 - Commercial,12,NA
605 - Commercial,13,NA
605 - Commercial,14,NA
605 - Commercial,15,NA
605 - Commercial,16,NA
605 - Commercial,17,NA
605 - Commercial,18,NA
605 - Commercial,19,NA
605 - Commercial,20,NA
605 - Commercial,21,NA
605 - Commercial,22,NA
605 - Commercial,23,NA
605 - Executive Administrative,24,NA
605 - Executive Administrative,25,NA
605 - Executive Administrative,26,NA
605 - Executive Administrative,27,NA
605 - Executive Administrative,28,NA
605 - Executive Administrative,29,NA
605 - Executive Administrative,30,NA
605 - Executive Administrative,31,NA
605 - Executive Administrative,32,NA
605 - Planned Development,33,NA
605 - Planned Development,34,NA
605 - Planned Development,35,2
605 - Planned Development,36,2
605 - Planned Development,37,1
605 - Planned Development,38,2
605 - Public,39,NA
605 - Public,40,NA
605 - Public,41,NA
605 - Public,42,NA
605 - Residential Single Family,43,1
605 - Residential Single Family,44,1
605 - Residential Single Family,45,1
605 - Residential Single Family,46,1
605 - Residential Single Family,47,1
605 - Residential Single Family,48,1
605 - Residential Single Family,49,1
605 - Residential Single Family,50,1
605 - Residential Single Family,51,1
605 - Residential Single Family,52,1
