id,general_pl,Zoning
0,NA,3
1,NA,0
2,NA,0
4,NA,0
5,NA,0
6,NA,3
7,NA,0
8,NA,0
9,NA,0
10,NA,0
11,NA,0
12,NA,0
13,NA,0
14,NA,0
15,NA,0
16,NA,3
17,NA,3
18,NA,0
19,NA,3
20,NA,0
21,NA,0
22,NA,0
23,NA,3
24,NA,0
25,NA,3
26,NA,0
27,NA,0
28,NA,0
29,NA,0
30,NA,0
31,NA,0
32,NA,0
33,NA,0
34,NA,0
35,NA,0
36,NA,0
37,NA,0
38,NA,0
39,NA,0
40,NA,0
41,NA,3
42,NA,0
43,NA,0
44,NA,0
45,NA,0
46,NA,0
47,NA,0
48,NA,0
49,NA,0
50,NA,0
51,NA,3
52,NA,0
53,NA,0
54,NA,0
55,NA,0
56,NA,0
57,NA,0
58,NA,0
59,NA,0
60,NA,0
61,NA,0
62,NA,0
63,NA,0
64,NA,0
65,NA,0
66,NA,0
67,NA,0
68,NA,0
69,NA,3
70,NA,0
71,NA,0
72,NA,0
73,NA,3
74,NA,3
75,NA,3
76,NA,0
77,NA,3
78,NA,3
79,NA,3
80,NA,0
81,NA,3
82,NA,3
83,NA,3
84,BP,0
85,BP,0
86,BP,3
87,BP,0
88,BP,0
89,BP,0
90,BP,0
91,BP,0
92,BP,3
93,BP,3
94,BP,0
95,BP,0
96,BP,0
97,BP,0
98,BP,0
99,BP,0
100,BP,0
101,BP,0
102,BP,0
103,BP,0
104,BP,0
105,BP,0
106,BP,0
107,BP,0
108,BP,0
109,BP,0
110,BP,0
111,BP,0
112,BP,0
113,BP,3
114,BP,0
115,BP,0
116,BP,0
117,BP,0
118,BP,0
119,BP,3
120,CMU,0
121,CMU,0
122,CMU,0
123,CMU,0
124,CMU,0
125,CMU,0
126,CMU,0
127,CMU,0
128,CMU,0
129,CMU,0
130,CMU,0
131,CMU,0
132,CMU,0
133,CMU,0
134,CMU,0
135,CMU,0
136,CMU,0
137,CMU,0
138,CMU,0
139,CMU,0
140,CMU,0
141,CMU,0
142,CMU,0
143,CMU,0
144,CMU,0
145,CMU,0
146,CMU,3
147,CMU,0
148,CMU,0
149,CMU,0
150,CMU,0
151,CMU,0
152,CMU,0
153,CMU,0
154,CMU,0
155,CMU,0
156,CMU,0
157,CMU,0
158,CMU,0
159,CMU,0
160,CMU,0
161,CMU,0
162,CMU,0
163,CMU,0
164,CMU,0
165,CMU,0
166,CMU,0
167,CMU,0
168,CMU,0
169,CMU,0
170,CMU,0
171,CMU,0
172,CMU,0
173,CMU,0
174,CMU,0
175,CMU,0
176,CMU,0
177,CMU,0
178,CMU,3
179,CMU,0
180,CMU,0
181,CNWS_I,0
182,CNWS_I,0
183,CNWS_I,0
184,CNWS_I,0
185,CNWS_I,0
186,CNWS_I,0
187,CNWS_I,0
188,CNWS_I,0
189,CNWS_I,0
190,CNWS_I,0
191,CNWS_I,0
192,CNWS_I,0
193,CNWS_I,0
194,CNWS_I,0
195,CNWS_I,0
196,CNWS_I,0
197,CNWS_I,0
198,CNWS_I,0
199,CNWS_T,3
200,CNWS_T,3
201,CNWS_T,3
202,CNWS_T,3
203,CNWS_T,3
204,CNWS_T,3
205,CNWS_T,3
206,CNWS_T,3
207,CNWS_T,3
208,CNWS_T,3
209,CNWS_T,3
210,CNWS_T,3
211,CO,0
212,CO,0
213,CO,0
214,CO,0
215,CO,0
216,CO,0
217,CO,0
218,CO,0
219,CO,0
220,CO,0
221,CO,0
222,CO,0
223,CO,0
224,CO,0
225,CO,0
226,CO,0
227,CO,0
228,CO,0
229,CO,0
230,CO,0
231,CO,0
232,CO,0
233,CO,0
234,CO,0
235,CO,0
236,CO,0
237,CO,0
238,CO,0
239,DTMU,0
240,DTMU,3
241,DTMU,0
242,DTMU,3
243,DTMU,3
244,DTMU,3
245,DTMU,3
246,DTMU,0
247,DTMU,3
248,DTMU,3
249,DTMU,0
250,DTMU,3
251,DTMU,3
252,DTMU,2
253,DTMU,3
254,DTMU,3
255,DTMU,0
256,DTMU,3
257,DTMU,0
258,DTMU,3
259,DTMU,3
260,DTMU,0
261,DTMU,3
262,DTMU,3
263,DTMU,3
264,DTMU,0
265,DTMU,0
266,DTMU,0
267,DTMU,3
268,DTMU,3
269,DTMU,0
270,DTMU,3
271,DTMU,0
272,DTMU,3
273,DTMU,0
274,DTMU,3
275,DTMU,3
276,DTMU,0
277,DTMU,0
278,DTMU,3
279,DTMU,3
280,DTMU,0
281,DTMU,3
282,DTMU,0
283,DTMU,0
284,DTMU,3
285,DTMU,0
286,DTMU,3
287,DTMU,0
288,DTMU,3
289,DTMU,3
290,DTMU,0
291,DTMU,3
292,DTMU,3
293,DTMU,0
294,DTMU,3
295,DTMU,3
296,DTMU,3
297,DTMU,0
298,DTMU,3
299,DTMU,3
300,DTMU,0
301,DTMU,3
302,DTMU,3
303,DTMU,3
304,DTMU,2
305,DTMU,3
306,DTMU,3
307,DTMU,3
308,DTMU,3
309,DTMU,2
310,DTMU,2
311,DTMU,3
312,DTMU,3
313,DTMU,3
314,DTMU,3
315,DTMU,3
316,DTMU,0
317,DTMU,2
318,DTMU,0
319,DTMU,0
320,DTMU,0
321,DTMU,3
322,DTMU,0
323,DTMU,3
324,DTMU,3
325,DTMU,3
326,DTMU,0
327,DTMU,0
328,DTMU,3
329,DTMU,0
330,DTMU,3
331,DTMU,0
332,DTMU,3
333,DTMU,3
334,DTMU,3
335,DTMU,0
336,DTMU,3
337,DTMU,3
338,DTMU,3
339,DTMU,3
340,DTMU,2
341,DTMU,2
342,DTMU,3
343,DTMU,2
344,DTMU,3
345,DTMU,0
346,DTMU,3
347,DTMU,2
348,DTMU,3
349,DTMU,3
350,DTMU,2
351,DTMU,3
352,DTMU,3
353,DTMU,0
354,DTMU,0
355,DTMU,3
356,DTMU,0
357,DTMU,3
358,DTMU,3
359,DTMU,0
360,DTMU,3
361,DTMU,3
362,DTMU,0
363,DTMU,3
364,DTMU,3
365,DTMU,3
366,DTMU,3
367,DTMU,0
368,DTMU,3
369,DTMU,0
370,DTMU,3
371,DTMU,3
372,DTMU,3
373,DTMU,3
374,DTMU,0
375,DTMU,0
376,DTMU,3
377,DTMU,0
378,DTMU,3
379,DTMU,3
380,DTMU,3
381,DTMU,3
382,DTMU,0
383,DTMU,3
384,DTMU,0
385,DTMU,3
386,DTMU,3
387,DTMU,0
388,DTPD,0
389,DTPD,0
390,DTPD,0
391,DTPD,0
392,DTPD,0
393,DTPD,0
394,DTPD,0
395,DTPD,0
396,DTPD,0
397,DTPD,0
398,DTPD,0
399,DTPD,0
400,DTPD,0
401,DTPD,0
402,DTPD,0
403,DTPD,0
404,DTPD,0
405,DTPD,0
406,DTPD,0
407,DTPD,0
408,HDR,2
409,HDR,2
410,HDR,2
411,HDR,2
412,HDR,2
413,HDR,2
414,HDR,2
415,HDR,2
416,HDR,2
417,HDR,3
418,HDR,2
419,HDR,2
420,HDR,2
421,HDR,2
422,HDR,2
423,HDR,2
424,HDR,2
425,HDR,2
426,HI,3
427,HI,3
428,HI,3
429,HI,3
430,HI,3
431,IMU,0
432,IMU,0
433,IMU,0
434,IMU,0
435,IMU,3
436,LDR,1
437,LDR,3
438,LDR,3
439,LDR,3
440,LDR,3
441,LDR,3
442,LDR,3
443,LDR,3
444,LDR,3
445,LDR,3
446,LDR,3
447,LDR,3
448,LDR,3
449,LDR,3
450,LDR,3
451,LDR,3
452,LDR,3
453,LDR,1
