SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
931302.706055,5811.09699421,C-4,0
31045.9404297,1114.99863828,FC,0
1107934.85449,16911.3305503,R-1,1
817796.106445,7817.64638407,R-1,1
717449.751953,7067.09298169,R-1,1
603235.521484,6785.11668581,R-1,1
581274.445313,6130.6818317,R-1,1
574463.395508,6187.90882494,R-1,1
480685.963867,5225.86309667,R-1,1
471633.421875,4937.97440624,R-1,1
433361.084961,6286.32660243,R-1,1
409822.166992,5366.02433666,R-1,1
381210.056641,4644.7449429,R-1,1
378988.849609,3438.55739636,R-1,1
330468.288086,4720.79307359,R-1,1
329721.40625,4218.51491512,R-1,1
313064.915039,5471.62946772,R-1,1
252106.557617,2215.30857991,R-1,1
150666.282227,2262.94224336,R-1,1
235150.861328,2675.36461342,R-1,1
220162.791016,4572.06374602,R-1,1
212044.530273,2381.12897435,R-1,1
208592.041992,4218.51206322,R-1,1
208449.59082,2517.06193361,R-1,1
200763.523438,2323.65271498,R-1,1
199980.443359,2202.74122987,R-1,1
195341.560547,2257.57250735,R-1,1
179186.859375,1795.45641102,R-1,1
177092.474609,2887.81630803,R-1,1
176859.213867,3424.02511854,R-1,1
169327.547852,1667.81003184,R-1,1
168448.69043,1944.07536344,R-1,1
168295.84375,1979.2989788,R-1,1
166510.269531,1942.87894602,R-1,1
165993.416016,2005.83418025,R-1,1
160146.3125,1790.68216564,R-1,1
159022.566406,1925.00673841,R-1,1
158925.607422,2716.27285109,R-1,1
155225.238281,1893.64161682,R-1,1
154677.473633,1962.04754989,R-1,1
153157.710938,1882.1296752,R-1,1
152645.574219,1632.13042281,R-1,1
150658.831055,1809.23386219,R-1,1
149751.055664,1867.06492661,R-1,1
148114.991211,1699.63665206,R-1,1
147662.154297,1758.7514879,R-1,1
122257.594727,2515.42105188,R-1,1
146562.578125,1844.05356733,R-1,1
137162.547852,1727.71043254,R-1,1
136951.470703,1841.64846604,R-1,1
131385.207031,1518.71855595,R-1,1
131215.540039,1706.89767174,R-1,1
129865.764648,1608.89485026,R-1,1
129515.154297,2083.64305598,R-1,1
124405.55957,2301.38659241,R-1,1
122426.979492,1789.29406556,R-1,1
119639.3125,1516.22794574,R-1,1
112917.455078,1477.4854566,R-1,1
102518.217773,2216.40757614,R-1,1
102106.55957,1805.01614801,R-1,1
101305.242188,1394.84354328,R-1,1
100574.518555,1406.98781767,R-1,1
99914.8007813,1449.60575599,R-1,1
81590.1865234,1825.49108559,R-1,1
94378.2324219,1361.69811323,R-1,1
92144.5185547,2144.63475909,R-1,1
89616.3378906,2049.82356759,R-1,1
87158.2802734,1435.1018277,R-1,1
86342.0830078,1159.92392978,R-1,1
85137.4804688,1250.77072977,R-1,1
84454.1503906,1272.23114799,R-1,1
83936.5585938,1321.68145801,R-1,1
82412.5185547,1459.84304389,R-1,1
82269.3623047,1281.29375088,R-1,1
80848.2197266,1601.12057701,R-1,1
77629.6601563,1310.32021262,R-1,1
73959.0537109,1596.0967441,R-1,1
73739.7451172,1531.68836746,R-1,1
70690.2783203,1647.58044846,R-1,1
69567.7382813,1252.81392956,R-1,1
68123.8994141,1638.01881671,R-1,1
64312.0634766,1230.70404532,R-1,1
63897.7275391,1328.9725392,R-1,1
63476.7451172,1426.20372332,R-1,1
63202.6376953,1459.77683187,R-1,1
61880.5253906,1139.10527543,R-1,1
61333.3505859,1685.88317979,R-1,1
60896.9824219,1471.06490835,R-1,1
57036.3603516,1153.01658475,R-1,1
57009.328125,1447.8687215,R-1,1
56298.1269531,975.124874842,R-1,1
56115.7744141,1263.90465842,R-1,1
55944.0917969,1298.88213996,R-1,1
53649.2578125,949.837184564,R-1,1
52350.4980469,904.561657798,R-1,1
51360.640625,1146.66310916,R-1,1
50239.3251953,1058.54334102,R-1,1
49451.6621094,1199.45104615,R-1,1
49257.8134766,1285.46800767,R-1,1
48435.0849609,977.246831263,R-1,1
47925.8935547,1052.23180626,R-1,1
47914.3886719,856.949454373,R-1,1
47075.5488281,879.879243967,R-1,1
46936.4296875,1040.1675879,R-1,1
44516.2832031,877.335683136,R-1,1
41803.4755859,993.743172302,R-1,1
41220.0195313,996.083535147,R-1,1
39037.0585938,826.669422697,R-1,1
38984.4130859,1091.61476799,R-1,1
36947.7080078,1193.52218809,R-1,1
36461.2763672,1234.77125017,R-1,1
33361.6542969,904.242913358,R-1,1
31593.3583984,882.304026307,R-1,1
31035.9980469,816.608102456,R-1,1
30818.5478516,968.770238652,R-1,1
30702.6083984,1003.57129332,R-1,1
30016.1044922,879.260562615,R-1,1
28470.6337891,817.220834386,R-1,1
25239.0986328,718.094241879,R-1,1
22532.0390625,936.504988952,R-1,1
22051.9755859,751.053848279,R-1,1
21844.2167969,634.438156292,R-1,1
21088.4013672,835.84252079,R-1,1
20380.3408203,687.904458241,R-1,1
18484.1386719,750.899512954,R-1,1
18236.7441406,649.420228804,R-1,1
16343.5742188,672.972161703,R-1,1
14971.9160156,558.872345671,R-1,1
14174.6591797,484.014935049,R-1,1
14095.3457031,535.065321334,R-1,1
13847.1142578,488.970718286,R-1,1
13799.3759766,503.503918569,R-1,1
13016.0771484,469.456531338,R-1,1
12968.0839844,660.588242687,R-1,1
12692.9052734,457.631984296,R-1,1
11527.3564453,708.251243118,R-1,1
10697.3876953,450.050647798,R-1,1
10112.8339844,369.687802087,R-1,1
6738.296875,351.873575297,R-1,1
382542.094727,4663.64151717,R-1,1
322880.316406,2846.16246125,C-1,0
72378.4296875,1186.98647177,C-1,0
56860.0664063,1249.51232843,C-1,0
28100.0390625,683.597188447,C-1,0
26783.609375,734.511332545,C-1,0
19585.6933594,606.433594114,C-1,0
14581.7666016,496.522943444,C-1,0
13956.4931641,567.206143047,C-1,0
12517.6240234,447.780079876,C-1,0
8464.06933594,431.163804075,C-1,0
6825.88378906,526.122463764,C-1,0
4482.00878906,326.052897932,C-1,0
688190.855469,4113.35947279,MX-1,0
204634.394531,2496.96102313,C-3,0
174341.272461,2853.54881459,C-3,0
96033.6347656,1443.86802346,C-3,0
71128.2099609,1112.77807927,C-3,0
48798.3017578,1315.41352048,C-3,0
41114.5410156,889.497391118,C-3,0
29046.6425781,786.872349714,C-3,0
186451.076172,2315.4167573,FC,0
76511.6318359,2127.47898025,FC,0
72306.5058594,2922.86615827,FC,0
63816.9335938,2112.27365352,FC,0
62066.8896484,2581.05940483,FC,0
26173.5644531,673.80384746,FC,0
1320563.92969,4764.00869841,C-2,0
1180748.52148,4339.55648747,C-2,0
361745.479492,2589.91258071,M,0
310245.303711,2255.34988022,M,0
197761.835938,1803.76490152,M,0
278697.769531,2288.93841007,O,0
72487.1689453,1066.63837567,O,0
46350.0878906,869.234484615,O,0
41449.3867188,1181.77356598,O,0
21568.0595703,587.882147153,O,0
9412.70703125,381.82896088,O,0
