ZoneCode,Shape_Leng,Shape_Area,Zoning
CD,567.011769876,17421.7481922,NA
CD,588.166165571,21685.1950658,NA
CD,700.156547233,29961.3133525,NA
CD,1090.93953862,57752.0621824,NA
CD,424.248024233,11192.1715414,NA
CE,360.248248659,6312.54516095,NA
CE,502.661382831,15820.5231245,NA
CE,488.032847161,14953.0970968,NA
CE,3024.51340431,458989.257672,NA
CE,2046.14674762,253834.535907,NA
CE,3279.06944562,320517.070353,NA
CE,424.630934704,10844.7976087,NA
CE,817.57559424,41766.6675457,NA
CE,1072.08683899,44340.4610371,NA
CG,3654.29687378,327603.906283,NA
CG,5662.8501039,1067154.4824,NA
CG,1578.74862805,137861.390942,NA
CG,1888.97243753,204432.790609,NA
CG,1826.11658831,147926.377855,NA
CG,3773.71106774,712345.653691,NA
CG,5730.12319458,1524921.65131,NA
CI,1657.85248009,107109.120751,NA
CI,7808.04325951,855738.267643,NA
CI,5349.64753033,1040990.24141,NA
CI,7940.793527,1588434.89709,NA
IG,1816.75971548,223763.264608,NA
IG,2738.14402917,402288.086199,NA
IG,1676.93335489,162876.279322,NA
IG,12758.5997135,1338159.44617,NA
NL,1952.75589454,138582.287835,2
NL,1165.60181285,81205.3861538,2
NL,1021.25696527,65498.1123964,2
NL,937.870672572,41851.2744617,2
NL,2054.18876732,99874.5695669,2
NL,1084.09759909,72935.7194122,2
NL,1196.2873107,86395.66003,2
NL,9729.26797706,1366399.98597,2
NL,2214.31679034,132824.241458,2
NL,1431.64056025,119604.443515,2
NL,1467.61641886,119249.246156,2
NL,5455.9868387,523536.783839,2
NL,1508.95956935,71679.1512618,2
NL,2255.71936041,182900.380231,2
NL,4077.53501157,561141.21047,2
NL,1038.76076559,42754.2532806,2
NL,479.594791691,13224.9110323,2
NL,2969.63948755,166708.72326,2
NL,1031.01824251,69677.0753076,2
NL,1782.80257001,133296.158282,2
NL,1779.81677052,117833.942941,2
NL,7011.01112865,446046.522529,2
NL,2284.40141843,257807.879196,2
NL,2258.91571057,103440.575847,2
NL,1162.60683347,63956.0214707,2
NL,2144.52102638,176289.35406,2
NL,3299.23972556,188173.786214,2
NL,1291.4308209,101849.537791,2
NL,2392.4319597,110887.16088,2
NL,995.711972994,44782.0155015,2
NL,1646.00385795,175310.409901,2
NL,1413.25295358,61062.7994543,2
NL,1520.01339324,107603.601344,2
NL,2141.50350487,192237.874449,2
NL,1541.39772824,110266.671243,2
NL,919.824324786,36352.2254652,2
NL,1898.53716651,165734.04909,2
NL,789.377217529,33927.6413147,2
NL,997.450613085,36946.7099828,2
NL,5202.21645999,503319.780362,2
NL,1848.58464821,126186.148581,2
NL,1239.37672433,49212.2814042,2
NL,2340.94158357,260934.210373,2
NL,2253.24574118,103076.366885,2
NL,1874.57211645,122103.847299,2
NL,2068.8198727,175020.260427,2
NL,1724.28628777,104363.360097,2
NL,2030.44183385,136182.541328,2
NL,4275.85613931,249240.87488,2
NL,4569.72824316,445564.092905,2
NL,3825.39792018,656183.158636,2
NL,2897.55700952,412920.584058,2
NM,2039.00571419,232676.840689,2
NM,1321.46932294,70229.7138808,2
NM,422.012735973,10897.3193191,2
NM,1056.49405546,38489.3518793,2
NM,1887.87767194,207265.942331,2
NM,884.194410195,48628.5765008,2
NM,761.234016178,27502.9671933,2
NM,3528.01363155,578487.166881,2
NM,562.843117008,15706.9484703,2
NM,495.827872008,14782.9099452,2
NM,696.720538554,28745.7789198,2
NM,1681.67577523,142126.29339,2
NM,3789.79685684,148447.96701,2
NM,587.498319883,15446.5574202,2
NM,581.600292595,15404.3106187,2
NM,1592.33658306,103628.910143,2
NM,504.017477422,15200.9342691,2
NM,507.541404349,16003.0953749,2
NM,1463.19560447,89129.1858059,2
NM,398.538372248,7461.84099186,2
NM,1091.39069208,45026.4026953,2
NM,688.751324316,16432.2728847,2
NM,3128.78974665,256872.217972,2
NM,752.44794565,35743.3387439,2
