OBJECTID,LABEL,TYPE,Acres,IsHeartofC,CreateDate,UpdateDate,GlobalID,ZoningDesc,ShapeSTAre,ShapeSTLen,Zoning
1671,BQ,BQ,1.70453965,No,NA,NA,{70EC50A5-341F-462D-810D-2DC63CF1832F},Quasi Public Building,74249.7470703125,1218.8576902548684,NA
1672,R1C,R1C,1.43154759,No,NA,NA,{1DF6DA50-0702-4995-AB1F-48D5C3E14453},Residential Single-Family Cluster,62035.466796875,1229.7137178660894,1
1673,PR,PR,1.00069035,No,NA,NA,{3BF2392C-6DAF-4A6E-9D5B-C02CDD97E9A9},Park and Recreation,43590.0703125,874.9046842513078,NA
1674,BQ,BQ,58.40816002,No,NA,NA,{46A22CC6-429C-42AF-BD6B-5E139BB97D0C},Quasi Public Building,2545707.634765625,7101.216308788307,NA
1675,R1-10,R1,0.27734465,No,NA,NA,{FA311ACD-5341-4EC5-B925-407856CD3B99},Single-Family Residential,11893.7021484375,458.41724766079875,1
1676,R1-7.5,R1,6.22030185,No,NA,NA,{C641A462-392E-424C-95BD-27C1945A4535},Single-Family Residential,270749.6162109375,2540.731890046977,1
1677,R2-4.25,R2,0.94650876,No,NA,NA,{D174B2BE-4A82-48DA-AFCB-38A7EFB47DD5},Residential Duplex,41162.220703125,823.1924556107415,2
1678,R1-10,R1,6.59150352,No,NA,NA,{48CC464B-A853-46C6-87D1-D21AEDAC788D},Single-Family Residential,287071.5458984375,3216.769426587865,1
1679,R2-4.25,R2,0.69209518,No,NA,NA,{5A4F2169-758F-43EF-AF8A-384B743136FF},Residential Duplex,30207.2421875,678.2099744726302,2
1680,P(R2),R2,0.99980122,No,NA,NA,{2941C5FC-63F9-4CEB-9855-4A3F9D14A257},Residential Duplex,43162.6162109375,1054.7221286134163,2
1681,"P(CG, Res)",P,1.00791194,No,2014-06-18T00:00:00.000Z,NA,{BA8DCB5A-2C17-4655-A0C8-02B7E95157E9},Planned Development,43958.0224609375,845.854827292286,NA
1682,R1C-2.9,R1C,13.661073,No,NA,NA,{B308D087-838B-4D32-B539-84890C13D63D},Residential Single-Family Cluster,595495.1533203125,3920.259961196551,1
1683,R1-7.5,R1,0.89698724,No,NA,NA,{545C5566-DBE4-419D-B7E2-B2E2BB4EEBCF},Single-Family Residential,39072.767578125,800.7717348734755,1
1684,R1-20,R1,1.13507252,No,NA,NA,{7AAE7CC7-A01B-4516-8FCD-F4FBFF387EBF},Single-Family Residential,49424.3037109375,1121.894742260096,1
1685,P(Res),R1,43.32525214,No,NA,NA,{29E2CE9A-3175-40F3-800A-B649020782AE},Single-Family Residential,1891703.63671875,5731.511720618545,1
1686,R3,R3,1.10132077,No,NA,NA,{5F4354E9-996E-4A96-A528-EF05DED14877},Multiple-Family Residential,47973.5439453125,880.9401977207491,2
1687,P(CG),CG,2.12507349,No,NA,NA,{C922F23F-EF92-4635-B728-ABF5A2FFA52A},General Commercial,92606.23828125,1494.2830168443954,NA
1688,BA,BA,0.70649112,No,NA,NA,{F540DFF2-BF04-4115-8217-8AE49A43FCF5},Public Building,30794.77734375,793.1979990903985,NA
1689,"P(CG, Res)",P,5.79551919,No,NA,NA,{8F4B757D-A3E0-44C2-95DE-752196E71C2A},Planned Development,252596.7158203125,2179.3528179187974,NA
1690,R2-4.25i,R2,1.54737098,No,NA,NA,{187D9AF3-9225-412E-8433-EC7F2BA9296D},Residential Duplex,67274.8740234375,1301.001807079288,2
1691,R2-4.25,R2,9.22867925,No,NA,NA,{37071B1D-AE19-4D94-AFA0-44326D9939DA},Residential Duplex,402315.4130859375,3194.4869324554493,2
1692,P(Res),R1,14.31427226,No,NA,NA,{71219CD7-C1C9-40EC-84A5-BFC1A532CC47},Single-Family Residential,623636.2900390625,3460.1218419533016,1
1693,OS,OS,2.51208876,No,NA,NA,{FC67C773-36A6-4667-8929-9C251057A010},Open Space,109256.6650390625,1523.0997835784328,NA
1694,R1-10,R1,0.64563844,No,NA,NA,{0E27AC37-C3F4-43DB-BE06-3EF2D2167E95},Single-Family Residential,28173.193359375,686.4118690241421,1
1695,R1-10,R1,5.22558234,No,NA,NA,{0E12663A-E207-41ED-B63F-A33FBFEA7180},Single-Family Residential,227257.087890625,2568.503231105982,1
1696,PR,PR,7.37379111,No,NA,NA,{9E4E1E8D-6558-4719-A50C-86410E61323B},Park and Recreation,321531.4716796875,2342.407809103086,NA
1697,R2-4.25,R2,0.50124161,No,NA,NA,{AF0C9C3D-7292-439F-BD3A-8B7AAC49C67A},Residential Duplex,21862.2431640625,619.1292530966576,2
1698,BQ,BQ,3.3239119,No,NA,NA,{53B32CC3-C7BB-4C45-9B82-7CE5B136E689},Quasi Public Building,144745.4931640625,1696.8840773676416,NA
1699,R2-4.25i,R2,4.96829522,No,NA,NA,{72476AD0-70FC-4C54-8897-29DD42ABD009},Residential Duplex,216774.9677734375,2923.846373027316,2
1700,R2-4.25,R2,1.79691578,No,NA,NA,{CCB81330-C74A-4D30-B0E4-38A638ACC0DC},Residential Duplex,78262.505859375,1493.0835445172406,2
1701,R2-4.25,R2,0.4427291,No,NA,NA,{54D2AAE0-A5A8-4639-9C60-F16D6017603D},Residential Duplex,19285.2802734375,664.4591762108372,2
