gnrl_p_,id,zoning
802 - Agricultural,0,0
802 - Agricultural,1,0
802 - Agricultural,2,0
802 - Community Commercial,3,0
802 - Core Area Mixed Use_MF,4,2
802 - Core Area Mixed Use,5,0
802 - Core Area Mixed Use,6,0
802 - Downtown Commercial,7,0
802 - Future Residential,8,0
802 - Future Residential,9,0
802 - Future Residential,10,0
802 - Future Residential,11,0
802 - Future Residential,12,0
802 - Future Residential,13,0
802 - Future Residential,14,0
802 - Future Residential,15,0
802 - Future Residential,16,0
802 - General Industrial,17,0
802 - General Industrial,18,0
802 - General Industrial,19,0
802 - Governmental/Institutional,20,0
802 - Governmental/Institutional,21,0
802 - Governmental/Institutional,22,0
802 - Governmental/Institutional,23,0
802 - Governmental/Institutional,24,0
802 - Governmental/Institutional,25,0
802 - Governmental/Institutional,26,0
802 - Governmental/Institutional,27,0
802 - Governmental/Institutional,28,0
802 - High Density Residential,29,2
802 - Highway Commercial,30,0
802 - Highway Commercial,31,0
802 - Highway Commercial,32,0
802 - Highway Commercial,33,0
802 - Highway Commercial,34,0
802 - Highway Commercial/Professional/Administrative Offices,35,0
802 - Highway Commercial/Professional/Administrative Offices,36,0
802 - Industrial Employment Center,37,0
802 - Industrial Employment Center,38,0
802 - Low Density Residential,39,1
802 - Low Density Residential,40,1
802 - Low Density Residential,41,1
802 - Low Density Residential,42,1
802 - Low Density Residential,43,1
802 - Low Density Residential,44,1
802 - Low Density Residential,45,1
802 - Low Density Residential,46,1
802 - Low Density Residential,47,1
802 - Low Density Residential,48,1
802 - Low Density Residential,49,1
802 - Low Density Residential,50,1
802 - Low Density Residential,51,1
802 - Low Density Residential,52,1
802 - Low Density Residential,53,1
802 - Medium-High Density Residential,54,2
802 - Medium-High Density Residential,55,2
802 - Medium-High Density Residential,56,2
802 - Medium-High Density Residential,57,2
802 - Medium-High Density Residential,58,2
802 - Medium-High Density Residential,59,2
802 - Medium-Low Density Residential,60,2
802 - Medium-Low Density Residential,61,2
802 - Medium-Low Density Residential,62,2
802 - Medium-Low Density Residential,63,2
802 - Medium-Low Density Residential,64,2
802 - Medium-Low Density Residential,65,2
802 - Medium-Low Density Residential,66,2
802 - Medium-Low Density Residential,67,2
802 - Medium-Low Density Residential,68,2
802 - Medium-Low Density Residential,69,2
802 - Medium-Low Density Residential,70,2
802 - Medium-Low Density Residential_SF,71,1
802 - Medium-Low Density Residential,72,2
802 - Medium-Low Density Residential,73,2
802 - Medium-Low Density Residential,74,2
802 - Medium-Low Density Residential_SF,75,1
802 - Neighborhood Commercial,76,0
802 - Neighborhood Commercial,77,0
802 - Neighborhood Commercial,78,0
802 - Parks,79,0
802 - Parks,80,0
802 - Parks,81,0
802 - Parks,82,0
802 - Parks,83,0
802 - Parks,84,0
802 - Parks,85,0
802 - Parks,86,0
802 - Parks,87,0
802 - Planned Business/Industrial,88,0
802 - Planned Business/Industrial,89,0
802 - Planned Business/Industrial,90,0
802 - Planned Business/Industrial/Service Commercial,91,0
802 - Professional/Administrative Office,92,0
802 - Professional/Administrative Office,93,0
802 - Professional/Administrative Office,94,0
802 - Professional/Administrative Office,95,0
802 - Professional/Administrative Office,96,0
802 - School Buildings/Play Areas,97,0
802 - School Buildings/Play Areas,98,0
802 - School Buildings/Play Areas,99,0
802 - School Buildings/Play Areas,100,0
802 - School Buildings/Play Areas,101,0
802 - Services Commercial,102,0
802 - Services Commercial,103,0
802 - Services Commercial,104,0
802 - Services Commercial,105,0
802 - Services Commercial/Professional/Administrative Offices,106,0
802 - Very Low Density Residential,107,1
Edited_SF,998,1
Edited_NonRes,997,0
Edited_SF,996,1
Edited_NonRes,999,0
