gnrl_p_,id,city_nm,zoning
MDR,0,dublin,2
OS,1,dublin,0
SC,2,dublin,0
MDR,3,dublin,2
MDR,4,dublin,2
MDR,5,dublin,2
MDR,6,dublin,2
MDR,7,dublin,2
LDR,8,dublin,1
SC,9,dublin,0
MDR,10,dublin,2
MDR,11,dublin,2
SFR,12,dublin,1
SC,13,dublin,0
LDR,14,dublin,1
LDR,15,dublin,1
MDR,16,dublin,2
SFR,17,dublin,1
LDR,18,dublin,1
SFR,19,dublin,1
LDR,20,dublin,1
OS,21,dublin,0
LDR,22,dublin,1
SFR,23,dublin,1
NP,24,dublin,0
OS,25,dublin,0
SFR,26,dublin,1
SC,27,dublin,0
MDR,28,dublin,2
NP,29,dublin,0
LDR,30,dublin,1
SFR,31,dublin,1
MDR,32,dublin,2
SFR,33,dublin,1
LDR,34,dublin,1
MDR,35,dublin,2
MDR,36,dublin,2
MDR,37,dublin,2
SFR,38,dublin,1
PSP,39,dublin,0
MDR,40,dublin,2
LDR,41,dublin,1
SFR,42,dublin,1
RO,43,dublin,0
MHDR,44,dublin,2
MHDR,45,dublin,2
SFR,46,dublin,1
HDR,47,dublin,2
ES,48,dublin,0
SFR,49,dublin,1
LDR,50,dublin,1
MDR,51,dublin,2
MHDR,52,dublin,2
LDR,53,dublin,1
LDR,54,dublin,1
MHDR,55,dublin,2
SFR,56,dublin,1
LDR,57,dublin,1
SFR,58,dublin,1
SFR,59,dublin,1
SFR,60,dublin,1
SFR,61,dublin,1
SFR,62,dublin,1
OS,63,dublin,0
SFR,64,dublin,1
SFR,65,dublin,1
LDR,66,dublin,1
SFR,67,dublin,1
PSP,68,dublin,0
SFR,69,dublin,1
CP,70,dublin,0
LDR,71,dublin,1
LDR,72,dublin,1
SC,73,dublin,0
SFR,74,dublin,1
SFR,75,dublin,1
LDR,76,dublin,1
SFR,77,dublin,1
MDR,78,dublin,2
SFR,79,dublin,1
LDR,80,dublin,1
LDR,81,dublin,1
SFR,82,dublin,1
SFR,83,dublin,1
SFR,84,dublin,1
SFR,85,dublin,1
SFR,86,dublin,1
LDR,87,dublin,1
LDR,88,dublin,1
SFR,89,dublin,1
SFR,90,dublin,1
SC,91,dublin,0
MDR,92,dublin,2
LDR,93,dublin,1
LDR,94,dublin,1
SFR,95,dublin,1
OS,96,dublin,0
NP,97,dublin,0
SFR,98,dublin,1
MDR,99,dublin,2
LDR,100,dublin,1
SFR,101,dublin,1
OS,102,dublin,0
