id,gnrl_p_,city_nm,zoning
0,621 - Community Open Space Conservation,east palo alto,0
1,621 - Community Open Space Conservation,east palo alto,0
2,621 - Community Open Space Conservation,east palo alto,0
3,621 - Community Open Space Conservation,east palo alto,0
4,621 - General Commercial,east palo alto,0
5,621 - General Commercial_MF,east palo alto,2
6,621 - General Commercial_MF,east palo alto,2
7,621 - General Commercial_MF,east palo alto,2
8,621 - General Commercial,east palo alto,0
9,621 - General Commercial_MF,east palo alto,2
10,621 - General Commercial_MF,east palo alto,2
11,621 - General Commercial,east palo alto,0
12,621 - General Commercial,east palo alto,0
13,621 - General Commercial,east palo alto,0
14,621 - General Commercial,east palo alto,0
15,621 - General Commercial,east palo alto,0
16,621 - General Commercial,east palo alto,0
17,621 - General Commercial,east palo alto,0
18,621 - General Commercial,east palo alto,0
19,621 - General Commercial,east palo alto,0
20,621 - General Commercial,east palo alto,0
21,621 - General Commercial,east palo alto,0
22,621 - General Commercial,east palo alto,0
23,621 - General Commercial,east palo alto,0
24,621 - General Commercial,east palo alto,0
25,621 - General Commercial,east palo alto,0
26,621 - General Commercial,east palo alto,0
27,621 - General Commercial,east palo alto,0
28,621 - General Commercial,east palo alto,0
29,621 - General Commercial,east palo alto,0
30,621 - General Commercial,east palo alto,0
31,621 - General Industrial_SF,east palo alto,1
32,621 - General Industrial,east palo alto,0
33,621 - General Industrial,east palo alto,0
34,621 - General Industrial,east palo alto,0
35,621 - Heavy Industrial,east palo alto,0
36,621 - Heavy Industrial,east palo alto,0
37,621 - High Density Residential,east palo alto,2
38,621 - High Density Residential,east palo alto,2
39,621 - High Density Residential,east palo alto,2
40,621 - High Density Residential,east palo alto,2
41,621 - High Density Residential,east palo alto,2
42,621 - High Density Residential,east palo alto,2
43,621 - High Density Residential,east palo alto,2
44,621 - High Density Residential,east palo alto,2
45,621 - High Density Residential,east palo alto,2
46,621 - High Density Residential,east palo alto,2
47,621 - High Density Residential,east palo alto,2
48,621 - High Density Residential,east palo alto,2
49,621 - High Density Residential,east palo alto,2
50,621 - High Density Residential,east palo alto,2
51,621 - High Density Residential,east palo alto,2
52,621 - High Density Residential,east palo alto,2
53,621 - High Density Residential,east palo alto,2
54,621 - Industrial Buffer,east palo alto,0
55,621 - Industrial Buffer,east palo alto,0
56,621 - Industrial Buffer,east palo alto,0
57,621 - Low/Medium Density Residential,east palo alto,1
58,621 - Low/Medium Density Residential,east palo alto,1
59,621 - Low/Medium Density Residential,east palo alto,1
60,621 - Low/Medium Density Residential,east palo alto,1
61,621 - Low/Medium Density Residential,east palo alto,1
62,621 - Low/Medium Density Residential,east palo alto,1
63,621 - Low/Medium Density Residential,east palo alto,1
64,621 - Low/Medium Density Residential,east palo alto,1
65,621 - Low/Medium Density Residential,east palo alto,1
