general_pl,id,Zoning
RS-10,0,1
RD,1,2
OS-N,2,0
PR,3,0
RS-7.5,4,1
RS-7.5,5,1
PS,6,0
PS,7,0
PR,8,0
PS,9,0
OS-N,10,0
PR,11,0
PS,12,0
"RD, PD",13,2
PR,14,0
PS,15,0
RS-10,16,1
RS-7.5,17,1
PR,18,0
PS,19,0
PS,20,0
NC,21,0
PS,22,0
PR,23,0
PS,24,0
PR,25,0
TOM,26,0
RM,27,2
RM,28,2
PS,29,0
RD,30,2
PS,31,0
PS,32,0
PR,33,0
PS,34,0
"TOM, PD",35,0
RM,36,2
RD,37,2
RM,38,2
RD,39,2
TOM,40,0
"PS, PD",41,0
CC,42,0
RM,43,2
RM,44,2
PS,45,0
CC,46,0
TOM,47,0
"TOM, PD",48,0
TOM,49,0
CC,50,0
TOM,51,0
RD,52,2
NC,53,0
RS-20,54,1
"RS-10, PD",55,1
"RS-10, PD",56,1
RS-7.5,57,1
RS-7.5,58,1
PR,59,0
OS-N,60,0
OS-N,61,0
OS-N,62,0
RS,63,1
RS-10,64,1
"RS-10, PD",65,1
"RS, PD",66,1
"RS, PD",67,1
RD,68,2
RS,69,1
PR,70,0
"RS, PD",71,1
RS,72,1
PR,73,0
RS,74,1
RS,75,1
PS,76,0
"NC, PD",77,0
"RM, PD",78,2
CC,79,0
