gnrl_p_,id,cty_nm_x,edt_g__,cty_nm_y,zoning
MU-4-x-55,0,emeryville,MU-4-x-55,emeryville,0
ROW,1,emeryville,ROW,emeryville,0
MUR-1.6-60-55,2,emeryville,MUR-1.6-60-55,emeryville,0
MUR-3-100-75,3,emeryville,MUR-3-100-75,emeryville,0
ROW,4,emeryville,ROW,emeryville,0
ROW,5,emeryville,ROW,emeryville,0
MU-4-x-100,6,emeryville,MU-4-x-100,emeryville,0
ROW,7,emeryville,ROW,emeryville,0
Park,8,emeryville,Park,emeryville,0
ROW,9,emeryville,ROW,emeryville,0
MDR-0.5-35-30,10,emeryville,MDR-0.5-35-30,emeryville,1
MUR-1.6-60-55,11,emeryville,MUR-1.6-60-55,emeryville,0
MDR-0.5-35-30,12,emeryville,MDR-0.5-35-30,emeryville,1
ROW,13,emeryville,ROW,emeryville,0
MUR-3-100-75,14,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
CO-3-x-100,15,emeryville,CO-3-x-100,emeryville,0
MUR-3-100-75,16,emeryville,MUR-3-100-75,emeryville,0
MUR-3-100-75,17,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
MUR-3-100-75,18,emeryville,MUR-3-100-75,emeryville,0
CO-3-x-55,19,emeryville,CO-3-x-55,emeryville,0
MUR-6-170-55,20,emeryville,MUR-6-170-55,emeryville,0
Water,21,emeryville,Water,emeryville,3
MDR-0.5-35-30,22,emeryville,MDR-0.5-35-30,emeryville,1
MUR-3-100-75,23,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
MU-4-x-100,24,emeryville,MU-4-x-100,emeryville,0
MUR-3-100-75,25,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
MU-4-x-100,26,emeryville,MU-4-x-100,emeryville,0
MU-4-x-100,27,emeryville,MU-4-x-100,emeryville,0
ROW,28,emeryville,ROW,emeryville,0
MUR-1.6-60-55,29,emeryville,MUR-1.6-60-55,emeryville,0
MU-4-x-100,30,emeryville,MU-4-x-100,emeryville,0
ROW,31,emeryville,ROW,emeryville,0
Ind-0.5-x-55,32,emeryville,Ind-0.5-x-55,emeryville,0
ROW,33,emeryville,ROW,emeryville,0
MDR-0.5-35-30,34,emeryville,MDR-0.5-35-30,emeryville,1
Park,35,emeryville,Park,emeryville,0
MDR-0.5-35-30,36,emeryville,MDR-0.5-35-30,emeryville,1
MUR-3-100-75,37,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
ROW,38,emeryville,ROW,emeryville,0
MUR-3-100-75,39,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
MDR-1.6-60-55,40,emeryville,MDR-1.6-60-55,emeryville,1
MUR-3-100-75,41,emeryville,MUR-3-100-75,emeryville,0
Water,42,emeryville,Water,emeryville,3
ROW,43,emeryville,ROW,emeryville,0
ROW,44,emeryville,ROW,emeryville,0
MU-4-x-100,45,emeryville,MU-4-x-100,emeryville,0
MU-4-x-100,46,emeryville,MU-4-x-100,emeryville,0
MUR-3-100-75,47,emeryville,MUR-3-100-75,emeryville,0
MDR-0.5-35-30,48,emeryville,MDR-0.5-35-30,emeryville,1
MUR-3-100-75,49,emeryville,MUR-3-100-75,emeryville,0
MDR-0.5-35-30,50,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,51,emeryville,MDR-0.5-35-30,emeryville,1
OS,52,emeryville,OS,emeryville,0
MUR-3-100-75,53,emeryville,MUR-3-100-75,emeryville,0
MU-4-x-100,54,emeryville,MU-4-x-100,emeryville,0
