ZoningDesc,GroupLabel,UnitsPerAc,MinimumLot,MinimumL_1,PlannedDis,NoticingBu,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
NA,PD - Public Domain,0,0,0,NA,0,76177.3339844,1431.68285071,PD,NA
NA,PD - Public Domain,0,0,0,NA,0,74654.0009766,1256.79011463,PD,NA
NA,PD - Public Domain,0,0,0,NA,0,59104.1572266,1169.27460404,PD,NA
NA,PD - Public Domain,0,0,0,NA,0,29523.75,686.040967814,PD,NA
NA,PD - Public Domain,0,0,0,NA,0,20098.265625,612.861738262,PD,NA
NA,PD - Public Domain,0,0,0,NA,0,6599.33496094,355.935295457,PD,NA
NA,PD - Public Domain,0,0,0,NA,0,19049.6523438,562.375721293,PD,NA
NA,RS-6 Single Family Residential,0,0,0,NA,0,3874.84863281,256.43476903,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,93501.9960938,1874.03035101,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,34990.4257813,935.212210165,RS-6,1
NA,RS-7.5 Single Family Residential,0,0,0,NA,0,393024.552734,2714.69460358,RS-7.5,1
NA,PDD - Planned Development District,0,0,0,NA,0,83597.3320313,1286.02261875,PDD,NA
NA,UR-10 Upland Residential (10ac/du),0,0,0,NA,0,3985181.95117,14918.5868754,UR-10,1
NA,PDD - Planned Development District,0,0,0,NA,0,388849.286133,3947.07911366,PDD,1
NA,PD - Public Domain,0,0,0,NA,0,143467.120117,2037.13717848,PD,NA
NA,RM Multi-Family Residential,0,0,0,NA,0,105611.582031,1810.2110943,RM,2
NA,PDD - Planned Development District,0,0,0,NA,0,48489.3496094,1081.60648189,PDD,NA
NA,O-A Open Space,0,0,0,NA,0,270230.447266,3297.98383813,O-A,NA
NA,UR-7 Upland Residential (7ac/du),0,0,0,NA,0,1327914.75195,5667.70747091,UR-7,1
NA,RM Multi-Family Residential,0,0,0,NA,0,116399.786133,1952.42732862,RM,2
NA,UR-10 Upland Residential (10ac/du),0,0,0,NA,0,497663.842773,3693.62251114,UR-10,1
NA,PDD - Planned Development District,0,0,0,NA,0,307990.479492,3091.36019395,PDD,NA
NA,RS-7.5 Single Family Residential,0,0,0,NA,0,67551.9599609,1035.74067923,RS-7.5,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,123202.084961,1806.90951418,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,32700.6884766,905.585179035,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,125446.535156,1420.85535952,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,66945.0224609,1403.94144779,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,59352.2109375,1009.59635796,RS-6,1
NA,UR-7 Upland Residential (7ac/du),0,0,0,NA,0,400513.417969,3060.74418897,UR-7,1
NA,UR-10 Upland Residential (10ac/du),0,0,0,NA,0,2155065.36426,7770.64911341,UR-10,1
NA,PD - Public Domain,0,0,0,NA,0,19375.2636719,550.061411997,PD,NA
NA,RM Multi-Family Residential,0,0,0,NA,0,249665.067383,2372.37494745,RM,2
NA,RS-6 Single Family Residential,0,0,0,NA,0,578253.785156,6146.68427003,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,72418.6435547,1469.23102278,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,74939.1894531,1263.69329235,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,51645.6152344,1057.71753168,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,82260.0712891,1586.73091426,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,123004.993164,1621.19671763,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,474595.032227,6500.33481413,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,168680.8125,1828.40204277,RS-6,1
NA,RM Multi-Family Residential,0,0,0,NA,0,64417.3730469,1282.23063764,RM,2
NA,CC - Central Commercial,0,0,0,NA,0,36078.0791016,870.485403949,CC,NA
NA,CC - Central Commercial,0,0,0,NA,0,67560.1298828,1366.47794969,CC,NA
NA,CC - Central Commercial,0,0,0,NA,0,25530.2841797,1035.4133036,CC,NA
NA,CC - Central Commercial,0,0,0,NA,0,30768.4863281,731.681181486,CC,NA
NA,CC - Central Commercial,0,0,0,NA,0,37346.2675781,839.832788446,CC,NA
NA,CC - Central Commercial,0,0,0,NA,0,15443.6279297,511.564636979,CC,NA
NA,CC - Central Commercial,0,0,0,NA,0,17270.6367188,691.310479029,CC,NA
NA,CH - Highway Commercial,0,0,0,NA,0,21465.3378906,813.089581528,CH,NA
NA,CH - Highway Commercial,0,0,0,NA,0,29622.9443359,895.096285961,CH,NA
