OBJECTI,DENSITY,NOTES,ORDINAN,OVERLAY,ZONECLA,ZONEDES,gnrl_p_,GLOBALI,Shp__Ar,Shp__Ln,MuncplC,edt_g__,zoning
1,NA,NA,2008-1,NA,OSC,Open Space Conservation,OSC,2101c72d-5039-419d-896e-798d02b103da,31888.5351563,1152.92801671,https://www.codepublishing.com/CA/Fairfield/,OSC,0
2,NA,NA,2008-1,NA,RH,High Density Residential,RH,17408d51-07f2-4ece-be41-75fda4af209f,92165.53125,1806.97805653,https://www.codepublishing.com/CA/Fairfield/,RH,2
3,NA,NA,2008-1,NA,RM,Medium Density Residential,RM,f5990919-5ec6-44a1-abb0-46bedb373acd,123068.414063,1902.72902145,https://www.codepublishing.com/CA/Fairfield/,RM,2
4,NA,NA,2008-1,NA,PF,Public Facilities,PF,a920a322-0a5e-4afe-912f-e4a84d5da502,84406.234375,1224.39506078,https://www.codepublishing.com/CA/Fairfield/,PF,0
5,NA,NA,2008-1,-PD,OSC,Open Space Conservation,OSC,18b10637-32e8-4d36-ab86-ac91ac00b060,2968.91796875,254.338421481911,https://www.codepublishing.com/CA/Fairfield/,OSC,0
6,NA,NA,2008-1,NA,OSC,Open Space Conservation,OSC,6a6b601b-3529-44cd-8beb-4197d01db653,26565.7773438,1376.77753143,https://www.codepublishing.com/CA/Fairfield/,OSC,0
7,NA,NA,2008-1,NA,REC,Recreation,REC,3b1f43fb-3fce-41af-adfb-0d740eb09535,45401.7421875,894.895852528122,https://www.codepublishing.com/CA/Fairfield/,REC,0
8,NA,NA,2008-1,NA,RM,Medium Density Residential,RM,6415201b-1a7a-4d29-84c5-6b646b468d99,112820.757813,1361.59566876,https://www.codepublishing.com/CA/Fairfield/,RM,2
9,NA,NA,2008-1,NA,RLM,Low-Medium Density Residential,RLM,8b5316fe-0dbe-43d4-95ef-3b4c6236ee54,137230.472656,2807.8252193,https://www.codepublishing.com/CA/Fairfield/,RLM,2
10,NA,NA,2008-1,NA,CM,Mixed Commercial,CM,edbf3be9-a5d5-48b0-8c98-3b8407565e85,94563.3476563,1327.01411989,https://www.codepublishing.com/CA/Fairfield/,CM,0
11,40,NA,2008-1,-PD,RVL:40,Very Low Density Residential,RVL:40,b378a8cc-a255-4760-b5df-ee3f3fe66ad5,29915.3046875,1325.41206787,https://www.codepublishing.com/CA/Fairfield/,RVL:40,1
12,8,NA,2008-1,-H,RL:8,Low Density Residential,RL:8,bdaed928-adf2-4fc6-9bc7-7a73a9365de9,29765.5078125,762.364329750187,https://www.codepublishing.com/CA/Fairfield/,RL:8,1
13,NA,NA,2009-7,NA,OSC,Open Space Conservation,OSC,bc8c9b68-dfcc-4af0-b511-eb9108d745ee,26584.4140625,1079.41928819,https://www.codepublishing.com/CA/Fairfield/,OSC,0
14,NA,NA,2008-1,NA,REC,Recreation,REC,8fbf6eaa-d395-49a2-aeed-850015bb9fb7,657636.285156,7031.31768406,https://www.codepublishing.com/CA/Fairfield/,REC,0
15,NA,NA,2008-1,NA,CT,Thoroughfare Commercial,CT,9ee549ef-72dc-4e86-8989-8a85f5cacdc4,32175.9453125,862.052681280994,https://www.codepublishing.com/CA/Fairfield/,CT,0
16,NA,NA,2009-7,NA,PF,Public Facilities,PF,c94f6aea-7cd7-4357-8011-afc2c9eec61c,174474.417969,3848.45915604,https://www.codepublishing.com/CA/Fairfield/,PF,0
17,8,NA,2008-1,NA,RL:8,Low Density Residential,RL:8,14fce8a2-dfdc-4dcb-a974-ee6d793d227f,432507.902344,2851.88021142,https://www.codepublishing.com/CA/Fairfield/,RL:8,1
18,NA,NA,2008-1,NA,CC,Community Commercial,CC,3fd62f14-94ca-4c26-b4b1-bd6fb5764a10,83855.6640625,1169.59877761,https://www.codepublishing.com/CA/Fairfield/,CC,0
19,NA,NA,2008-1,-H,REC,Recreation,REC,3ac92e72-ad75-48f3-8bdb-ba5969c6d3da,49487.5429688,1050.81924001,https://www.codepublishing.com/CA/Fairfield/,REC,0
20,NA,NA,2008-1,NA,CR,Regional Commercial,CR,01a88c43-0617-49d9-adb4-abe2eced0d1d,58578.8828125,1356.52985029,https://www.codepublishing.com/CA/Fairfield/,CR,0
21,NA,NA,2008-1,-H,PF,Public Facilities,PF,57a62520-8a99-4954-a6cb-38bf5468a913,62574.15625,1027.59068815,https://www.codepublishing.com/CA/Fairfield/,PF,0
22,10,NA,2008-1,NA,RL:10,Low Density Residential,RL:10,d111b736-abb0-4d01-931c-d67a38be05f1,217512.339844,2098.60569694,https://www.codepublishing.com/CA/Fairfield/,RL:10,1
23,NA,NA,2008-1,NA,OSC,Open Space Conservation,OSC,19004b13-c376-4580-809b-5f4b0f018b2e,11135.4101563,444.35761315327,https://www.codepublishing.com/CA/Fairfield/,OSC,0
24,NA,NA,2008-1,NA,OSC,Open Space Conservation,OSC,6e7825a7-6509-4358-8114-66dbf2daab1f,71801.3125,3232.68307744,https://www.codepublishing.com/CA/Fairfield/,OSC,0
25,NA,NA,2008-1,NA,OSC,Open Space Conservation,OSC,da1ab78e-1228-4115-ba71-cc89a054b890,10746.2421875,396.618395198448,https://www.codepublishing.com/CA/Fairfield/,OSC,0
26,NA,NA,2008-1,NA,RLM,Low-Medium Density Residential,RLM,099568a3-19ef-4914-91f0-e96dfabc0e39,44790,1528.3516238,https://www.codepublishing.com/CA/Fairfield/,RLM,2
27,NA,NA,2008-1,-PD,OSC,Open Space Conservation,OSC,eb6a4934-5460-4c6e-8765-ba298dc11af5,49121.6953125,1210.09109535,https://www.codepublishing.com/CA/Fairfield/,OSC,0
28,NA,NA,2008-1,NA,RLM,Low-Medium Density Residential,RLM,aca98823-ed03-4fb6-b8f1-7ba044841151,49467.8789063,1148.28813152,https://www.codepublishing.com/CA/Fairfield/,RLM,2
29,NA,NA,2008-1,NA,RM,Medium Density Residential,RM,1f8246c7-ef79-4303-9678-a210610429d9,11867.9570313,533.135683149311,https://www.codepublishing.com/CA/Fairfield/,RM,2
30,NA,NA,2008-1,NA,RH,High Density Residential,RH,0657528c-1a1f-4a2d-8b48-caff6117ee8b,47745.7382813,1009.97463953,https://www.codepublishing.com/CA/Fairfield/,RH,2
31,NA,NA,2008-1,-P1,CM,Mixed Commercial,CM,ebdee2d4-2244-4b5d-8d81-6b93ce3d96e2,70732.3867188,2096.25711152,https://www.codepublishing.com/CA/Fairfield/,CM_MF,2
32,NA,NA,2008-1,NA,CM,Mixed Commercial,CM,4192b5ce-96f8-43a7-8551-accefba0395a,21028.28125,651.207934722932,https://www.codepublishing.com/CA/Fairfield/,CM,0
33,NA,NA,2008-1,NA,PF,Public Facilities,PF,cb58d421-09b4-40d5-bb19-05f4573af51b,6117.359375,445.839606041006,https://www.codepublishing.com/CA/Fairfield/,PF,0
