Name,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,snippet,Zoning
TC-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
TC-P(I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2002-91,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2007-229(I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
TC-P,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G(I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
R-3-23,NA,NA,NA,clampToGround,-1,0,-1,0,NA,NA,2
P-2013-269,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
TC-P,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2006-10,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2013-201,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2006-153,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
MX,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
MX,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N(HOD)(H-I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
TC-P(HOD)(H-I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2002-63(HOD),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2014-323(HOD),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2001-34(HOD),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G(HOD)(H-I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G(HOD)(H-I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UO,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UO,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O(H-I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
R-3-18,NA,NA,NA,clampToGround,-1,0,-1,0,NA,NA,2
TC-T(I),NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UO,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2003-2,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2014-84,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-R,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
