OBJECTI,gnrl_p_,CreatDt,RevDate,RevBy,RvCmmnt,GloblID,DcmntUR,Shp_STA,Shp_STL,edt_g__,zoningd,zonngrd,znngr_1,zoning
1,HC,NA,2016-07-06,STEFANIE,NA,{4837D96B-CDC8-4979-B69D-5D6E5AF1AC6A},NA,8051929.46094,16163.7706011,HC,7,NA,NA,0
9988,SF_edit,NA,2016-07-07,STEFANIE,VERIFY; PER ZONING MAP NOTE,{56C4B3B7-7586-4343-BD0E-EE8E7780D53D},NA,18494182.7959,23108.7966306,SF_edit,8,NA,NA,1
3,C-3,NA,2016-07-06,STEFANIE,NA,{454AE0F1-A348-4719-9A26-6142787CF78F},NA,2004770.57227,6469.21984379,C-3,29,NA,NA,0
4,C-3,NA,2016-07-06,STEFANIE,NA,{811C8108-884F-48A7-B67A-B9D4F53617F7},NA,169801.5625,1693.05187172,C-3,29,NA,NA,0
5,HC,NA,2016-07-06,STEFANIE,NA,{9DBAD2DA-1590-4C12-8564-746D20C5AC86},NA,141085.664063,1777.98722331,HC,7,NA,NA,0
6,HC,NA,NA,NA,NA,{7E5436E9-0090-4492-AE33-D6086B5DEF70},NA,868579.40918,4095.74636012,HC,7,NA,NA,0
7,OS,NA,2016-07-06,STEFANIE,NA,{67B7F518-0B96-4FA4-9C43-5272A9AA6E0A},NA,57974419.084,47010.7402029,OS,140,NA,NA,0
8,PF,NA,NA,NA,NA,{391951EE-F80B-46EB-9116-A91F4EFF5A33},NA,105654.509766,1573.95655621,PF,156,NA,NA,0
9,PF,NA,NA,NA,NA,{E6DED35A-A8D2-4BDC-A525-9353AE10B847},NA,450818.271484,6248.25357507,PF,156,NA,NA,0
12,OS,NA,NA,NA,NA,{C9CE33D7-FFE6-4D00-8495-BC15A43F8F03},NA,1238.02050781,141.999824746,OS,140,NA,NA,0
16,OS,NA,NA,NA,NA,{D2440137-F409-449F-9146-630AD942539F},NA,728142.669922,3392.36650723,OS,140,NA,NA,0
17,R-3,NA,2016-07-06,STEFANIE,NA,{B3B8BDA5-1380-4052-85DE-024BB2F8522C},NA,244198.478516,3495.9578707700002,R-3,205,NA,NA,2
18,R-3,NA,2016-07-06,STEFANIE,NA,{1FA82355-015F-40BD-8C7A-7F9D35E2E6B4},NA,789897.644531,4868.64231423,R-3,205,NA,NA,2
19,R-3,NA,2016-07-06,STEFANIE,NA,{CDAC0D10-DCFF-46F5-AEF4-205542C5CAD0},NA,1116391.98633,4338.45324153,R-3,205,NA,NA,2
21,R-3,NA,2016-07-06,STEFANIE,NA,{52A9F8D0-CD05-4164-8813-A21E3E660447},NA,773370.103516,5616.20180523,R-3,205,NA,NA,2
22,R-3,NA,2016-07-06,STEFANIE,NA,{19FFA497-4257-451B-9A9F-769CD7390F60},NA,306954.479492,2226.78921274,R-3,205,NA,NA,2
23,R-3,NA,NA,NA,NA,{48C7ED46-6A58-49B4-8811-1E46D8C341EE},NA,187026.458008,1803.92007976,R-3,205,NA,NA,2
24,R-3,NA,2016-07-06,STEFANIE,NA,{A1A0FC45-BFF7-45F7-807D-531D13A3A46C},NA,220457.65918,2116.09117599,R-3,205,NA,NA,2
25,R-3,NA,2016-07-06,STEFANIE,NA,{92528CD9-6B0C-49D9-88E1-AD00D1A66166},NA,2533310.74023,15271.0349519,R-3,205,NA,NA,2
26,R-3,NA,NA,NA,NA,{6D4B6ABB-7F42-4D36-88AD-ED38269D5D10},NA,118694.944336,1746.7711374,R-3,205,NA,NA,2
27,R-3,NA,NA,NA,NA,{FD498039-964F-4C3C-B25A-5E0D98E0F5DB},NA,528913.28418,5006.30823786,R-3,205,NA,NA,2
28,R-3,NA,2016-07-06,STEFANIE,NA,{7A48AE9B-358B-4412-BAF2-749D2646A8A7},NA,764900.239258,5636.52081865,R-3,205,NA,NA,2
29,R-3,NA,2016-07-06,STEFANIE,NA,{DFE83742-DEA6-4B4D-BC20-693A2AF4ABCB},NA,476857.135742,3143.93106721,R-3,205,NA,NA,2
30,R-3,NA,2016-07-06,STEFANIE,NA,{F927F395-8CB7-4C76-A81F-DC4AAA81FE3F},NA,456385.255859,3825.71465189,R-3,205,NA,NA,2
31,R-3,NA,NA,NA,NA,{5B5E1D95-CA01-405B-A27F-29406F754DDB},NA,201848.825195,2441.08768615,R-3,205,NA,NA,2
32,PF,NA,2016-07-06,STEFANIE,PER ZONING MAP NOTE,{0022316F-7333-45DB-A412-211209AC2A58},NA,548956.12207,3326.4426232,PF,156,NA,NA,0
33,R-3,NA,NA,NA,NA,{66F88BCE-1B97-41B9-9244-3EBAA53E9AB8},NA,365079.973633,3771.72303579,R-3,205,NA,NA,2
34,R-3,NA,2016-07-06,STEFANIE,NA,{276F786F-47EA-4D20-B0EF-8070C87BE9E8},NA,855623.526367,6946.75629942,R-3,205,NA,NA,2
35,R-3,NA,2016-07-06,STEFANIE,NA,{045A5D24-C963-42D5-AB4F-7B9938525203},NA,283329,2860.92833407,R-3,205,NA,NA,2
36,R-3,NA,NA,NA,NA,{D7BC1813-2B69-4B38-88B9-C910FA929498},NA,57457.4453125,1022.18487369,R-3,205,NA,NA,2
37,R-3,NA,2016-07-06,STEFANIE,NA,{044B8E31-6DDD-4D92-A621-A38F9AF1EE30},NA,154210.602539,1578.99617011,R-3,205,NA,NA,2
38,R-3,NA,NA,NA,NA,{CEE31F05-309D-4266-A093-B487164AA2D9},NA,76819.8916016,1157.10555382,R-3,205,NA,NA,2
39,R-3,NA,2016-07-06,STEFANIE,NA,{5AAFE1A6-94F7-4AB0-9400-05C0B648EF25},NA,552366.307617,3002.07043852,R-3,205,NA,NA,2
41,R-1,NA,2017-08-31,LYNDAA,NA,{DB4416CF-A6A2-46BB-BC3F-E91E751882AB},NA,9279773.26855,22781.7542528,R-1,389,NA,NA,1
42,Glen Loma Ranch Special District,NA,2016-07-07,STEFANIE,PER ZONING MAP NOTE,{785CBAF5-B158-4D9A-BCEA-BC0738CC3B34},NA,17625510.6357,22749.0734501,Glen Loma Ranch Special District,392,NA,NA,0
45,R-1,NA,2017-10-25,LYNDAA,NA,{A46734AD-5F25-4A8A-9357-DE3FDC97AF4C},NA,24320972.8438,35490.2316164,R-1,389,NA,NA,1
46,R-1,NA,2016-07-06,STEFANIE,NA,{2FEBC736-C8C2-4A53-84D7-E2E0E47A4D47},NA,12713968.4414,19250.99518,R-1,389,NA,NA,1
47,R-1,NA,2019-04-08,LYNDAA,NA,{A9228EC1-4E89-413B-9896-BCE2956E9714},NA,2760261.25391,14019.5734616,R-1,389,NA,NA,1
48,PO,NA,NA,NA,NA,{48569D63-E6CD-4A08-9199-E9F128BAAB7D},NA,25387.9570313,737.042103925,PO,569,NA,NA,0
49,R-1,NA,NA,NA,NA,{08D00052-BAAB-4FCF-928B-A6C90C060F69},NA,80358.9052734,1200.8238672,R-1,389,NA,NA,1
50,R-1,NA,2016-07-06,STEFANIE,NA,{67E397AE-E54A-46AC-8094-3F5AD3CB1648},NA,451078.90332,2881.63379865,R-1,389,NA,NA,1
51,R-3,NA,2016-07-06,STEFANIE,NA,{FC5F3A6F-887E-45BF-88D5-22504EAA11D8},NA,62589.984375,1049.50500274,R-3,205,NA,NA,2
52,R-1,NA,NA,NA,NA,{BD03B4E7-D447-4384-9DA1-0894B0DAF50C},NA,1085060.79688,5109.70975371,R-1,389,NA,NA,1
53,R-1,NA,2016-07-06,STEFANIE,NA,{A0C77785-5CD8-4D5C-8A95-F6D2826401CD},NA,82026.5869141,1536.32635441,R-1,389,NA,NA,1
54,R-2,NA,2016-07-06,STEFANIE,NA,{45A16409-61A9-4A9A-8836-1DAEC2642018},NA,140753.655273,1778.69054573,R-2,782,NA,NA,2
55,ND,NA,2016-07-06,STEFANIE,NA,{ADBD27F9-B697-4105-B8CE-37332CE3480F},NA,1303967.46973,5382.74253547,ND,825,NA,NA,1
56,PF,NA,NA,NA,NA,{985B7DAB-66E6-4C3C-AF83-C24C91E833CD},NA,617757.852539,3330.16964348,PF,156,NA,NA,0
57,R-2,NA,2016-07-06,STEFANIE,NA,{D247D693-429A-4D0C-8372-FB2096A02CD2},NA,284490.878906,3687.05411821,R-2,782,NA,NA,2
58,C-3,NA,2016-07-06,STEFANIE,NA,{85047E35-4DAD-4CD9-99DA-6ACD6DA11B81},NA,1611032.2041,6794.31641595,C-3,29,NA,NA,0
59,C-3,NA,NA,NA,NA,{F45D3620-D148-483B-ABF8-6497958CCB5E},NA,255235.37207,2050.33630664,C-3,29,NA,NA,0
60,C-3,NA,2016-07-06,STEFANIE,NA,{E6F4C92F-89DE-4AC9-916E-64F1CFDD27EE},NA,5241410.11621,18082.7244643,C-3,29,NA,NA,0
61,C-3,NA,2016-07-06,STEFANIE,NA,{AD0AB2A8-9BB8-4366-B515-D1AF9E50C9C8},NA,693835.163086,4071.64656334,C-3,29,NA,NA,0
62,PO,NA,2016-07-06,STEFANIE,NA,{FE9656B8-1F76-4318-8F90-95D12AC22807},NA,164723.31543,1695.44020277,PO,569,NA,NA,0
63,PO,NA,2016-07-06,STEFANIE,NA,{AF15FB79-25E7-4AE6-9EF9-792C504D8FA3},NA,504221.176758,2842.50369021,PO,569,NA,NA,0
65,PO,NA,2016-07-06,STEFANIE,NA,{D42FA7AE-91EC-483D-99E7-31B6A236E0EA},NA,114931.823242,1391.71205821,PO,569,NA,NA,0
66,PO,NA,2017-10-25,LYNDAA,VERIFY; PER ZONING MAP NOTE,{E2261137-6AE7-4C08-9D3F-C6F16BE48F98},NA,190939.703125,1740.25078577,PO,569,NA,NA,0
67,HC,NA,2016-07-12,STEFANIE,NA,{7B3C5344-6A51-45F1-AF63-EA756DD280AF},NA,714611.035156,3404.7335748,HC,7,NA,NA,0
68,OS,NA,2016-07-06,STEFANIE,NA,{D08C3C1C-01CB-4A8A-B038-81F4C79C7ED4},NA,816699.578125,5122.41902432,OS,140,NA,NA,0
69,HC,NA,NA,NA,NA,{D5D364DB-8A34-4488-A835-A282D2CBF1A4},NA,189833.561523,1879.87190189,HC,7,NA,NA,0
70,R-2,NA,2016-07-06,STEFANIE,NA,{A4D744AC-5D4D-4064-8B22-17715EA8639A},NA,354008.017578,2565.38102404,R-2,782,NA,NA,2
71,M-2,NA,NA,NA,NA,{5859D7C6-D2CF-4BDA-9774-1C575AFF7248},NA,1594188.24805,6308.44117633,M-2,1116,NA,NA,0
73,OS,NA,NA,NA,NA,{002C9C22-BD18-4C70-A063-995862A0373B},NA,577171.946289,4165.04817046,OS,140,NA,NA,0
74,CM,NA,2016-08-03,STEFANIE,NA,{4137D747-40DD-4BEB-A42D-EFDD7DCEFA53},NA,2286519.51074,6414.65691998,CM,1126,NA,NA,0
75,CM,NA,2016-07-06,STEFANIE,NA,{56ABA847-BDA7-424C-94EA-F4180ECB1AB1},NA,1011130.35938,5076.56375013,CM,1126,NA,NA,0
76,CM,NA,2016-07-06,STEFANIE,NA,{2F04D4A7-E51E-4F95-8E50-AEF53297CE05},NA,2928716.00586,7529.77603111,CM,1126,NA,NA,0
77,CM,NA,2016-07-06,STEFANIE,NA,{0B24C22D-B847-4819-AE41-7267CD85012A},NA,1796236.89941,10733.6486671,CM,1126,NA,NA,0
80,CM,NA,2016-07-06,STEFANIE,NA,{38212007-642A-422C-8E73-83969F337FE4},NA,783899.634766,4496.25280648,CM,1126,NA,NA,0
81,CM,NA,2016-07-06,STEFANIE,NA,{A605D1B5-B8FB-4531-B447-C7DA66697C7A},NA,457609.234375,2977.90695001,CM,1126,NA,NA,0
83,CM,NA,NA,NA,NA,{EC544D6B-88F4-4D39-829F-1F7CA04E3CFD},NA,1241004.5293,5892.32567333,CM,1126,NA,NA,0
84,CM,NA,NA,NA,NA,{4D758780-26E9-4110-A77F-D20E9236933C},NA,219376.387695,2622.57499145,CM,1126,NA,NA,0
85,R-4,NA,2013-06-12,NA,NA,{56E56490-D9B5-4EC0-9FC1-D6B8A7E4BF43},NA,330912.160156,3104.84159389,R-4,1154,NA,NA,2
86,OS,NA,2016-07-06,STEFANIE,NA,{5CC8761E-FCB8-4B60-8196-68BC64228F31},NA,113617.43457,1362.79937914,OS,140,NA,NA,0
87,PF,NA,2016-07-06,STEFANIE,NA,{D5DCDCC4-9175-47FA-BE98-6E13720F1E83},NA,780648.169922,3839.71260358,PF,156,NA,NA,0
88,PF,NA,NA,NA,NA,{835DA7EF-D773-42FA-98D9-997C0E80BD63},NA,92917.1298828,1335.34801048,PF,156,NA,NA,0
89,PF,NA,2016-07-06,STEFANIE,NA,{389CD6D1-0FB4-4AE8-988D-93BC52A50E8F},NA,27650719.1875,30824.2795699,PF,156,NA,NA,0
90,PF,NA,NA,NA,NA,{2DC34656-66E9-4C06-AEB1-FE72F9DF7FAA},NA,74597.5361328,1098.62807288,PF,156,NA,NA,0
91,R-4,NA,NA,NA,NA,{F26853E2-CE0F-42F8-953F-7B912C8DA51A},NA,219410.952148,1944.77254716,R-4,1154,NA,NA,2
92,PF,NA,2016-07-06,STEFANIE,NA,{4CD1615C-3BBD-495D-9719-C6A150A21959},NA,9670162.71875,24886.1486418,PF,156,NA,NA,0
93,PF,NA,NA,NA,NA,{1B1D8E45-8FAF-455A-9AF2-E5A8A10ED5EC},NA,97552.1484375,1620.69208304,PF,156,NA,NA,0
94,PF,NA,2016-07-06,STEFANIE,NA,{8B189DC4-183E-4A77-AE5D-08836F287D15},NA,659946.204102,3930.09127339,PF,156,NA,NA,0
95,PF,NA,NA,NA,NA,{112BD4CC-70BD-471A-A94B-11DD3297EC6D},NA,1005154.28418,4580.83907912,PF,156,NA,NA,0
96,PF,NA,2016-07-06,STEFANIE,NA,{A930A2EA-476B-492D-B9CC-358A03226928},NA,407583.583984,2651.09799257,PF,156,NA,NA,0
97,PF,NA,2016-07-06,STEFANIE,NA,{2B4EEF17-4CD9-4492-8CC7-DC0A43706FC2},NA,1090896.49121,4342.34623473,PF,156,NA,NA,0
98,PF,NA,NA,NA,NA,{C9FED784-D863-4154-B1E9-F7BCB1A2CC4A},NA,23347.171875,619.689462818,PF,156,NA,NA,0
99,PF,NA,2016-07-06,STEFANIE,NA,{C7453F4A-3DAB-4DB1-B649-F9311718F335},NA,52965.5322266,992.186981359,PF,156,NA,NA,0
100,PF,NA,2016-07-06,STEFANIE,NA,{1CA1A853-E5C0-4457-A4DB-02E8620EFBCD},NA,1663168.64355,6292.20137998,PF,156,NA,NA,0
101,PF,NA,2016-07-06,STEFANIE,NA,{775C0FFF-73D0-4491-A953-96CB7137BF5C},NA,30571.75,675.918514359,PF,156,NA,NA,0
102,PF,NA,2016-07-06,STEFANIE,NA,{EBA67F54-86ED-4786-B21D-6F1E4E73551F},NA,4757598.80859,12788.4209961,PF,156,NA,NA,0
103,PF,NA,NA,NA,NA,{FB3CE6E6-7235-4EF0-BE85-80686A651FC3},NA,55933.2480469,1222.92180239,PF,156,NA,NA,0
104,PF,NA,2016-07-06,STEFANIE,NA,{F2BA4CEE-8FCC-471B-9FD5-67A7F533FEA4},NA,577732.567383,3114.79194183,PF,156,NA,NA,0
105,PF,NA,2016-07-06,STEFANIE,NA,{F32D8C1D-1D01-46E2-840C-9810A2BAF503},NA,2178447.52734,6169.87196911,PF,156,NA,NA,0
106,PF,NA,NA,NA,NA,{8CD664F7-47EE-40FC-B996-1F140A521479},NA,1448547.2959,6141.91220086,PF,156,NA,NA,0
107,R-1,NA,2016-07-06,STEFANIE,NA,{EC064211-2175-4A7E-B2ED-785E5F325841},NA,26907.3867188,659.688544795,R-1,389,NA,NA,1
111,HC,NA,2016-07-06,STEFANIE,NA,{7C14C49A-A5A8-4AAD-9D02-B11F2C515524},NA,401590.816406,2842.49693223,HC,7,NA,NA,0
112,M-1,NA,2016-07-06,STEFANIE,NA,{61ABC07F-622C-4AE4-8520-CB1E282A6BD0},NA,6070577.89453,16601.1206434,M-1,1317,NA,NA,0
113,M-1,NA,2016-07-06,STEFANIE,NA,{2250C143-66C5-4F03-BF80-7B4F7C2C0851},NA,440845.410156,2717.5811201,M-1,1317,NA,NA,0
114,M-1,NA,2016-07-06,STEFANIE,NA,{ACF66B56-B36C-4590-8B2F-871908CA8BF7},NA,493452.564453,2864.3404163,M-1,1317,NA,NA,0
115,R-1,NA,2016-07-06,STEFANIE,NA,{83F092CC-9148-424A-ACF4-310730F14FC0},NA,274221.040039,2414.92283722,R-1,389,NA,NA,1
116,PF,NA,NA,NA,NA,{994C1D5A-8F46-496A-B523-069A25C522C4},NA,87867.8447266,1203.26070258,PF,156,NA,NA,0
117,RH,NA,2016-07-06,STEFANIE,NA,{EF223B19-2545-4F41-B560-8519EAFFC384},NA,21277248.6465,29648.533058,RH,1341,NA,NA,1
118,RH,NA,2016-07-06,STEFANIE,NA,{70812844-8616-423C-A8FE-969E3B0C704F},NA,28231439.0703,42230.0361877,RH,1341,NA,NA,1
119,R-1,NA,2016-07-06,STEFANIE,NA,{310AF4DA-EBBF-446C-BC40-E6325C0DBC03},NA,5772417.70117,17161.0541328,R-1,389,NA,NA,1
120,R-2,NA,2016-07-06,STEFANIE,NA,{6AC0E641-C210-441F-8C90-9011557CDDA2},NA,1975105.2793,7094.16354384,R-2,782,NA,NA,2
121,R-2,NA,NA,NA,NA,{452AB2FB-FD4C-4E36-B57B-C8B32391F6BC},NA,2137985.63867,9365.85814873,R-2,782,NA,NA,2
122,C-1,NA,2016-07-01,STEFANIE,PER ZONING MAP NOTE,{AA47007E-50CA-4005-B128-AEE5EB8A952E},NA,127106.431641,1518.18371083,C-1,1451,NA,NA,0
123,C-1,NA,2016-07-06,STEFANIE,NA,{940ECA0F-04F9-478F-89CA-23E99A88CD58},NA,790928.436523,6089.03662503,C-1,1451,NA,NA,0
124,R-3,NA,2016-07-06,STEFANIE,NA,{EBB32413-B036-4B17-8489-8BA90483ACBB},NA,408625.8125,2651.03935148,R-3,205,NA,NA,2
125,R-2,NA,2016-07-06,STEFANIE,NA,{C02CA397-61EA-4527-854C-0AB54E81B62B},NA,492736.378906,3557.52331279,R-2,782,NA,NA,2
126,R-3,NA,2016-07-06,STEFANIE,NA,{FE7CBB1C-DA8B-406A-8B8E-021EC5B46228},NA,559394.737305,3478.80982926,R-3,205,NA,NA,2
127,R-1,NA,2016-07-06,STEFANIE,NA,{BE172EEC-F689-4EE7-9533-EDDA5FA739CB},NA,484728.09668,3481.73391101,R-1,389,NA,NA,1
129,PF,NA,NA,NA,NA,{ECAEB4BE-4564-417A-A43B-4937DA81BDC6},NA,53433.4257813,919.263673384,PF,156,NA,NA,0
130,PF,NA,NA,NA,NA,{5263C470-029A-4B6C-9842-B066B63843E7},NA,610285.3125,3162.98008843,PF,156,NA,NA,0
131,PF,NA,2016-07-06,STEFANIE,NA,{577C6D57-F01F-46E0-A131-1A37D89831A6},NA,480577.050781,3971.04641883,PF,156,NA,NA,0
132,RH,NA,2016-07-06,STEFANIE,NA,{49C577F8-752F-40A9-B045-945CC0A6FDB4},NA,3380987.17383,9154.45476506,RH,1341,NA,NA,1
133,PF,NA,NA,NA,NA,{813247FE-2DDF-483F-A180-42F7116C90C8},NA,364468.352539,2486.00714583,PF,156,NA,NA,0
134,PF,NA,NA,NA,NA,{CA0288E3-C45A-41A9-A407-1EADF78DF9E9},NA,95154.8466797,1353.83456363,PF,156,NA,NA,0
135,R-2,NA,2016-07-06,STEFANIE,NA,{5ABB56BB-2795-41E8-A37C-F18359B893F0},NA,352940.274414,4123.90097217,R-2,782,NA,NA,2
138,M-1,NA,2016-07-06,STEFANIE,NA,{F63BFD1D-5FAC-4929-8F38-7098F90B4920},NA,673613.066406,3833.42289501,M-1,1317,NA,NA,0
139,PF,NA,NA,NA,NA,{24C8F890-D9D7-41A8-B271-1DB8C04F18DE},NA,205537.535156,1871.97156881,PF,156,NA,NA,0
140,PF,NA,NA,NA,NA,{ABDBFFA8-6653-4D3A-A04F-6A2C95698876},NA,47541.7285156,907.878401302,PF,156,NA,NA,0
141,R-2,NA,2016-07-06,STEFANIE,NA,{1613B320-CD7C-40F2-8616-95BCD58E19FD},NA,241862.134766,2655.12229048,R-2,782,NA,NA,2
142,R-2,NA,2016-07-06,STEFANIE,NA,{839007A2-5A98-4CF4-913E-5A1C407E5042},NA,35795.8417969,942.596315427,R-2,782,NA,NA,2
143,R-2,NA,NA,NA,NA,{A00CF2F5-7912-4C86-89E9-975E4D6CAD3D},NA,423100.402344,2670.63692095,R-2,782,NA,NA,2
144,M-1,NA,2016-07-06,STEFANIE,NA,{5D3FEA31-D5EB-4E4F-93CA-AEBC56324387},NA,4560313.93164,9956.68556351,M-1,1317,NA,NA,0
145,PO,NA,NA,NA,NA,{EE061A2E-F10B-4278-BD20-19131E3AC1A3},NA,117249.123047,2019.20338163,PO,569,NA,NA,0
146,R-4,NA,2016-07-06,STEFANIE,NA,{DEED32DD-1F35-42B7-8B1C-0DE53E111FD4},NA,480493.630859,3166.77283428,R-4,1154,NA,NA,2
147,R-4,NA,2013-06-12,NA,NA,{439B5216-FB86-4A54-9992-60AB494A26A0},NA,613685.211914,3431.02050733,R-4,1154,NA,NA,2
