gnrl_p_,id,zoning
608 - Commercial Recreation,0,0
608 - General Commercial,1,0
608 - General Commercial,2,0
608 - General Commercial,3,0
608 - General Commercial,4,0
608 - General Commercial,5,0
608 - General Commercial,6,0
608 - General Commercial,7,0
608 - General Commercial,8,0
608 - General Commercial,9,0
608 - General Commercial,10,0
608 - Greenbelt - Stream Corridor,11,0
608 - Greenbelt - Stream Corridor,12,0
608 - Greenbelt - Stream Corridor,13,0
608 - Greenbelt - Stream Corridor,14,0
608 - Greenbelt - Stream Corridor,15,0
608 - Greenbelt - Stream Corridor,16,0
608 - Greenbelt - Stream Corridor,17,0
608 - Greenbelt - Stream Corridor,18,0
608 - Greenbelt - Stream Corridor,19,0
608 - Greenbelt - Stream Corridor,20,0
608 - Greenbelt - Stream Corridor,21,0
608 - Greenbelt - Stream Corridor,22,0
608 - Greenbelt - Stream Corridor,23,0
608 - Greenbelt - Stream Corridor,24,0
608 - Greenbelt - Stream Corridor,25,0
608 - High Density Residential,26,2
608 - High Density Residential,27,2
608 - High Density Residential,28,2
608 - High Density Residential,29,2
608 - Horticultural Business,30,0
608 - Horticultural Business,31,0
608 - Horticultural Business,32,0
608 - Horticultural Business,33,0
608 - Light Industrial,34,0
608 - Light Industrial,35,0
608 - Low Density Residential,36,1
608 - Medium Density Residential,37,1
608 - Medium Density Residential,38,1
608 - Medium Density Residential,39,1
608 - Medium Density Residential,40,1
608 - Medium Density Residential,41,1
608 - Medium Density Residential,42,1
608 - Medium Density Residential,43,1
608 - Medium Density Residential,44,1
608 - Medium Density Residential,45,1
608 - Medium Density Residential,46,1
608 - Open Space Reserve,47,0
608 - Open Space Reserve,48,0
608 - Open Space Reserve,49,0
608 - Open Space Reserve,50,0
608 - Open Space Reserve,51,0
608 - Open Space Reserve,52,0
608 - Open Space Reserve,53,0
608 - Open Space Reserve,54,0
608 - Open Space Reserve,55,0
608 - Open Space Reserve,56,0
608 - Open Space Reserve,57,0
608 - Open Space Reserve,58,0
608 - Open Space Reserve,59,0
608 - Open Space Reserve,60,0
608 - Planned Development District_MF,61,2
608 - Planned Development District,62,0
608 - Planned Development District_SF,63,1
608 - Planned Development District,64,0
608 - Planned Development District,65,0
608 - Planned Development District,66,0
608 - Planned Development District,67,0
608 - Planned Development District,68,0
608 - Planned Development District,69,0
608 - Public Facilities and Institutions,70,0
608 - Public Facilities and Institutions,71,0
608 - Public Facilities and Institutions,72,0
608 - Public Facilities and Institutions,73,0
608 - Public Facilities and Institutions,74,0
608 - Public Facilities and Institutions,75,0
608 - Public Facilities and Institutions,76,0
608 - Public Facilities and Institutions,77,0
608 - Public Facilities and Institutions,78,0
608 - Public Facilities and Institutions,79,0
608 - Public Facilities and Institutions,80,0
608 - Regional Public Recreation,81,0
608 - Urban Reserve,82,0
608 - Urban Reserve,83,0
608 - Urban Reserve,84,0
608 - Urban Reserve,85,0
608 - Urban Reserve,86,0
608 - Visitor Serving Commercial,87,0
608 - Visitor Serving Commercial,88,0
608 - Visitor Serving Commercial,89,0
608 - Visitor Serving Commercial,90,0
608 - Planned Development District,996,0
608 - Planned Development District_MF,995,2
608 - Planned Development District_MF,994,2
608 - Planned Development District_SF,997,1
608 - Planned Development District_MF,998,2
608 - Planned Development District,999,0
