OBJECTID,ZONING_,ZONING_REP,ZONING_DET,PD_Type,SDD,SDD_SECTIO,Comment,Applicatio,Resolution,Ordinance,OrdinanceU,Zoning
1,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
2,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
3,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
4,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
5,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
6,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
7,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
8,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
9,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
10,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
11,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
12,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
13,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
14,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
15,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
16,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
17,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
18,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
19,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
20,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
21,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
22,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
23,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
24,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
25,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
26,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
27,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
28,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
29,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
30,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
31,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
32,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
33,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
34,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
35,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
36,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
37,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
38,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
