gnrl_p_,id,zoning
206 - Commercial - Public,0,0
206 - Community Commercial,1,0
206 - Community Commercial,2,0
206 - Community Commercial,3,0
206 - Community Commercial,4,0
206 - Community Commercial,5,0
206 - Franklin Canyon Area,6,0
206 - General Commercial,7,0
206 - General Commercial,8,0
206 - General Commercial,9,0
206 - General Commercial,10,0
206 - General Commercial,11,0
206 - General Commercial,12,0
206 - General Commercial,13,0
206 - General Commercial,14,0
206 - General Commercial,15,0
206 - Historic Town Center,16,2
206 - Industrial,17,1
206 - Industrial,18,1
206 - Industrial Residential,19,0
206 - Multi-Family Low Density Residential,20,2
206 - Multi-Family Low Density Residential,21,2
206 - Multi-Family Low Density Residential,22,2
206 - Multi-Family Low Density Residential,23,2
206 - Multi-Family Low Density Residential,24,2
206 - Multi-Family Low Density Residential,25,2
206 - Multi-Family Low Density Residential,26,2
206 - Multi-Family Low Density Residential,27,2
206 - Multi-Family Medium Density Residential,28,2
206 - Multi-Family Medium Density Residential,29,2
206 - Multi-Family Medium Density Residential,30,2
206 - Planned Commercial Industrial,31,1
206 - Planned Commercial Residential,32,1
206 - Planned Commercial Residential,33,1
206 - Planned Commercial Residential,34,1
206 - Planned Office - Research & Development,35,0
206 - Planned Office - Research & Development,36,0
206 - Public - City,37,0
206 - Public - City,38,0
206 - Public - City,39,0
206 - Public - City,40,0
206 - Public - Open Space,41,0
206 - Public - Open Space,42,0
206 - Public - Open Space,43,0
206 - Public - Open Space,44,0
206 - Public - Open Space,45,0
206 - Public - Open Space,46,0
206 - Public - Open Space,47,0
206 - Public - Open Space,48,0
206 - Public - Open Space,49,0
206 - Public - Open Space,50,0
206 - Public - Open Space,51,0
206 - Public - Open Space,52,0
206 - Public - Open Space,53,0
206 - Public - Open Space,54,0
206 - Public - Open Space,55,0
206 - Public - Open Space,56,0
206 - Public - Open Space,57,0
206 - Public - Open Space,58,0
206 - Public - Open Space,59,0
206 - Public - Open Space,60,0
206 - Public - Open Space,61,0
206 - Public - Open Space,62,0
206 - Public - Open Space,63,0
206 - Public - Open Space,64,0
206 - Public - Open Space,65,0
206 - Public - Open Space,66,0
206 - Public - Open Space,67,0
206 - Public - Open Space,68,0
206 - Public - Park,69,0
206 - Public - Park,70,0
206 - Public - Park,71,0
206 - Public - Park,72,0
206 - Public - Park,73,0
206 - Public - Park,74,0
206 - Public - Park,75,0
206 - Public - Park,76,0
206 - Public - Park,77,0
206 - Public - Park,78,0
206 - Public - Park,79,0
206 - Public - Park,80,0
206 - Public - School,81,0
206 - Public - School,82,0
206 - Public - School,83,0
206 - Public - School,84,0
206 - Single Family Estate,85,1
206 - Single Family Estate,86,1
206 - Single Family Estate,87,1
206 - Single Family Estate,88,1
206 - Single Family Estate,89,1
206 - Single Family Estate,90,1
206 - Single Family Estate,91,1
206 - Single Family Low Density Residential,92,1
206 - Single Family Low Density Residential,93,1
206 - Single Family Low Density Residential,94,1
206 - Single Family Low Density Residential,95,1
206 - Single Family Low Density Residential,96,1
206 - Single Family Low Density Residential,97,1
206 - Single Family Low Density Residential,98,1
206 - Single Family Low Density Residential,99,1
206 - Single Family Low Density Residential,100,1
206 - Single Family Low Density Residential,101,1
206 - Waterfront Commercial,102,0
