gnrl_p_,id,zoning
609 - Open Space and Conservation,0,0
609 - Open Space and Conservation,1,0
609 - Open Space and Conservation,2,0
609 - Open Space and Conservation,3,0
609 - Open Space and Conservation,4,0
609 - Open Space and Conservation,5,0
609 - Open Space and Conservation,6,0
609 - Private Recreational,7,0
609 - Private Recreational,8,0
609 - Private Recreational,9,0
609 - Private Recreational,10,0
609 - Private Recreational,11,0
609 - Private Schools,12,0
609 - Private Schools,13,0
609 - Public Facilities and Services,14,0
609 - Public Facilities and Services,15,0
609 - Public Facilities and Services,16,0
609 - Public Facilities and Services,17,0
609 - Public Facilities and Services,18,0
609 - Public Facilities and Services,19,0
609 - Public Facilities and Services,20,0
609 - Public Facilities and Services,21,0
609 - Public Facilities and Services,22,0
609 - Residential,23,1
609 - Residential,24,1
609 - Residential,25,1
609 - Residential,26,1
609 - Residential,27,1
609 - Residential,28,1
609 - Residential,29,1
609 - Residential,30,1
609 - Residential,31,1
609 - Residential,32,1
609 - Residential,33,1
609 - Residential,34,1
609 - Residential,35,1
609 - Residential,36,1
609 - Residential,37,1
609 - Residential,38,1
609 - Residential,39,1
609 - Residential,40,1
609 - Residential,41,1
609 - Residential,42,1
609 - Residential,43,1
609 - Residential,44,1
609 - Residential,45,1
609 - Residential,46,1
609 - Residential,47,1
609 - Residential,48,1
609 - Residential,49,1
609 - Residential,50,1
609 - Residential,51,1
609 - Residential,52,1
609 - Residential,53,1
609 - Residential,54,1
609 - Residential,55,1
609 - Residential,56,1
609 - Residential,57,1
609 - Residential,58,1
609 - Residential,59,1
609 - Residential,60,1
609 - Residential,61,1
609 - Residential,62,1
609 - Residential,63,1
609 - Residential,64,1
609 - Residential,65,1
609 - Residential,66,1
609 - Residential,67,1
609 - Residential,68,1
609 - Residential,69,1
609 - Residential,70,1
609 - Residential,71,1
609 - Residential,72,1
609 - Residential,73,1
609 - Residential,74,1
609 - Residential,75,1
609 - Residential,76,1
609 - Residential,77,1
609 - Residential,78,1
609 - Residential,79,1
609 - Residential,80,1
609 - Residential,81,1
609 - Residential,82,1
609 - Residential,83,1
609 - Residential,84,1
609 - Residential,85,1
609 - Residential,86,1
609 - Residential,87,1
609 - Residential,88,1
609 - Residential,89,1
609 - Residential,90,1
609 - Residential,91,1
609 - Residential,92,1
609 - Residential,93,1
609 - Residential,94,1
609 - Residential,95,1
609 - Residential,96,1
609 - Residential,97,1
609 - Residential,98,1
609 - Residential,99,1
609 - Residential,100,1
609 - Residential,101,1
609 - Residential,102,1
609 - Residential,103,1
609 - Residential,104,1
609 - Residential,105,1
609 - Residential,106,1
609 - Residential,107,1
609 - Residential,108,1
609 - Residential,109,1
609 - Residential,110,1
609 - Residential,111,1
609 - Residential,112,1
609 - Residential,113,1
609 - Residential,114,1
609 - Residential,115,1
609 - Residential,116,1
609 - Residential,117,1
609 - Residential,118,1
609 - Residential,119,1
609 - Residential,120,1
609 - Residential,121,1
609 - Residential,122,1
609 - Residential,123,1
609 - Residential,124,1
609 - Residential,125,1
609 - Residential,126,1
609 - Residential,127,1
609 - Residential,128,1
609 - Residential,129,1
609 - Residential,130,1
609 - Residential,131,1
609 - Residential,132,1
609 - Residential,133,1
609 - Residential,134,1
609 - Residential,135,1
609 - Residential,136,1
609 - Residential,137,1
609 - Residential,138,1
609 - Residential,139,1
609 - Residential,140,1
609 - Residential,141,1
609 - Residential,142,1
609 - Residential,143,1
609 - Residential,144,1
609 - Residential,145,1
609 - Residential,146,1
609 - Residential,147,1
609 - Residential,148,1
609 - Residential,149,1
609 - Residential,150,1
609 - Residential,151,1
609 - Residential,152,1
609 - Residential,153,1
609 - Residential,154,1
609 - Residential,155,1
609 - Residential,156,1
609 - Residential,157,1
609 - Residential,158,1
609 - Residential,159,1
609 - Residential,160,1
609 - Residential,161,1
609 - Residential,162,1
609 - Residential,163,1
609 - Residential,164,1
609 - Residential,165,1
609 - Residential,166,1
609 - Residential,167,1
609 - Residential,168,1
609 - Residential,169,1
609 - Residential,170,1
609 - Residential,171,1
609 - Residential,172,1
609 - Residential,173,1
609 - Residential,174,1
609 - Residential,175,1
609 - Residential,176,1
609 - Residential,177,1
