gnrl_p_,id,zoning
207 - Administrative/Professional Office/Multifamily Residential (MF),0,2
207 - Administrative/Professional Office/Multifamily Residential (MF),1,2
207 - Administrative/Professional Office/Multifamily Residential (MF),2,2
207 - Administrative/Professional Office/Multifamily Residential (MF),3,2
207 - Administrative/Professional Office/Multifamily Residential (O),4,0
207 - Administrative/Professional Office/Multifamily Residential (O),5,0
207 - Administrative/Professional Office/Multifamily Residential (O),6,0
207 - Community Facilities/Civic Uses (SF),7,1
207 - Community Facilities/Civic Uses (SF),8,1
207 - Community Facilities/Civic Uses (SF),9,1
207 - Community Facilities/Civic Uses (Lake),10,3
207 - Community Facilities/Civic Uses (SF),11,1
207 - Community Facilities/Civic Uses (SF),12,1
207 - Community Facilities/Civic Uses (SF),13,1
207 - Community Facilities/Civic Uses (SF),14,1
207 - Community Facilities/Civic Uses (SF),15,1
207 - Community Facilities/Civic Uses (SF),16,1
207 - Community Facilities/Civic Uses (SF),17,1
207 - Community Facilities/Civic Uses (SF),18,1
207 - Community Facilities/Civic Uses (SF),19,1
207 - Community Facilities/Civic Uses (Road),20,3
207 - Community Facilities/Civic Uses (SF),21,1
207 - Community Facilities/Civic Uses (SF),22,1
207 - Downtown Core,23,0
207 - East End Commercial,24,0
207 - East End Commercial,25,0
207 - East End Commercial,26,0
207 - High Density Multifamily Residential,27,2
207 - High Density Multifamily Residential,28,2
207 - High Density Multifamily Residential,29,2
207 - High Density Multifamily Residential,30,2
207 - Low Density Multifamily Residential,31,2
207 - Low Density Multifamily Residential,32,2
207 - Low Density Multifamily Residential,33,2
207 - Low Density Multifamily Residential,34,2
207 - Low Density Multifamily Residential,35,2
207 - Low Density Multifamily Residential,36,2
207 - Low Density Single Family Residential,37,1
207 - Low Density Single Family Residential,38,1
207 - Low Density Single Family Residential,39,1
207 - Low Density Single Family Residential,40,1
207 - Low Density Single Family Residential,41,1
207 - Low Density Single Family Residential,42,1
207 - Low Density Single Family Residential,43,1
207 - Low Density Single Family Residential,44,1
207 - Low Density Single Family Residential,45,1
207 - Low Density Single Family Residential,46,1
207 - Low Density Single Family Residential,47,1
207 - Low Density Single Family Residential,48,1
207 - Low Density Single Family Residential,49,1
207 - Low Density Single Family Residential,50,1
207 - Low Density Single Family Residential,51,1
207 - Low Density Single Family Residential,52,1
207 - Low Density Single Family Residential,53,1
207 - Medium Density Single Family Residential,54,1
207 - Medium Density Single Family Residential,55,1
207 - Medium Density Single Family Residential,56,1
207 - Medium Density Single Family Residential,57,1
207 - Medium Density Single Family Residential,58,1
207 - Medium Density Single Family Residential,59,1
207 - Medium Density Single Family Residential,60,1
207 - Medium Density Single Family Residential,61,1
207 - Medium Density Single Family Residential,62,1
207 - Medium Density Single Family Residential,63,1
207 - Medium Density Single Family Residential,64,1
207 - Medium Density Single Family Residential,65,1
207 - Medium Density Single Family Residential,66,1
207 - Medium Density Single Family Residential,67,1
207 - Medium Density Single Family Residential,68,1
207 - Medium Density Single Family Residential,69,1
207 - Medium Density Single Family Residential,70,1
207 - Medium Density Single Family Residential,71,1
207 - Open Space,72,0
207 - Open Space,73,0
207 - Open Space,74,0
207 - Open Space,75,0
207 - Open Space,76,0
207 - Open Space,77,0
207 - Open Space,78,0
207 - Open Space,79,0
207 - Open Space,80,0
207 - Open Space,81,0
207 - Open Space,82,0
207 - Open Space,83,0
207 - Open Space,84,0
207 - Open Space,85,0
207 - Parkland,86,0
207 - Parkland,87,0
207 - Parkland,88,0
207 - Public Utilities,89,0
207 - Public Utilities,90,0
207 - Public Utilities,91,0
207 - Public Utilities,92,0
207 - Very Low Density Single Family Residential,93,1
207 - Very Low Density Single Family Residential,94,1
207 - Very Low Density Single Family Residential,95,1
207 - Very Low Density Single Family Residential,96,1
207 - Very Low Density Single Family Residential,97,1
207 - Very Low Density Single Family Residential,98,1
207 - Very Low Density Single Family Residential,99,1
207 - Very Low Density Single Family Residential,100,1
207 - Very Low Density Single Family Residential,101,1
207 - Very Low Density Single Family Residential,102,1
207 - Very Low Density Single Family Residential,103,1
207 - Very Low Density Single Family Residential,104,1
207 - Very Low Density Single Family Residential,105,1
207 - Very Low Density Single Family Residential,106,1
207 - Very Low Density Single Family Residential,107,1
207 - Very Low Density Single Family Residential,108,1
207 - Very Low Density Single Family Residential,109,1
207 - Very Low Density Single Family Residential,110,1
207 - Very Low Density Single Family Residential,111,1
207 - Very Low Density Single Family Residential,112,1
207 - Very Low Density Single Family Residential,113,1
207 - Very Low Density Single Family Residential,114,1
207 - Very Low Density Single Family Residential,115,1
207 - Very Low Density Single Family Residential,116,1
207 - Very Low Density Single Family Residential,117,1
207 - Very Low Density Single Family Residential,118,1
207 - Very Low Density Single Family Residential,119,1
207 - Very Low Density Single Family Residential,120,1
207 - Very Low Density Single Family Residential,121,1
207 - West End Commercial,122,0
NA,NA,NA
NA,NA,NA
