GlobalID,FeatureID,ZoningDist,ZoningCate,ZoningDesc,ZoningSubA,IsPreZoned,HasTransfe,PlanningNo,CreateDate,RevDate,RevBy,RevComment,Shape_STAr,Shape_STLe,Zoning
{B00D9ABA-3BD8-400C-A58C-370B1E1A5FD8},1,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,323345.408203,2446.98089465,1
{988D9410-142B-4EA6-ADF7-6DFFA2070FBC},2,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,30275.7949219,705.85621975,1
{C14D744C-E707-44E6-B9ED-813853539E73},3,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,88679.1582031,1242.23300025,1
{E859CACB-95BA-43D5-B777-49652E27407A},4,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,1495945.88965,8127.85300258,1
{4F63936C-71D1-4026-BA44-C6420E08745B},5,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,51299.4052734,939.869796885,1
{C7FCE47D-A4BE-476E-ADEC-1651B6F5169A},6,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,1172822.53809,5470.62869141,1
{B0DB83FC-1246-4AC2-9B87-CFC59487EA0B},7,PUD 3,PUD,Residential,NA,No,No,NA,NA,NA,NA,NA,937078.527344,4797.69007803,2
{CE1271F3-758E-49E4-B3A1-B415B4693E49},8,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,533897.946289,3052.67361495,1
{E081AB60-D63F-4D35-B246-CC0CD718180C},9,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,3185357.23535,8980.30990419,1
{8CC52D14-B213-4F9B-8424-BE5267D1977D},10,RS,RS,Residential,NA,No,No,NA,NA,2014-09-18,NA,NA,379659.59082,3357.45111006,1
{9802D94C-8AB7-4752-B024-899460BFA579},11,PDR-11-001,PDR,Planned Development,NA,No,No,NA,NA,2012-03-29,NA,NA,218113.987305,2421.21320015,1
{14EC542B-4253-45E2-9810-C96CE908586B},12,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,120843.915039,1469.45507344,1
{AEB03077-22E0-480E-9239-765C385C3E92},13,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,1366191.14258,9582.97652628,1
{725365E9-7A80-4A6A-8F1D-F656975274C7},14,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,803391.274414,4347.23547066,1
{DC604723-6157-4FD9-86D4-B3AEC80B2B26},15,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,37394.5625,786.595566189,1
{477FE581-475C-440D-A560-8C492B0C049C},16,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,740036.505859,4281.31871779,1
{198987A6-614B-4A94-88F8-B9D31D73E048},17,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,199254.848633,2587.08969084,1
{598296E9-79DC-4EB2-A942-98FB2EC7C5CC},18,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,215007.585938,2051.35425423,1
{75FFFA39-E230-4AAD-A9AE-6530358FF1BE},19,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,2089576.37695,6413.18295555,1
{C41E7B76-C038-4B88-A0D7-1F7A24CFE9A8},20,RS,RS,Residential,NA,No,No,NA,NA,2012-07-12,NA,NA,2681263.14648,12516.6748151,1
{B3461E61-86BA-42ED-935F-1A801ABC756F},21,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,128266.472656,1505.7234772,1
{FE34227D-C041-43E5-858E-A47FC963FB70},22,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,93486.6611328,1726.80258102,1
{099BC946-D1BA-4E3B-BE89-9195A6978D05},23,RS,RS,Residential,NA,No,No,NA,NA,NA,NA,NA,927307.628906,4512.96246244,1
{60D194DB-EF55-4C8A-BBF6-471D3A35AA91},24,T3N-HP-H,T3N,Mixed Use,NA,No,No,NA,NA,NA,NA,NA,9500.5,480.019922744,1
{D7FDA83C-E8C3-46E5-A558-720D5226B323},25,MFR,MFR,Residential,NA,No,No,NA,NA,2012-08-14,NA,NA,61824.5498047,1376.72608481,2
{9DA90AB7-491D-4A87-84F7-7ADAED55E09B},26,T4N,T4N,Mixed Use,NA,No,No,NA,NA,2012-01-19,NA,NA,91550.6503906,1339.97927123,2
