gnrl_p_,id,zoning
704 - Downtown Commercial,0,0
704 - Downtown Commercial,1,0
704 - Downtown Commercial,2,0
704 - Downtown Commercial,3,0
704 - Downtown Commercial,4,0
704 - Downtown Commercial,5,0
704 - Downtown Commercial,6,0
704 - Downtown Commercial,7,0
704 - Downtown Commercial,8,0
704 - Downtown Commercial,9,0
704 - Downtown Commercial,10,0
704 - Downtown Commercial,11,0
704 - Downtown Commercial,12,0
704 - Downtown Commercial,13,0
704 - Downtown Commercial,14,0
704 - Downtown Commercial,15,0
704 - Downtown Commercial,16,0
704 - Downtown Commercial,17,0
704 - Downtown Commercial,18,0
704 - Downtown Commercial,19,0
704 - Downtown Commercial,20,0
704 - Downtown Commercial,21,0
704 - Downtown Commercial,22,0
704 - Downtown Commercial,23,0
704 - Downtown Commercial,24,0
704 - Downtown Commercial,25,0
704 - Downtown Commercial,26,0
704 - Downtown Commercial,27,0
704 - Downtown Commercial,28,0
704 - Downtown Commercial,29,0
704 - Downtown Commercial,30,0
704 - Downtown Commercial,31,0
704 - Downtown Commercial,32,0
704 - Downtown Commercial,33,0
704 - Downtown Commercial,34,0
704 - Downtown Commercial,35,0
704 - Downtown Commercial,36,0
704 - Downtown Commercial,37,0
704 - Low Density Multi-Family,38,2
704 - Low Density Multi-Family,39,2
704 - Low Density Multi-Family,40,2
704 - Low Density Multi-Family,41,2
704 - Low Density Multi-Family,42,2
704 - Low Density Multi-Family,43,2
704 - Low Density Multi-Family,44,2
704 - Low Density Multi-Family,45,2
704 - Medium Density Multi-Family,46,2
704 - Medium Density Multi-Family,47,2
704 - Medium Density Multi-Family,48,2
704 - Medium Density Multi-Family,49,2
704 - Medium Density Multi-Family,50,2
704 - Medium Density Multi-Family,51,2
704 - Medium Density Multi-Family,52,2
704 - Medium Density Multi-Family,53,2
704 - Medium Density Multi-Family,54,2
704 - Medium Density Multi-Family,55,2
704 - Medium Density Multi-Family,56,2
704 - Medium Density Multi-Family,57,2
704 - Medium Density Multi-Family,58,2
704 - Medium Density Multi-Family,59,2
704 - Medium Density Multi-Family,60,2
704 - Medium Density Multi-Family,61,2
704 - Medium Density Multi-Family,62,2
704 - Medium Density Multi-Family,63,2
704 - Medium Density Multi-Family,64,2
704 - Neighborhood Commercial,65,0
704 - Neighborhood Commercial,66,0
704 - Neighborhood Commercial,67,0
704 - Neighborhood Commercial,68,0
704 - Neighborhood Commercial,69,0
704 - Neighborhood Commercial,70,0
704 - Neighborhood Commercial,71,0
704 - Neighborhood Commercial,72,0
704 - Neighborhood Commercial,73,0
704 - Neighborhood Commercial,74,0
704 - Neighborhood Commercial,75,0
704 - Neighborhood Commercial,76,0
704 - Other Open Space,77,0
704 - Other Open Space,78,0
704 - Other Open Space,79,0
704 - Other Open Space,80,0
704 - Other Open Space,81,0
704 - Other Open Space,82,0
704 - Other Open Space,83,0
704 - Other Open Space,84,0
704 - Other Open Space,85,0
704 - Other Open Space,86,0
704 - Parks,87,0
704 - Parks,88,0
704 - Parks,89,0
704 - Parks,90,0
704 - Parks,91,0
704 - Parks,92,0
