gnrl_p_,id,zoning
Low Density Residential,0,1
Low Density Residential,1,1
Low Density Residential,2,1
Low Density Residential,3,1
Low Density Residential,4,1
Low Density Residential,5,1
Low Density Residential,6,1
Low Density Residential,7,1
Low Density Residential,8,1
Low Density Residential,9,1
Low Density Residential,10,1
Low Density Residential,11,1
Low Density Residential,12,1
Low Density Residential,13,1
Low Density Residential,14,1
Low Density Residential,15,1
Low Density Residential,16,1
Low Density Residential,17,1
Low Density Residential,18,1
Low Density Residential,19,1
Low Density Residential,20,1
Low Density Residential,21,1
Low Density Residential,22,1
Low Density Residential,23,1
Low Density Residential,24,1
Low Density Residential,25,1
Low Density Residential,26,1
Low Density Residential,27,1
Low Density Residential,28,1
Low Density Residential,29,1
Low Density Residential,30,1
Low Density Residential,31,1
Low Density Residential,32,1
Low Density Residential,33,1
Low Density Residential,34,1
Low Density Residential,35,1
Low Density Residential,36,1
Low Density Residential,37,1
Low Density Residential,38,1
Low Density Residential,39,1
Low Density Residential,40,1
Low Density Residential,41,1
Low Density Residential,42,1
Low Density Residential,43,1
Low Density Residential,44,1
Low Density Residential,45,1
Low Density Residential,46,1
Low Density Residential,47,1
Low Density Residential,48,1
Low Density Residential,49,1
Low Density Residential,50,1
Low Density Residential,51,1
Low Density Residential,52,1
Low Density Residential,53,1
Low Density Residential,54,1
Low Density Residential,55,1
Low Density Residential,56,1
Low Density Residential,57,1
Low Density Residential,58,1
Low Density Residential,59,1
Low Density Residential,60,1
Low Density Residential,61,1
Low Density Residential,62,1
Low Density Residential,63,1
Low Density Residential,64,1
Low Density Residential,65,1
Low Density Residential,66,1
Low Density Residential,67,1
Low Density Residential,68,1
Low Density Residential,69,1
Low Density Residential,70,1
Low Density Residential,71,1
Low Density Residential,72,1
Low Density Residential,73,1
Low Density Residential,74,1
Low Density Residential,75,1
Low Density Residential,76,1
Low Density Residential,77,1
Low Density Residential,78,1
Low Density Residential,79,1
Low Density Residential,80,1
Low Density Residential,81,1
Low Density Residential,82,1
Low Density Residential,83,1
Low Density Residential,84,1
Low Density Residential,85,1
Low Density Residential,86,1
Low Density Residential,87,1
Low Density Residential,88,1
Low Density Residential,89,1
Low Density Residential,90,1
Low Density Residential,91,1
Low Density Residential,92,1
Low Density Residential,93,1
Low Density Residential,94,1
Low Density Residential,95,1
Low Density Residential,96,1
Low Density Residential,97,1
Low Density Residential,98,1
Low Density Residential,99,1
Low Density Residential,100,1
Low Density Residential,101,1
Low Density Residential,102,1
Low Density Residential,103,1
Low Density Residential,104,1
Low Density Residential,105,1
Low Density Residential,106,1
Low Density Residential,107,1
Low Density Residential,108,1
Low Density Residential,109,1
Low Density Residential,110,1
Low Density Residential,111,1
Low Density Residential,112,1
Low Density Residential,113,1
Low Density Residential,114,1
Low Density Residential,115,1
Low Density Residential,116,1
Low Density Residential,117,1
Low Density Residential,118,1
Low Density Residential,119,1
Low Density Residential,120,1
Low Density Residential,121,1
Low Density Residential,122,1
Low Density Residential,123,1
Low Density Residential,124,1
Low Density Residential,125,1
Low Density Residential,126,1
Low Density Residential,127,1
Low Density Residential,128,1
Low Density Residential,129,1
Low Density Residential,130,1
Low Density Residential,131,1
Low Density Residential,132,1
Low Density Residential,133,1
Low Density Residential,134,1
Low Density Residential,135,1
Low Density Residential,136,1
Low Density Residential,137,1
Low Density Residential,138,1
Low Density Residential,139,1
Low Density Residential,140,1
Low Density Residential,141,1
Low Density Residential,142,1
Low Density Residential,143,1
Low Density Residential,144,1
Low Density Residential,145,1
Low Density Residential,146,1
Low Density Residential,147,1
Low Density Residential,148,1
Low Density Residential,149,1
Low Density Residential,150,1
Low Density Residential,151,1
Low Density Residential,152,1
Low Density Residential,153,1
Low Density Residential,154,1
Low Density Residential,155,1
Low Density Residential,156,1
Low Density Residential,157,1
Low Density Residential,158,1
Low Density Residential,159,1
Low Density Residential,160,1
Low Density Residential,161,1
Low Density Residential,162,1
Low Density Residential,163,1
Low Density Residential,164,1
Low Density Residential,165,1
Low Density Residential,166,1
Low Density Residential,167,1
Low Density Residential,168,1
Low Density Residential,169,1
Low Density Residential,170,1
Low Density Residential,171,1
Low Density Residential,172,1
Low Density Residential,173,1
Low Density Residential,174,1
Low Density Residential,175,1
Low Density Residential,176,1
Low Density Residential,177,1
Low Density Residential,178,1
Low Density Residential,179,1
Low Density Residential,180,1
Low Density Residential,181,1
Low Density Residential,182,1
Low Density Residential,183,1
Low Density Residential,184,1
Low Density Residential,185,1
Low Density Residential,186,1
Low Density Residential,187,1
Low Density Residential,188,1
Low Density Residential,189,1
Low Density Residential,190,1
Low Density Residential,191,1
Low Density Residential,192,1
Low Density Residential,193,1
Low Density Residential,194,1
Low Density Residential,195,1
Low Density Residential,196,1
Low Density Residential,197,1
Low Density Residential,198,1
Low Density Residential,199,1
Low Density Residential,200,1
Low Density Residential,201,1
Low Density Residential,202,1
Low Density Residential,203,1
Low Density Residential,204,1
Low Density Residential,205,1
Low Density Residential,206,1
Low Density Residential,207,1
Low Density Residential,208,1
Low Density Residential,209,1
Low Density Residential,210,1
Low Density Residential,211,1
Low Density Residential,212,1
Low Density Residential,213,1
Low Density Residential,214,1
Low Density Residential,215,1
Low Density Residential,216,1
Low Density Residential,217,1
Low Density Residential,218,1
Low Density Residential,219,1
Low Density Residential,220,1
Low Density Residential,221,1
Low Density Residential,222,1
Low Density Residential,223,1
Low Density Residential,224,1
Low Density Residential,225,1
Low Density Residential,226,1
Low Density Residential,227,1
Low Density Residential,228,1
Low Density Residential,229,1
Low Density Residential,230,1
Low Density Residential,231,1
Low Density Residential,232,1
Low Density Residential,233,1
Low Density Residential,234,1
Low Density Residential,235,1
Low Density Residential,236,1
Low Density Residential,237,1
Low Density Residential,238,1
Low Density Residential,239,1
Low Density Residential,240,1
Low Density Residential,241,1
Low Density Residential,242,1
Low Density Residential,243,1
Low Density Residential,244,1
Low Density Residential,245,1
Low Density Residential,246,1
Low Density Residential,247,1
Low Density Residential,248,1
Low Density Residential,249,1
Low Density Residential,250,1
Low Density Residential,251,1
Low Density Residential,252,1
Low Density Residential,253,1
Low Density Residential,254,1
Low Density Residential,255,1
Low Density Residential,256,1
Low Density Residential,257,1
Low Density Residential,258,1
Low Density Residential,259,1
Low Density Residential,260,1
Low Density Residential,261,1
Low Density Residential,262,1
Low Density Residential,263,1
Low Density Residential,264,1
Low Density Residential,265,1
Low Density Residential,266,1
Low Density Residential,267,1
Low Density Residential,268,1
Low Density Residential,269,1
Low Density Residential,270,1
Low Density Residential,271,1
Low Density Residential,272,1
Low Density Residential,273,1
Low Density Residential,274,1
Low Density Residential,275,1
Low Density Residential,276,1
Low Density Residential,277,1
Low Density Residential,278,1
Low Density Residential,279,1
Low Density Residential,280,1
Low Density Residential,281,1
Low Density Residential,282,1
Low Density Residential,283,1
Low Density Residential,284,1
Low Density Residential,285,1
Low Density Residential,286,1
Low Density Residential,287,1
Low Density Residential,288,1
Low Density Residential,289,1
Low Density Residential,290,1
Low Density Residential,291,1
Low Density Residential,292,1
Low Density Residential,293,1
Low Density Residential,294,1
Low Density Residential,295,1
Low Density Residential,296,1
Low Density Residential,297,1
Low Density Residential,298,1
Low Density Residential,299,1
Low Density Residential,300,1
Low Density Residential,301,1
Low Density Residential,302,1
Low Density Residential,303,1
Low Density Residential,304,1
Low Density Residential,305,1
Low Density Residential,306,1
Low Density Residential,307,1
Low Density Residential,308,1
Low Density Residential,309,1
Low Density Residential,310,1
Low Density Residential,311,1
Low Density Residential,312,1
Low Density Residential,313,1
Low Density Residential,314,1
Low Density Residential,315,1
Low Density Residential,316,1
Low Density Residential,317,1
Low Density Residential,318,1
Low Density Residential,319,1
Low Density Residential,320,1
Low Density Residential,321,1
Low Density Residential,322,1
Low Density Residential,323,1
Low Density Residential,324,1
Low Density Residential,325,1
Low Density Residential,326,1
Low Density Residential,327,1
Low Density Residential,328,1
Low Density Residential,329,1
Hillside Residential,330,1
Hillside Residential,331,1
Hillside Residential,332,1
Hillside Residential,333,1
Hillside Residential,334,1
Hillside Residential,335,1
Hillside Residential,336,1
Hillside Residential,337,1
Hillside Residential,338,1
Hillside Residential,339,1
Hillside Residential,340,1
Hillside Residential,341,1
Hillside Residential,342,1
Hillside Residential,343,1
Hillside Residential,344,1
Hillside Residential,345,1
Hillside Residential,346,1
Hillside Residential,347,1
Hillside Residential,348,1
Hillside Residential,349,1
Hillside Residential,350,1
Hillside Residential,351,1
Hillside Residential,352,1
Hillside Residential,353,1
Hillside Residential,354,1
Hillside Residential,355,1
Hillside Residential,356,1
Hillside Residential,357,1
Hillside Residential,358,1
Hillside Residential,359,1
Hillside Residential,360,1
Hillside Residential,361,1
Hillside Residential,362,1
