gnrl_p_,id,edt_g__,zoning
ECD-H-I,900,ECD-H-I_OCEAN,3
M-OS/RF,1,M-OS/RF,0
OS,2,OS,0
RF,3,RF,0
RF,4,RF,0
L-I,5,L-I,0
R-6.0,6,R-6.0,1
ECD-R-40,7,ECD-R-40,0
M-OS/RF/R-3.5,8,M-OS/RF/R-3.5,2
OS,9,OS,0
C,10,C,0
CC,11,CC,0
RF,12,RF,0
R-2.5,13,R-2.5,2
R-1.5,14,R-1.5,2
R-3.5,15,R-3.5,1
H-I,16,H-I,0
R-2.5,17,R-2.5,2
M-OS/RF,18,M-OS/RF,0
PA,19,PA,0
R-6.0,20,R-6.0,1
NC,21,NC,0
R-3.5,22,R-3.5,1
ECD-R-40,23,ECD-R-40,0
GF,24,GF,0
H-I,25,H-I,0
RF,26,RF,0
NC,27,NC,0
ECD-R-40,28,ECD-R-40_Single Family,1
RF,29,RF,0
NC,30,NC,0
R-2.5,31,R-2.5,2
C,32,C,0
L-I,33,L-I,0
ECD-R-6.0,34,ECD-R-6.0,1
R-7.0,35,R-7.0,1
M-29,36,M-29,0
R-10,37,R-10,1
R-6.0,38,R-6.0,1
R-B,39,R-B,0
M-R-6.0/RF,40,M-R-6.0/RF,1
R-10,41,R-10,1
P-1,42,P-1,1
L-I,43,L-I,0
PA,44,PA,0
R-10,45,R-10,1
R-3.5,46,R-3.5,1
R-1.5,47,R-1.5,2
R-40,48,R-40,1
R-6.0,49,R-6.0,1
OS,50,OS,0
R-2.5,51,R-2.5,2
R-6.0,52,R-6.0,1
RF,53,RF,0
R-3.5,54,R-3.5,1
TC,55,TC,0
A-2,56,A-2,0
R-3.5,57,R-3.5,1
R-6.0,58,R-6.0,1
GF,59,GF,0
NC,60,NC,0
A-2,61,A-2,0
U,62,U,0
R-20,63,R-20,1
RF,64,RF,0
GF,65,GF,0
R-3.5,66,R-3.5,1
A-1,67,A-1,0
R-2.5,68,R-2.5,2
NC,69,NC,0
R-7.0,70,R-7.0,1
R-6.0,71,R-6.0,1
OS,72,OS,0
NC,73,NC,0
R-3.5,74,R-3.5,1
GF,75,GF,0
M-NC/SC,76,M-NC/SC,0
NC,77,NC,0
R&D,78,R&D,0
M-NC/TC,79,M-NC/TC,0
M-SC/L-I,80,M-SC/L-I,0
GF,81,GF,0
R-6.0,82,R-6.0,1
A-1,83,A-1,0
R-2.5,84,R-2.5,2
SC,85,SC,0
R-10,86,R-10,1
P-1,87,P-1,1
RF,88,RF,0
M-PA/C-I,89,M-PA/C-I,0
R-3.5,90,R-3.5,1
R-6.0,91,R-6.0,1
R-1.5,92,R-1.5,2
R-3.5,93,R-3.5,1
