apn,fld_firm_z,gp_values1,gpz_gen_pl,gpz_z_labe,lot_tot_po,parcelid,prc_legal_,prc_puc_co,prc_situs1,prc_situs_,prc_tax_co,site_addre,Zoning,Area_sqmi
063430030,AE,Residential Medium Density,RM,R2,5847.67,23-3510,51.45 FT X 115 FT MOL ON SLY LN OF O CONNOR ST COM     103.45 FTELY FR MENALTO ST PTN OF LOT 51 4TH ADD       RUNNYMEDE CHAS WEEKS POULTRY COLONY,01,94025,MENLO PARK,008,110 O'CONNOR ST,2,3.33538463989e-4
071021100,X,Residential Low Density,RL,R1S,16957.25,23-6122,R-1 PARCEL B 0.39 AC MOL PARCEL MAP VOL 10/52,01,94025,MENLO PARK,008,1211 ELDER AVE,1,9.66622498465e-4
071363210,X,Residential Low Density,RL,R1S,13136.35,23-5577,LOT 61 BROOKDELL UNIT NO 3 RSM 28/18 CITY OF MENLO,01,94025,MENLO PARK,008,315 COTTON ST,1,7.48416785492e-4
071113010,X,Residential Low Density,RL,R1U,5137.82,23-6302,LOTS 1 & 2 BLOCK 2 UNIVERSITY ADDITION RSM 2/70,01,94025,MENLO PARK,008,1095 SHERMAN AVE,1,2.92835781567e-4
071180200,X,Residential Low Density,RL,R1S,11608.62,23-6219,0.265 ACS MOL ON N E LINE OF LEMON ST ADJ LOT 43 OF    STANFORDCREEK ACREAGE CITY OF MENLO PARK,01,94025,MENLO PARK,008,440 LEMON ST,1,6.61647159469e-4
071202050,X,Residential Low Density,RL,R1S,10113.83,23-5690,LOT 20 STANFORD CREEK RSM 29/8 CITY OF MENLO PARK,01,94025,MENLO PARK,008,1750 BAY LAUREL DR,1,5.72407705509e-4
071112070,X,Residential Low Density,RL,R1U,5500.42,23-6294,LOTS 14 & 15 BLOCK 1 UNIVERSITY ADDITION RSM 2/70,01,94025,MENLO PARK,008,1980 SANTA CRUZ AVE,1,3.13502303541e-4
071124030,X,Residential Low Density,RL,R1S,10102.86,23-5844,LOT 45 OAKDELL MANOR MAP NO 3 RSM 30/15 CITY OF MENLO  PARK,01,94025,MENLO PARK,008,851 STANFORD AVE,1,5.75888080485e-4
071141010,X,Residential Low Density,RL,R1S,13687.6,23-5782,LOT 1 OAKDELL MANOR RSM 28/14 15 CITY OF MENLO PARK,01,94025,MENLO PARK,008,1805 WHITE OAK DR,1,7.80129698414e-4
071113040,X,Residential Low Density,RL,R1U,5499.68,23-6305,LOTS 7 & 8 BLOCK 2 UNIVERSITY ADDITION RSM 2/70,01,94025,MENLO PARK,008,1035 SHERMAN AVE,1,3.13458334808e-4
