gnrl_p_,id,zoning
RMP-5,0,2
RSP-4A,1,1
C-F,2,0
C-F,3,0
C-N,4,0
O-A,5,0
O-A,6,0
O-A,7,0
O-A,8,0
O-A,9,0
O-A,10,0
O-A,11,0
RSP-5A,12,1
O-A,13,0
P-A,14,0
P-A,15,0
P-A,16,0
RSP-1A,17,1
R-P,18,1
R-P,19,0
R-P,20,2
R-P,21,1
RM-1.5,22,2
RM-1.5,23,2
RM-2.5,24,2
RM-2.5,25,2
RS-10,26,1
RS-10,27,1
RS-10,28,1
RS-10,29,1
RS-15,30,1
RS-20,31,1
RS-20,32,1
RS-43,33,1
RS-43,34,1
RS-6,35,1
RS-7.5,36,1
RS-7.5,37,1
RM-2.0,38,2
RS-6,39,1
RM-3.5,40,2
RM-4.0,41,2
RM-2.0,42,2
RM-2.0,43,2
R-P,44,0
R-P,45,1
RS-7.5,46,1
RM-3.0,47,2
RM-3.0,48,2
RM-3.0,49,2
C-N,50,0
O-A,51,0
RS-10,52,1
RS-10A,53,1
C-R,54,0
RSP-1A,55,1
C-F,56,0
C-F,57,0
C-G,58,0
O-A,59,0
O-A,60,0
O-A,61,0
P-A,62,0
RM-1.5,63,2
RM-2.0,64,2
RM-2.0,65,2
RM-2.0,66,2
RM-2.5,67,2
RM-3.5,68,2
RSP-1.5A,69,1
RS-7.5,70,1
RSP-2.5A,71,1
RSP-30,72,1
RM-5.5,73,2
C-R,74,0
O-A,75,0
RM-2.5,76,2
O-A,77,0
O-A,78,0
O-A,79,0
O-A,80,0
O-A,81,0
O-A,82,0
R-P,83,1
RM-1.5,84,2
RM-2.5,85,2
RS-10,86,1
RS-10,87,1
RS-6,88,1
RS-6,89,1
O-A,90,0
C-N,91,0
RM-3.0,92,2
RSP-5A,93,1
O-A,94,0
O-A,95,0
R-P,96,0
RS-10,97,1
RS-10,98,1
RS-20,99,1
RS-43,100,1
RS-43,101,1
RS-30,102,1
RSP-5A,103,1
R-P,104,1
RS-10,105,1
RS-10,106,1
RS-10,107,1
RS-20,108,1
RS-43,109,1
RS-7.5,110,1
RS-43,111,1
RS-7.5,112,1
RS-6,113,1
RSP-3A,114,1
O-A,115,0
O-A,116,0
P-A,117,0
R-P,118,1
RS-10,119,1
RS-10,120,1
RSP-10A,121,1
RSP-1A,122,1
O-A,123,0
O-A,124,0
O-A,125,0
R-P,126,1
RS-10,127,1
RS-15,128,1
O-A,129,0
RSP-1.5A,130,1
RS-20,131,1
RS-10,132,1
C-F,133,0
C-G,134,0
O-A,135,0
O-A,136,0
RS-6,137,1
RSP-1.5A,138,1
RSP-5A,139,1
RSP-2.5A,140,1
O-A,141,0
O-A,142,0
RSP-2A,143,1
RSP-10A,144,1
RS-43,145,1
O-A,146,0
R-P,147,1
RS-10,148,1
RSP-2A,149,1
O-A,150,0
R-P,151,0
RSP-10A,152,1
O-A,153,0
RSP-5,154,1
RM-3.5,155,2
O-A,156,0
RS-20,157,1
RS-10A,158,1
R-P,159,1
C-N,160,0
RM-2.5,161,2
RS-43,162,1
O-A,163,0
RS-10A,164,1
O-A,165,0
