gnrl_p_,id,zoning
HMD,0,1
HMD,1,1
HMD,2,1
HMD,3,1
HMD,4,1
MXD,5,0
MXD,6,0
MXD,7,0
MXD,8,0
MXD,9,0
MXD,10,0
MXD,11,0
MXD,12,0
MXD,13,0
MXD,14,0
MXD,15,0
MXD,16,0
MXD,17,0
PAO,18,0
PAO,19,0
PAO,20,0
PAO,21,0
PAO,22,0
PAO,23,0
ROW,24,3
ROW,25,3
RRMU,26,2
RRMU,27,2
RRMU,28,2
URR,29,2
URR,30,2
URR,31,2
MFG,32,0
MFG,33,0
MFG,34,0
MFG,35,0
MFG,36,0
MFG,37,0
MFG,38,0
MFG,39,0
MFG,40,0
MFG,41,0
MFG,42,0
MFG,43,0
MFG,44,0
MFG,45,0
MFG,46,0
MFG,47,0
MFG,48,0
MFG,49,0
MFG,50,0
MFG,51,0
MFG,52,0
MFG,53,0
MFG,54,0
VHD,55,2
VHD,56,2
VHD,57,2
VHD,58,2
VHD,59,2
VHD,60,2
VHD,61,2
VHD,62,2
VHD,63,2
BVMU,64,2
BVMU,65,2
BVMU,66,2
BVMU_Comm,67,0
BVMU,68,2
BVMU,69,2
BVMU_Comm,70,0
BVMU,71,2
BVMU_Comm,72,0
BVMU,73,2
BVMU_Comm,74,0
BVMU,75,2
GNC,76,0
GNC,77,0
GNC,78,0
GNC,79,0
GNC,80,0
GNC,81,0
GNC,82,0
GNC,83,0
GNC,84,0
GNC,85,0
GNC,86,0
GNC,87,0
GNC,88,0
GNC,89,0
GNC,90,0
GNC,91,0
GNC,92,0
GNC,93,0
GNC,94,0
GNC,95,0
GNC,96,0
GNC,97,0
GNC,98,0
GNC,99,0
GNC,100,0
GNC,101,0
INP,102,0
INP,103,0
INP,104,0
INP,105,0
INP,106,0
INP,107,0
INP,108,0
INP,109,0
INP,110,0
INP,111,0
INP,112,0
INP,113,0
INP,114,0
INP,115,0
INP,116,0
INP,117,0
INP,118,0
INP,119,0
INP,120,0
INP,121,0
INP,122,0
INP,123,0
INP,124,0
INP,125,0
INP,126,0
INP,127,0
INP,128,0
MFM,129,2
MFM,130,2
MFM,131,2
MFM,132,2
MFM,133,2
MFM,134,2
MFM,135,2
MFM,136,2
MFM,137,2
MFM,138,2
MFM,139,2
MFM,140,2
MFM,141,2
MFM,142,2
MFM,143,2
MFM,144,2
MFM,145,2
MFM,146,2
MFM,147,2
MFM,148,2
MFM,149,2
MFM,150,2
MFM,151,2
MFM,152,2
MFM,153,2
MFM,154,2
MFM,155,2
MFM,156,2
MFM,157,2
MFM,158,2
MFM,159,2
MFM,160,2
MFM,161,2
MFM,162,2
MFM,163,2
MFM,164,2
MFM,165,2
MFM,166,2
MFM,167,2
MFM,168,2
MFM,169,2
MFM,170,2
MFM,171,2
MFM,172,2
MFM,173,2
MFM,174,2
MFM,175,2
MFM,176,2
MFM,177,2
MFM,178,2
MFM,179,2
TC,180,0
TC,181,0
TC,182,0
TC,183,0
TC,184,0
TC,185,0
TC,186,0
TC,187,0
TC,188,0
TC,189,0
MHP,190,2
MHP,191,2
MFH,192,2
MFH,193,2
MFH,194,2
MFH,195,2
MFH,196,2
MFH,197,2
MFH,198,2
MFH,199,2
MFH,200,2
MFH,201,2
MFH,202,2
MFH,203,2
MFH,204,2
MFH,205,2
MFH,206,2
MFH,207,2
MFH,208,2
MFH,209,2
MFH,210,2
MFH,211,2
MFH,212,2
MFH,213,2
MFH,214,2
MFH,215,2
MFH,216,2
MFH,217,2
MFH,218,2
MFH,219,2
MFH,220,2
MFH,221,2
MFH,222,2
MFH,223,2
MFH,224,2
MFH,225,2
MFH,226,2
MFH,227,2
MFH,228,2
MFH,229,2
MFH,230,2
MFH,231,2
MFH,232,2
MFH,233,2
MFH,234,2
MFH,235,2
MFH,236,2
MFH,237,2
MFH,238,2
MFH,239,2
MFH,240,2
MFH,241,2
MFH,242,2
MFH,243,2
MFH,244,2
MFH,245,2
MFH,246,2
MFH,247,2
MFH,248,2
MFH,249,2
MFH,250,2
RSC,251,0
RSC,252,0
RSC,253,0
RSC,254,0
RSC,255,0
RSC,256,0
RSC,257,0
RSC,258,0
RSC,259,0
RSC,260,0
RSC,261,0
RSC,262,0
RSC,263,0
RSC,264,0
RSC,265,0
RSC,266,0
RSC,267,0
RSC,268,0
RSC,269,0
HWS,270,0
HWS,271,0
HWS,272,0
HWS,273,0
HWS,274,0
HWS,275,0
HWS,276,0
HWS,277,0
HWS,278,0
HWS,279,0
HWS,280,0
HWS,281,0
SMD,282,1
SMD,283,1
SMD,284,1
SMD,285,1
SMD,286,1
SMD,287,1
SMD,288,1
SMD,289,1
SMD,290,1
SMD,291,1
SMD,292,1
SMD,293,1
SMD,294,1
SMD,295,1
SMD,296,1
SMD,297,1
SMD,298,1
SMD,299,1
SMD,300,1
SMD,301,1
SMD,302,1
SMD,303,1
SMD,304,1
SMD,305,1
SMD,306,1
SMD,307,1
SMD,308,1
SMD,309,1
SMD,310,1
SMD,311,1
SMD,312,1
SMD,313,1
SMD,314,1
SMD,315,1
SMD,316,1
SMD,317,1
SMD,318,1
SMD,319,1
SMD,320,1
SMD,321,1
SMD,322,1
SMD,323,1
SMD,324,1
SMD,325,1
SMD,326,1
SMD,327,1
SMD,328,1
SMD,329,1
SMD,330,1
SMD,331,1
SMD,332,1
SMD,333,1
SMD,334,1
SMD,335,1
SMD,336,1
SMD,337,1
SMD,338,1
SMD,339,1
SMD,340,1
SMD,341,1
SMD,342,1
SMD,343,1
SMD,344,1
SMD,345,1
SMD,346,1
Waterways,347,3
Waterways,348,3
Waterways,349,3
Waterways,350,3
Waterways,351,3
Waterways,352,3
Waterways,353,3
Waterways,354,3
Waterways,355,3
Waterways,356,3
Waterways,357,3
Waterways,358,3
Waterways,359,3
Waterways,360,3
Waterways,361,3
Waterways,362,3
Waterways,363,3
Waterways,364,3
Waterways,365,3
Waterways,366,3
Waterways,367,3
Waterways,368,3
Waterways,369,3
HLD,370,1
HLD,371,1
HLD,372,1
HLD,373,1
HLD,374,1
HLD,375,1
HLD,376,1
HLD,377,1
PF,378,0
PF,379,0
PF,380,0
PF,381,0
PF,382,0
PF,383,0
PF,384,0
PF,385,0
PF,386,0
PF,387,0
PF,388,0
PF,389,0
PF,390,0
PF,391,0
PF,392,0
PF,393,0
PF,394,0
PF,395,0
PF,396,0
PF,397,0
PF,398,0
PF,399,0
PF,400,0
PF,401,0
POS,402,0
POS,403,0
POS,404,0
POS,405,0
POS,406,0
POS,407,0
POS,408,0
POS,409,0
POS,410,0
POS,411,0
POS,412,0
POS,413,0
POS,414,0
POS,415,0
POS,416,0
POS,417,0
POS,418,0
POS,419,0
POS,420,0
POS,421,0
POS,422,0
POS,423,0
POS,424,0
POS,425,0
POS,426,0
POS,427,0
POS,428,0
POS,429,0
POS,430,0
POS,431,0
POS,432,0
POS,433,0
POS,434,0
POS,435,0
POS,436,0
POS,437,0
POS,438,0
POS,439,0
POS,440,0
POS,441,0
POS,442,0
POS,443,0
POS,444,0
POS,445,0
POS,446,0
POS,447,0
POS,448,0
POS,449,0
POS,450,0
POS,451,0
POS,452,0
POS,453,0
POS,454,0
POS,455,0
POS,456,0
POS,457,0
POS,458,0
POS,459,0
POS,460,0
POS,461,0
POS,462,0
POS,463,0
POS,464,0
ROW,465,3
ROW,466,3
ROW,467,3
ROW,468,3
ROW,469,3
ROW,470,3
ROW,471,3
ROW,472,3
ROW,473,3
ROW,474,3
ROW,475,3
ROW,476,3
ROW,477,3
HVL,478,1
ROW,479,3
ROW,480,3
ROW,481,3
ROW,482,3
ROW,483,3
ROW,484,3
ROW,485,3
ROW,486,3
ROW,487,3
ROW,488,3
ROW,489,3
ROW,490,3
ROW,491,3
ROW,492,3
ROW,493,3
ROW,494,3
ROW,495,3
ROW,496,3
ROW,497,3
ROW,498,3
ROW,499,3
ROW,500,3
ROW,501,3
ROW,502,3
ROW,503,3
ROW,504,3
ROW,505,3
ROW,506,3
ROW,507,3
ROW,508,3
ROW,509,3
ROW,510,3
ROW,511,3
ROW,512,3
ROW,513,3
ROW,514,3
