gnrl_p_,id,zoning
708 - Higher Density Residential,0,1
708 - Higher Density Residential,1,1
708 - Higher Density Residential,2,1
708 - Higher Density Residential,3,1
708 - Higher Density Residential,4,1
708 - Higher Density Residential,5,1
708 - Higher Density Residential,6,1
708 - Lower Density Residential,7,1
708 - Lower Density Residential,8,1
708 - Lower Density Residential,9,1
708 - Lower Density Residential,10,1
708 - Medium Density Residential,11,1
708 - Medium Density Residential,12,1
708 - Medium Density Residential,13,1
708 - Medium Density Residential,14,1
708 - Open Space,15,0
708 - Open Space,16,0
