gnrl_p_,ID,edt_g__,X3,X4,zoning
MU-F,1,MU-F,NA,NA,0
MU-F,2,MU-F,NA,NA,0
MU-F,3,MU-F,NA,NA,0
MU-F,4,MU-F,NA,NA,0
"RDL 20,000",5,"RDL 20,000",NA,NA,1
"RDM 7,000",6,"RDM 7,000",NA,NA,1
CS,7,CS,NA,NA,0
"RDM 7,000",8,"RDM 7,000",NA,NA,1
"RAL 3,000",9,"RAL 3,000",NA,NA,2
"RDM 7,000",10,"RDM 7,000",NA,NA,1
"RDM 7,000",11,"RDM 7,000",NA,NA,1
"RAL 3,500",12,"RAL 3,500",NA,NA,2
"RAL 3,000",13,"RAL 3,000",NA,NA,2
"RDL 20,000",14,"RDL 20,000",NA,NA,1
"RAL 3,500",15,"RAL 3,500",NA,NA,2
"RDM 7,000",16,"RDM 7,000",NA,NA,1
"RAL 3,500",17,"RAL 3,500",NA,NA,2
"RDM 9,000",18,"RDM 9,000",NA,NA,1
"RDL 20,000",19,"RDL 20,000",NA,NA,1
RE 1,20,RE 1,NA,NA,1
"RDL 12,000",21,"RDL 12,000",NA,NA,1
"RDM 7,000",22,"RDM 7,000",NA,NA,1
RE 1,23,RE 1,NA,NA,1
"RDL 12,000",24,"RDL 12,000",NA,NA,1
"RAL 3,500",25,"RAL 3,500",NA,NA,2
"RDM 7,000",26,"RDM 7,000",NA,NA,1
"RDM 7,000",27,"RDM 7,000",NA,NA,1
"RDL 12,000",28,"RDL 12,000",NA,NA,1
"RDM 7,000",29,"RDM 7,000",NA,NA,1
IL,30,IL,NA,NA,0
"RAL 3,500",31,"RAL 3,500",NA,NA,2
"RDL 20,000",32,"RDL 20,000",NA,NA,1
"RDM 7,000",33,"RDM 7,000",NA,NA,1
"RDM 7,000",34,"RDM 7,000",NA,NA,1
"RDM 9,000",35,"RDM 9,000",NA,NA,1
"RDM 7,000",36,"RDM 7,000",NA,NA,1
"RDM 7,000",37,"RDM 7,000",NA,NA,1
"RDL 12,000",38,"RDL 12,000",NA,NA,1
"RDL 20,000",39,"RDL 20,000",NA,NA,1
"RDM 7,000",40,"RDM 7,000",NA,NA,1
"RDM 7,000",41,"RDM 7,000",NA,NA,1
"RDL 20,000",42,"RDL 20,000",NA,NA,1
"RDM 7,000",43,"RDM 7,000",NA,NA,1
"RDM 9,000",44,"RDM 9,000",NA,NA,1
"RAL 3,500",45,"RAL 3,500",NA,NA,2
"RDM 9,000",46,"RDM 9,000",NA,NA,1
"RDL 12,000",47,"RDL 12,000",NA,NA,1
"RDL 12,000",48,"RDL 12,000",NA,NA,1
"RDL 12,000",49,"RDL 12,000",NA,NA,1
"RDM 7,000",50,"RDM 7,000",NA,NA,1
"RDM 7,000",51,"RDM 7,000",NA,NA,1
"RDM 9,000",52,"RDM 9,000",NA,NA,1
"RDM 7,000",53,"RDM 7,000",NA,NA,1
"RDM 7,000",54,"RDM 7,000",NA,NA,1
"RDM 7,000",55,"RDM 7,000",NA,NA,1
"RDM 7,000",56,"RDM 7,000",NA,NA,1
"RDL 20,000",57,"RDL 20,000",NA,NA,1
"RAL 3,500",58,"RAL 3,500",NA,NA,2
"RDL 20,000",59,"RDL 20,000",NA,NA,1
"RDM 7,000",60,"RDM 7,000",NA,NA,1
"RDM 7,000",61,"RDM 7,000",NA,NA,1
"RDM 7,000",62,"RDM 7,000",NA,NA,1
"RAL 3,000",63,"RAL 3,000",NA,NA,2
"RAL 3,500",64,"RAL 3,500",NA,NA,2
"RAL 3,500",65,"RAL 3,500",NA,NA,2
"RDM 7,000",66,"RDM 7,000",NA,NA,1
"RDM 7,000",67,"RDM 7,000",NA,NA,1
"RDM 7,000",68,"RDM 7,000",NA,NA,1
"RDM 9,000",69,"RDM 9,000",NA,NA,1
"RDL 12,000",70,"RDL 12,000",NA,NA,1
"RDM 7,000",71,"RDM 7,000",NA,NA,1
"RDM 7,000",72,"RDM 7,000",NA,NA,1
"RDM 7,000",73,"RDM 7,000",NA,NA,1
"RAL 3,500",74,"RAL 3,500",NA,NA,2
"RAL 3,000",75,"RAL 3,000",NA,NA,2
"RDM 7,000",76,"RDM 7,000",NA,NA,1
"RDM 7,000",77,"RDM 7,000",NA,NA,1
"RDL 12,000",78,"RDL 12,000",NA,NA,1
"RAL 3,500",79,"RAL 3,500",NA,NA,2
"RDM 9,000",80,"RDM 9,000",NA,NA,1
"RDM 7,000",81,"RDM 7,000",NA,NA,1
"RAL 3,000",82,"RAL 3,000",NA,NA,2
"RDM 7,000",83,"RDM 7,000",NA,NA,1
"RDM 9,000",84,"RDM 9,000",NA,NA,1
"RDM 7,000",85,"RDM 7,000",NA,NA,1
"RDL 20,000",86,"RDL 20,000",NA,NA,1
"RDM 9,000",87,"RDM 9,000",NA,NA,1
MU-N_MF,88,MU-N_MF,NA,NA,2
"RDL 12,000",89,"RDL 12,000",NA,NA,1
"RDM 7,000",90,"RDM 7,000",NA,NA,1
"RDM 7,000",91,"RDM 7,000",NA,NA,1
"RAL 3,500",92,"RAL 3,500",NA,NA,2
RE 1,93,RE 1,NA,NA,1
"RDM 7,000",94,"RDM 7,000",NA,NA,1
"RDM 7,000",95,"RDM 7,000",NA,NA,1
"RDM 7,000",96,"RDM 7,000",NA,NA,1
"RDM 7,000",97,"RDM 7,000",NA,NA,1
"RAL 3,500",98,"RAL 3,500",NA,NA,2
"RDM 7,000",99,"RDM 7,000",NA,NA,1
"RDM 7,000",100,"RDM 7,000",NA,NA,1
"RDM 7,000",101,"RDM 7,000",NA,NA,1
IL,102,IL,NA,NA,0
"RDL 20,000",103,"RDL 20,000",NA,NA,1
IL,104,IL,NA,NA,0
"RDL 20,000",105,"RDL 20,000",NA,NA,1
"RDL 20,000",106,"RDL 20,000",NA,NA,1
"RDM 7,000",107,"RDM 7,000",NA,NA,1
"RDM 7,000",108,"RDM 7,000",NA,NA,1
"RDM 7,000",109,"RDM 7,000",NA,NA,1
RE 1,110,RE 1,NA,NA,1
RE 1,111,RE 1,NA,NA,1
"RDL 12,000",112,"RDL 12,000",NA,NA,1
"RDL 12,000",113,"RDL 12,000",NA,NA,1
RE 1,114,RE 1,NA,NA,1
"RDM 7,000",115,"RDM 7,000",NA,NA,1
"RDM 7,000",116,"RDM 7,000",NA,NA,1
"RDL 12,000",117,"RDL 12,000",NA,NA,1
"RAL 3,500",118,"RAL 3,500",NA,NA,2
