OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,SUFFIX,OVERLAY_H,OVERLAY_SD,OVERLAY_OT,PRECPLAN,ZONELABEL,BASEELEV,HEIGHT,PRECISEPLA,ShapeSTAre,ShapeSTLen,Zoning
1,F,F,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,F,NA,NA,NA,431489.077148,5671.72527419,NA
2,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,1070420.19434,6084.30447889,NA
4,PF,PF,2017-12-12,Krisha Penollar - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,48736981.3623,65271.1516072,NA
5,RMH,RMH,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,RMH,NA,NA,NA,1761211.97949,5323.72055796,2
6,P,P,2017-12-12,Krisha Penollar - CDD,NA,NA,NA,NA,P(39),P(39),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29702'>North Bayshore </a>,27933871.7861,43932.8039305,NA
12,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,sd,NA,NA,R3-2sd,NA,NA,NA,89784.6591797,1220.95093401,2
14,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,42021.9355469,947.4832447018446,2
15,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,sd,NA,NA,R3-2sd,NA,NA,NA,243502.546875,2650.27594428,2
16,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,369997.108398,4038.35262634,NA
22,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,814344.350586,6269.56833124,2
23,R2,R2,2016-12-05,Eric Anderson - CDD,NA,h1s,NA,NA,NA,R2h1s,NA,NA,NA,176982.375977,1939.03582365,2
25,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,144644.507813,2478.37767246,2
26,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,240200.723633,1947.49974209,2
27,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(30),P(30),NA,NA,Sylvan - Dale,1779934.63965,5304.23261971,1
28,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,316705.305664,2269.94865211,2
29,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(38),P(38),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29701'>El Camino Real</a>,3122199.32422,10130.2523971,2
30,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(30),P(30),NA,NA,Sylvan - Dale,221618.817383,2023.96722152,1
32,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,W,NA,AW,NA,NA,NA,461582.347656,3487.14399535,NA
33,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,116383.283203,1474.16044785,NA
34,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(35),P(35),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2779'>Whisman Station</a>,2517387.28809,7280.34842431,2
36,MM,MM,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,MM,NA,NA,NA,2502509.59277,7227.38846643,NA
37,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(29),P(29),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2775'>111 Ferry-Morse Way</a>,790163.915039,3708.26279508,NA
38,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,1887717.14258,6465.69959095,NA
39,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,629202.989258,3256.30693893,NA
40,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,931133.662109,10160.9607983,NA
41,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,12238296.2363,16443.6350375,1
42,CRA,CRA,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CRA,NA,NA,NA,294260.487305,2945.35218464,NA
