id,gnrl_p_,zoning
0,RI 4,1
1,RS 5,1
2,POS,0
3,RS 5,1
4,RS 10,1
5,RS 7,1
6,POS,0
7,RI 10,1
8,RS 10,1
9,RI 7,1
10,RI 4,1
11,CT,0
12,RI 5,1
13,RM,2
14,RI 7,1
15,RS 20,1
16,CL,0
17,CL,0
18,RS 20,1
19,RS 4,1
20,RS 10,1
21,PQ,0
22,RS 10,1
23,RS 7,1
24,RI 4,1
25,POS,0
26,RI 5,1
27,RI 10,1
28,RS 5,1
29,RM,2
30,RS 10,1
31,CL,0
32,RS 5,1
33,RS 5,1
34,RS 7,1
35,RS 4,1
36,RM,2
37,CT,0
38,RI 7,1
39,POS,0
40,RM,2
41,PQ,0
42,RS 5,1
43,CL,0
44,RI 4,1
45,RI 5,1
46,RS 5,1
47,RS 20,1
48,RS 10,1
49,PQ,0
50,RM,2
51,RS 7,1
52,POS,0
53,POS,0
54,RS 7,1
55,CT,0
56,RI 4,1
57,RS 7,1
58,POS,0
59,PQ,0
60,RS 7,1
61,PQ,0
62,RM,2
63,RI 4,1
64,RS 7,1
65,RS 5,1
66,POS,0
67,RS 7,1
68,RS 7,1
69,RM,2
70,RS 5,1
71,RI 7,1
72,RS 7,1
73,RI 5,1
74,RS 7,1
75,RM,2
76,RM,2
77,POS,0
78,RM,2
79,CL,0
80,PQ,0
81,AR,0
82,RM,2
83,PQ,0
84,RI 4,1
85,PQ,0
86,RS 7,1
87,RM,2
88,OM,0
89,RM,2
90,RS 5,1
91,PQ,0
92,CC,0
93,CL,0
94,OC,0
95,CT,0
96,RM,2
97,RM,2
98,RI 5,1
99,CC,0
100,OM,0
101,OM,0
102,CL,0
103,CL,0
104,RM,2
105,RS 5,1
106,RS 40,1
107,RI 4,1
108,OM,0
109,PQ,0
110,POS,0
111,RI 5,1
112,RS 20,1
113,CC,0
114,RM,2
115,RM,2
116,CT,0
117,RS 10,1
118,RS 20,1
119,RM,2
120,RS 20,1
121,RI 5,1
122,RI 7,1
123,RS 5,1
124,IL,0
125,RM,2
126,RI 4,1
127,RI 4,1
128,RI 4,1
129,RI 7,1
130,RS 40,1
131,RM,2
132,OC,0
133,RS 20,1
134,RS 7,1
135,PQ,0
136,RS 20,1
137,RI 4,1
138,RS 7,1
139,RI 4,1
140,RS 10,1
141,RS 20,1
142,RI 20,1
143,RS 10,1
144,RM,2
145,CL,0
146,RS 5,1
147,RS 20,1
148,RS 7,1
149,POS,0
150,RS 40,1
151,PQ,0
152,POS,0
153,RO,0
154,RM,2
155,RS 7,1
156,RS 7,1
157,RS 10,1
158,RM,2
159,POS,0
160,RS 20,1
161,RS 40,1
162,PQ,0
163,RS 20,1
164,RS 10,1
165,RS 10,1
166,RI 10,1
167,RS 10,1
168,RS 20,1
169,RI 7,1
170,RI 5,1
171,RM,2
172,RS 7,1
173,RO,0
174,RI 7,1
175,CC,0
176,RI 5,1
177,CL,0
178,RM,2
179,RS 40,1
180,RM,2
181,RM,2
182,RS 10,1
183,RM,2
184,RI 5,1
185,CL,0
186,RS 10,1
187,CT,0
188,PQ,0
189,RS 40,1
190,RI 4,1
191,RS 10,1
192,RS 20,1
193,RI 5,1
194,RI 7,1
195,RS 7,1
196,RI 10,1
197,RS 40,1
198,RS 10,1
199,PQ,0
200,RS 40,1
201,RM,2
202,AR,0
203,RS 5,1
204,RS 7,1
205,CL,0
206,POS,0
207,CC,0
208,RS 40,1
209,POS,0
210,POS,0
211,PQ,0
212,RM,2
213,PQ,0
214,CL,0
215,RS 20,1
216,RS 10,1
217,RI 5,1
218,IL,0
219,RS 20,1
220,RS 20,1
221,RI 5,1
222,RS 40,1
223,RI 4,1
224,POS,0
225,RS 40,1
226,AR,0
227,CL,0
228,POS,0
229,RI 5,1
230,RI 5,1
231,CL,0
232,CC,0
233,RI 4,1
234,RO,0
235,RS 40,1
236,RI 4,1
237,RS 20,1
238,RS 20,1
239,CL,0
240,OC,0
241,RM,2
242,RI 4,1
243,RS 5,1
244,RS 10,1
245,POS,0
246,RS 7,1
247,RS 7,1
248,POS,0
249,POS,0
250,RI 4,1
251,PQ,0
252,RS 40,1
253,RS 20,1
254,RI 4,1
