gnrl_p_,id,city_nm,zoning
108 - Agricultural/Resource Production Open Space,0,newark,0
108 - Community Commercial,1,newark,0
108 - Community Commercial,2,newark,0
108 - Community Commercial,3,newark,0
108 - Community Commercial,4,newark,0
108 - Community Commercial,5,newark,0
108 - Community Commercial,6,newark,0
108 - Community Commercial,7,newark,0
108 - Community Commercial,8,newark,0
108 - Community Commercial,9,newark,0
108 - Community Commercial,10,newark,0
108 - Community Commercial,11,newark,0
108 - Community Commercial,12,newark,0
108 - Community Commercial,13,newark,0
108 - Community Commercial,14,newark,0
108 - Community Commercial,15,newark,0
108 - Community Commercial,16,newark,0
108 - Conservation Open Space,17,newark,0
108 - Conservation Open Space,18,newark,0
108 - Conservation Open Space,19,newark,0
108 - Conservation Open Space,20,newark,0
108 - General Commercial,21,newark,0
108 - General Commercial,22,newark,0
108 - General Commercial,23,newark,0
108 - General Commercial,24,newark,0
108 - General Commercial,25,newark,0
108 - General Industrial,26,newark,0
108 - General Industrial_Multifamily,27,newark,2
108 - General Industrial,28,newark,0
108 - General Industrial,29,newark,0
108 - General Industrial,30,newark,0
108 - General Industrial,31,newark,0
108 - General Industrial,32,newark,0
108 - General Industrial,33,newark,0
108 - General Industrial,34,newark,0
108 - General Industrial,35,newark,0
108 - High Density Residential,36,newark,2
108 - High Density Residential,37,newark,2
108 - High Density Residential,38,newark,2
108 - High Density Residential,39,newark,2
108 - High Density Residential,40,newark,2
108 - High Density Residential,41,newark,2
108 - High Density Residential,42,newark,2
108 - High Density Residential,43,newark,2
108 - High Density Residential,44,newark,2
108 - High Density Residential,45,newark,2
108 - High Density Residential,46,newark,2
108 - High Density Residential_Commercial,47,newark,2
108 - High Density Residential,48,newark,2
108 - High Density Residential,49,newark,2
108 - High Density Residential,50,newark,2
108 - High Density Residential,51,newark,2
108 - High Density Residential,52,newark,2
108 - High Density Residential,53,newark,2
108 - High Density Residential,54,newark,2
108 - High Density Residential,55,newark,2
108 - High Density Residential,56,newark,2
108 - High Density Residential,57,newark,2
108 - High Density Residential,58,newark,2
108 - High Density Residential,59,newark,2
108 - High Density Residential,60,newark,2
108 - High Density Residential,61,newark,2
108 - High Density Residential,62,newark,2
108 - High Density Residential,63,newark,2
108 - High Density Residential,64,newark,2
108 - Limited Industrial,65,newark,0
108 - Limited Industrial,66,newark,0
108 - Limited Industrial,67,newark,0
108 - Limited Industrial,68,newark,0
108 - Limited Industrial,69,newark,0
108 - Limited Industrial,70,newark,0
108 - Limited Industrial,71,newark,0
108 - Limited Industrial_MultiFamily,72,newark,2
108 - Limited Industrial_MultiFamily,73,newark,2
108 - Limited Industrial,74,newark,0
108 - Limited Industrial,75,newark,0
108 - Limited Industrial,76,newark,0
108 - Low Density Residential,77,newark,1
108 - Low Density Residential,78,newark,1
108 - Low Density Residential,79,newark,1
108 - Low Density Residential,80,newark,1
108 - Low Density Residential,81,newark,1
108 - Low Density Residential,82,newark,1
108 - Low Density Residential,83,newark,1
108 - Low Density Residential,84,newark,1
108 - Low Density Residential,85,newark,1
108 - Low Density Residential,86,newark,1
108 - Low Density Residential,87,newark,1
108 - Low Density Residential,88,newark,1
108 - Low Density Residential,89,newark,1
108 - Low Density Residential,90,newark,1
108 - Low Density Residential,91,newark,1
108 - Low Density Residential,92,newark,1
108 - Low Density Residential,93,newark,1
108 - Low Density Residential,94,newark,1
108 - Low Density Residential,95,newark,1
108 - Low Density Residential,96,newark,1
108 - Low Density Residential,97,newark,1
108 - Low Density Residential,98,newark,1
108 - Low Density Residential,99,newark,1
108 - Low Density Residential,100,newark,1
108 - Low Density Residential,101,newark,1
108 - Low Density Residential,102,newark,1
108 - Low Density Residential,103,newark,1
108 - Low Density Residential,104,newark,1
108 - Low Density Residential,105,newark,1
108 - Low Density Residential,106,newark,1
108 - Low Density Residential,107,newark,1
108 - Low Density Residential,108,newark,1
108 - Low Density Residential,109,newark,1
108 - Low Density Residential,110,newark,1
108 - Low Density Residential,111,newark,1
108 - Low Density Residential,112,newark,1
108 - Low Density Residential,113,newark,1
108 - Low Density Residential,114,newark,1
108 - Low Density Residential,115,newark,1
108 - Low Density Residential,116,newark,1
108 - Low Density Residential,117,newark,1
108 - Low Density Residential,118,newark,1
108 - Low Density Residential,119,newark,1
108 - Low Density Residential,120,newark,1
108 - Low Density Residential,121,newark,1
108 - Low Density Residential,122,newark,1
108 - Low Density Residential,123,newark,1
108 - Low Density Residential,124,newark,1
108 - Low Density Residential,125,newark,1
108 - Low Density Residential,126,newark,1
108 - Low Density Residential,127,newark,1
108 - Low Density Residential,128,newark,1
108 - Low Density Residential,129,newark,1
108 - Low Density Residential,130,newark,1
108 - Low Density Residential,131,newark,1
108 - Low Density Residential,132,newark,1
108 - Low Density Residential,133,newark,1
108 - Low Density Residential,134,newark,1
108 - Low Density Residential,135,newark,1
108 - Low Density Residential,136,newark,1
108 - Low Density Residential,137,newark,1
108 - Low Density Residential_Multifamily,138,newark,2
108 - Low Density Residential,139,newark,1
108 - Low Density Residential,140,newark,1
108 - Low Density Residential,141,newark,1
108 - Low Density Residential,142,newark,1
108 - Low Density Residential,143,newark,1
108 - Low Density Residential,144,newark,1
108 - Low Density Residential,145,newark,1
108 - Low Density Residential,146,newark,1
108 - Low Density Residential,147,newark,1
108 - Low Density Residential,148,newark,1
108 - Low Density Residential,149,newark,1
108 - Low Density Residential,150,newark,1
108 - Low Density Residential,151,newark,1
108 - Low Density Residential,152,newark,1
108 - Low Density Residential,153,newark,1
108 - Low Density Residential,154,newark,1
108 - Low Density Residential,155,newark,1
108 - Low Density Residential,156,newark,1
108 - Low Density Residential,157,newark,1
108 - Low Density Residential,158,newark,1
108 - Low Density Residential,159,newark,1
108 - Low Density Residential,160,newark,1
108 - Low Density Residential,161,newark,1
108 - Low Density Residential,162,newark,1
108 - Low Density Residential,163,newark,1
108 - Low Density Residential,164,newark,1
108 - Low Density Residential,165,newark,1
108 - Low Density Residential,166,newark,1
108 - Low Density Residential,167,newark,1
108 - Low Density Residential,168,newark,1
108 - Low Density Residential,169,newark,1
108 - Low Density Residential,170,newark,1
108 - Low Density Residential,171,newark,1
108 - Low Density Residential,172,newark,1
108 - Low Density Residential,173,newark,1
108 - Low Density Residential,174,newark,1
108 - Low Density Residential,175,newark,1
108 - Low Density Residential,176,newark,1
108 - Low Density Residential,177,newark,1
108 - Low Density Residential,178,newark,1
108 - Low Density Residential,179,newark,1
108 - Low Density Residential,180,newark,1
108 - Low Density Residential,181,newark,1
108 - Low Density Residential,182,newark,1
108 - Low Density Residential,183,newark,1
108 - Low Density Residential,184,newark,1
108 - Low Density Residential,185,newark,1
108 - Low Density Residential,186,newark,1
108 - Low Density Residential,187,newark,1
108 - Low Density Residential,188,newark,1
108 - Low Density Residential,189,newark,1
108 - Low Density Residential,190,newark,1
108 - Low Density Residential,191,newark,1
108 - Low Density Residential,192,newark,1
108 - Low Density Residential,193,newark,1
108 - Low Density Residential,194,newark,1
108 - Low Density Residential,195,newark,1
108 - Low Density Residential,196,newark,1
108 - Low Density Residential,197,newark,1
108 - Low Density Residential,198,newark,1
108 - Low Density Residential,199,newark,1
108 - Low Density Residential,200,newark,1
108 - Low Density Residential,201,newark,1
108 - Low Density Residential,202,newark,1
108 - Low Density Residential,203,newark,1
108 - Low Density Residential,204,newark,1
108 - Low Density Residential,205,newark,1
108 - Low Density Residential,206,newark,1
108 - Low Density Residential,207,newark,1
108 - Low Density Residential,208,newark,1
108 - Low Density Residential,209,newark,1
108 - Low Density Residential,210,newark,1
108 - Low Density Residential,211,newark,1
108 - Low Density Residential,212,newark,1
108 - Low Density Residential,213,newark,1
108 - Low Density Residential,214,newark,1
108 - Low Density Residential,215,newark,1
108 - Low Density Residential,216,newark,1
108 - Low Density Residential,217,newark,1
108 - Low Density Residential,218,newark,1
108 - Low Density Residential,219,newark,1
108 - Low Density Residential,220,newark,1
108 - Low Density Residential,221,newark,1
108 - Low Density Residential,222,newark,1
108 - Low Density Residential,223,newark,1
108 - Low Density Residential,224,newark,1
108 - Low Density Residential,225,newark,1
108 - Low Density Residential,226,newark,1
108 - Low Density Residential,227,newark,1
108 - Low Density Residential,228,newark,1
108 - Low Density Residential,229,newark,1
108 - Low Density Residential,230,newark,1
108 - Low Density Residential,231,newark,1
108 - Low Density Residential,232,newark,1
108 - Low Density Residential,233,newark,1
108 - Low Density Residential,234,newark,1
108 - Low Density Residential,235,newark,1
108 - Low Density Residential,236,newark,1
108 - Low Density Residential,237,newark,1
108 - Low Density Residential,238,newark,1
108 - Low Density Residential,239,newark,1
108 - Low Density Residential,240,newark,1
108 - Low Density Residential,241,newark,1
108 - Low Density Residential,242,newark,1
108 - Low Density Residential,243,newark,1
108 - Low Density Residential,244,newark,1
108 - Low Density Residential,245,newark,1
108 - Low Density Residential,246,newark,1
108 - Low Density Residential,247,newark,1
108 - Low Density Residential,248,newark,1
108 - Low Density Residential,249,newark,1
108 - Low Density Residential,250,newark,1
108 - Low Density Residential,251,newark,1
108 - Low Density Residential,252,newark,1
108 - Low Density Residential,253,newark,1
108 - Low Density Residential,254,newark,1
108 - Low Density Residential,255,newark,1
108 - Low Density Residential,256,newark,1
108 - Low Density Residential,257,newark,1
108 - Low Density Residential,258,newark,1
108 - Low Density Residential,259,newark,1
108 - Low Density Residential,260,newark,1
108 - Low Density Residential,261,newark,1
108 - Low Density Residential,262,newark,1
108 - Low Density Residential,263,newark,1
108 - Low Density Residential,264,newark,1
108 - Low Density Residential,265,newark,1
108 - Low Density Residential,266,newark,1
108 - Low Density Residential,267,newark,1
108 - Low Density Residential,268,newark,1
108 - Low Density Residential,269,newark,1
108 - Low Density Residential,270,newark,1
108 - Low Density Residential,271,newark,1
108 - Low Density Residential,272,newark,1
108 - Low Density Residential,273,newark,1
108 - Low Density Residential,274,newark,1
108 - Low Density Residential,275,newark,1
108 - Low Density Residential,276,newark,1
108 - Low Density Residential,277,newark,1
108 - Low Density Residential,278,newark,1
108 - Low Density Residential,279,newark,1
108 - Low Density Residential,280,newark,1
108 - Low Density Residential,281,newark,1
108 - Low Density Residential,282,newark,1
108 - Low Density Residential,283,newark,1
108 - Low Density Residential,284,newark,1
108 - Low Density Residential,285,newark,1
108 - Low Density Residential,286,newark,1
108 - Low Density Residential,287,newark,1
108 - Low Density Residential,288,newark,1
108 - Low Density Residential,289,newark,1
108 - Low Density Residential,290,newark,1
