FID_Oaklan,area,basezone,date_effct,time_effct,date_expir,time_expir,ordinance,overlay,perimeter,date_updat,time_updat,znlabel,Zoning
23,34094056.6453,M-40,1899-12-30,NA,1899-12-30,NA,NA,NA,36174.008121,2011-03-15,07:00:00.000,M-40,0
180,2009474.69633,R-80,1899-12-30,NA,1899-12-30,NA,NA,NA,6416.464963,2011-03-15,07:00:00.000,R-80,2
191,2082967.90984,C-45,1899-12-30,NA,1899-12-30,NA,NA,NA,6859.178013,2011-03-15,07:00:00.000,C-45,0
427,96501898.0432,M-40,1899-12-30,NA,1899-12-30,NA,NA,NA,45425.730488,2011-03-15,07:00:00.000,M-40,0
540,4145272.30525,S-2,1899-12-30,NA,1899-12-30,NA,NA,/S-4,21911.911755,2011-03-15,07:00:00.000,S-2,0
548,3764992.02506,OS (RSP),1899-12-30,NA,1899-12-30,NA,12759,NA,13953.1521,2011-03-15,07:00:00.000,OS (RSP),0
582,13324759.7624,M-40,1899-12-30,NA,1899-12-30,NA,NA,NA,13428.542577,2011-03-15,07:00:00.000,M-40,0
588,446363527.416,M-40,1899-12-30,NA,1899-12-30,NA,NA,NA,107665.879705,2011-03-15,07:00:00.000,M-40,0
596,112235863.706,IG,1899-12-30,NA,1899-12-30,NA,12875,NA,77207.627976,2011-03-15,07:00:00.000,IG,0
598,639879.004871,M-40,1899-12-30,NA,1899-12-30,NA,NA,NA,5452.126608,2011-03-15,07:00:00.000,M-40,0
646,22309673.7292,M-40,1899-12-30,NA,1899-12-30,NA,xxxxxx,/S-4,46518.13317,2011-03-15,07:00:00.000,M-40/S-4,0
180,2009474.69633,R-80,1899-12-30,NA,1899-12-30,NA,NA,NA,6416.464963,2011-03-15,07:00:00.000,R-80,2
191,2082967.90984,C-45,1899-12-30,NA,1899-12-30,NA,NA,NA,6859.178013,2011-03-15,07:00:00.000,C-45,0
427,96501898.0432,M-40,1899-12-30,NA,1899-12-30,NA,NA,NA,45425.730488,2011-03-15,07:00:00.000,M-40,0
596,112235863.706,IG,1899-12-30,NA,1899-12-30,NA,12875,NA,77207.627976,2011-03-15,07:00:00.000,IG,0
548,3764992.02506,OS (RSP),1899-12-30,NA,1899-12-30,NA,12759,NA,13953.1521,2011-03-15,07:00:00.000,OS (RSP),0
646,22309673.7292,M-40,1899-12-30,NA,1899-12-30,NA,xxxxxx,/S-4,46518.13317,2011-03-15,07:00:00.000,M-40/S-4,0
582,13324759.7624,M-40,1899-12-30,NA,1899-12-30,NA,NA,NA,13428.542577,2011-03-15,07:00:00.000,M-40,0
596,112235863.706,IG,1899-12-30,NA,1899-12-30,NA,12875,NA,77207.627976,2011-03-15,07:00:00.000,IG,0
0,5448489.85534,CIX-1,1899-12-30,NA,1899-12-30,NA,12875,/S-19,40159.850561,2011-03-15,07:00:00.000,CIX-1/S-19,0
0,574736.084592,CIX-1,1899-12-30,NA,1899-12-30,NA,12875,/S-19,8355.138459,2011-03-15,07:00:00.000,CIX-1/S-19,0
0,71315.687586,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1532.053852,2011-03-15,07:00:00.000,OS (NP),0
0,233957.198111,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1975.040167,2011-03-15,07:00:00.000,OS (NP),0
0,165781.541327,RM-1,1899-12-30,NA,1899-12-30,NA,NA,NA,1726.61174,2011-03-15,07:00:00.000,RM-1,2
0,3529952.81601,CIX-2,1899-12-30,NA,1899-12-30,NA,NA,NA,13042.769808,2011-03-15,07:00:00.000,CIX-2,0
0,18344.121459,OS (AMP),1899-12-30,NA,1899-12-30,NA,NA,NA,549.859074,2011-03-15,07:00:00.000,OS (AMP),0
0,26292.114235,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,681.320209,2011-03-15,07:00:00.000,CN-4,0
0,35560.535498,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,797.620054,2011-03-15,07:00:00.000,CN-4,0
0,27417.554829,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,685.273573,2011-03-15,07:00:00.000,OS (RCA),0
0,4085555.89339,CIX-1,1899-12-30,NA,1899-12-30,NA,12875,/S-19,29069.501825,2011-03-15,07:00:00.000,CIX-1/S-19,0
0,138963.140044,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1498.555904,2011-03-15,07:00:00.000,OS (NP),0
0,75484.06604,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,/S-20,1296.496802,2011-03-15,07:00:00.000,OS (NP)/S-20,0
0,879510.619626,CIX-2,1899-12-30,NA,1899-12-30,NA,12875,NA,8574.920433,2011-03-15,07:00:00.000,CIX-2,0
0,31291.800394,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,831.336232,2011-03-15,07:00:00.000,RM-3,2
0,1189206.62318,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,8101.956189,2011-03-15,07:00:00.000,RD-1,1
0,169013.06624,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,2337.891987,2011-03-15,07:00:00.000,OS (NP),0
0,96850.932013,RM-4,1899-12-30,NA,1899-12-30,NA,NA,/C,1594.705166,2011-03-15,07:00:00.000,RM-4/C,0
0,9512.540811,OS (AMP),1899-12-30,NA,1899-12-30,NA,NA,NA,386.31359200000003,2011-03-15,07:00:00.000,OS (AMP),0
0,304061.240762,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3366.218654,2011-03-15,07:00:00.000,CN-3,0
0,41449.399938,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,916.621191,2011-03-15,07:00:00.000,RM-4,2
0,714765.062273,OS (CP),1899-12-30,NA,1899-12-30,NA,NA,NA,3961.197,2011-03-15,07:00:00.000,OS (CP),0
0,306861.145992,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2947.643636,2011-03-15,07:00:00.000,RM-3,2
0,81013.285711,RD-2,1899-12-30,NA,1899-12-30,NA,NA,NA,1246.74911,2011-03-15,07:00:00.000,RD-2,1
0,64937.088147,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1061.764092,2011-03-15,07:00:00.000,CN-4,0
0,389009.331962,CC-2,1899-12-30,NA,1899-12-30,NA,NA,NA,4433.053693,2011-03-15,07:00:00.000,CC-2,0
0,252634.295655,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2815.428227,2011-03-15,07:00:00.000,RM-3,2
0,161290.724704,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1688.374693,2011-03-15,07:00:00.000,OS (NP),0
0,381599.542673,CIX-2,1899-12-30,NA,1899-12-30,NA,12875,NA,2614.302655,2011-03-15,07:00:00.000,CIX-2,0
0,18517341.3816,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,29878.462383,2011-03-15,07:00:00.000,RD-1,1
0,10030.877412,CIX-2,1899-12-30,NA,1899-12-30,NA,12875,NA,509.832257,2011-03-15,07:00:00.000,CIX-2,0
0,51208.841905,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,1046.298002,2011-03-15,07:00:00.000,RD-1,1
0,102888.699504,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1751.512633,2011-03-15,07:00:00.000,OS (NP),0
0,4290422.95244,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,11371.141784,2011-03-15,07:00:00.000,RD-1,1
0,19200815.8359,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,35022.406236,2011-03-15,07:00:00.000,OS (RCA),0
0,65461.768611,OS(LP),1899-12-30,NA,1899-12-30,NA,NA,/S-4,1213.924106,2011-03-15,07:00:00.000,OS(LP)/S-4,0
0,1457515.4278,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,7093.884257,2011-03-15,07:00:00.000,RM-2,2
0,183495.214922,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2380.206418,2011-03-15,07:00:00.000,RM-3,2
0,840191.549439,CC-1,1899-12-30,NA,1899-12-30,NA,NA,NA,4037.307909,2011-03-15,07:00:00.000,CC-1,0
0,15063.372936,OS (AMP),1899-12-30,NA,1899-12-30,NA,NA,NA,500.804306,2011-03-15,07:00:00.000,OS (AMP),0
0,271030.706368,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2860.360521,2011-03-15,07:00:00.000,CN-3,0
0,400899.354941,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,3825.599118,2011-03-15,07:00:00.000,RM-4,2
0,190435.554255,OS (RSP),1899-12-30,NA,1899-12-30,NA,NA,NA,1862.287387,2011-03-15,07:00:00.000,OS (RSP),0
0,22734.264435,CIX-1,1899-12-30,NA,1899-12-30,NA,12875,/S-19,725.310514,2011-03-15,07:00:00.000,CIX-1/S-19,0
0,3688751.45868,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,8885.871269,2011-03-15,07:00:00.000,OS (SU),0
0,371078.049543,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3218.109081,2011-03-15,07:00:00.000,RM-3,2
0,198369.932907,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,3038.689147,2011-03-15,07:00:00.000,OS (NP),0
0,9559067.78833,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,13981.404014,2011-03-15,07:00:00.000,OS (SU),0
0,575182.467877,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,5120.211522,2011-03-15,07:00:00.000,RU-4,2
0,204693.754818,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1901.599654,2011-03-15,07:00:00.000,OS (NP),0
0,643594.724023,RM-1,1899-12-30,NA,1899-12-30,NA,NA,NA,3519.7262,2011-03-15,07:00:00.000,RM-1,2
0,104629.671065,RU-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1535.463245,2011-03-15,07:00:00.000,RU-3,2
0,11416125.5701,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,23416.180439,2011-03-15,07:00:00.000,RD-1,1
0,222575.109499,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,2482.000457,2011-03-15,07:00:00.000,RU-4,2
0,3258839.69825,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,7450.964998,2011-03-15,07:00:00.000,RD-1,1
0,11175541.4379,IG,1899-12-30,NA,1899-12-30,NA,12875,NA,20267.496913,2011-03-15,07:00:00.000,IG,0
0,136881.040168,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2004.952574,2011-03-15,07:00:00.000,CN-3,0
0,301995.804633,CIX-2,1899-12-30,NA,1899-12-30,NA,NA,NA,2612.361325,2011-03-15,07:00:00.000,CIX-2/S-19,0
0,162695.077354,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1912.665945,2011-03-15,07:00:00.000,CN-3,0
