id,gnrl_p_,zoning
0,RL-40,1
1,RVL,1
2,PD,1
3,PD,1
4,RVL,1
5,RVL-E,1
6,RL-40,1
7,RL-20,1
8,RL-40,1
9,RL-20,1
10,RL-20,1
11,RL-40,1
12,PS,0
13,PD,1
14,RL-20,1
15,RL-20,1
16,RL-40,1
17,PR,0
18,RL-10,1
19,PD,1
20,RVL-E,1
21,RL-20,1
22,PR,0
23,PS,0
24,RL-10,1
25,RL-20,1
26,RL-10,1
27,RL-20,1
28,RL-40,1
29,PR,0
30,DO,0
31,PS,0
32,DC,0
33,RM,2
34,RM,2
35,DO,0
36,PD,1
37,DO,0
38,DC,0
39,DO,0
40,DO,0
41,DO,0
42,RM,2
43,DO,0
44,RL-6,1
45,RL-15,1
46,PD,1
47,PR,0
48,RL-40,1
49,OS,0
50,OS,0
51,PR,0
52,RL-12,1
53,PS,0
54,RL-20,1
55,RL-10,1
56,PS,0
57,PR,0
58,OS,0
59,PS,0
60,OS,0
61,RL-40,1
62,PS,0
