gnrl_p_,id,zoning
Public/Institutional,0,0
Mixed Use_MF,1,2
Public/Institutional,2,0
Low Density Residential,3,1
Low Density Residential,4,1
Open Space Residential,5,0
Low Density Residential,6,1
Low Density Residential,7,1
Low Density Residential,8,1
Ridge,9,0
Open Space Residential,10,0
Open Space Residential,11,0
Commercial,12,0
Commercial,13,0
Commercial,14,0
Commercial,15,0
Commercial,16,0
Commercial,17,0
Commercial,18,0
Commercial,19,0
Commercial,20,0
Commercial,21,0
Commercial,22,0
Commercial,23,0
Commercial,24,0
Commercial,25,0
Commercial,26,0
Commercial,27,0
Commercial,28,0
Commercial,29,0
Commercial,30,0
Commercial,31,0
Commercial,32,0
Commercial,33,0
Commercial,34,0
Commercial,35,0
Commercial,36,0
Commercial,37,0
Commercial,38,0
Commercial,39,0
Commercial,40,0
Commercial,41,0
Commercial,42,0
Commercial,43,0
Commercial,44,0
Commercial,45,0
Commercial,46,0
Commercial,47,0
Commercial,48,0
Commercial,49,0
Commercial,50,0
Commercial,51,0
Commercial,52,0
Commercial,53,0
Commercial,54,0
Commercial,55,0
Commercial,56,0
Commercial,57,0
Commercial,58,0
Commercial,59,0
Commercial,60,0
Commercial,61,0
Commercial,62,0
Commercial,63,0
Commercial,64,0
Commercial,65,0
Commercial,66,0
Commercial,67,0
Commercial,68,0
Park,69,0
Open Space Residential,70,0
Public/Institutional,71,0
Greenbelt,72,0
Public/Institutional,73,0
Public/Institutional,74,0
Low Density Residential,75,1
Agriculture,76,0
Agriculture,77,0
Agriculture,78,0
Public/Institutional,79,0
Mixed Use,80,0
Mixed Use,81,0
Mixed Use,82,0
Mixed Use,83,0
Mixed Use,84,0
Mixed Use,85,0
Mixed Use,86,0
Mixed Use,87,0
Mixed Use,88,0
Mixed Use,89,0
Mixed Use,90,0
Mixed Use,91,0
Mixed Use,92,0
Greenbelt,93,0
Greenbelt,94,0
Greenbelt,95,0
Greenbelt,96,0
Greenbelt,97,0
Special Area,98,0
Greenbelt,99,0
High Density Residential,100,2
High Density Residential,101,2
High Density Residential,102,2
High Density Residential,103,2
High Density Residential,104,2
High Density Residential,105,2
High Density Residential,106,2
High Density Residential,107,2
High Density Residential,108,2
Low Density Residential,109,1
High Density Residential,110,2
High Density Residential,111,2
High Density Residential,112,2
High Density Residential,113,2
High Density Residential,114,2
High Density Residential,115,2
High Density Residential,116,2
High Density Residential,117,2
High Density Residential,118,2
High Density Residential,119,2
High Density Residential,120,2
High Density Residential,121,2
High Density Residential,122,2
High Density Residential,123,2
High Density Residential,124,2
High Density Residential,125,2
High Density Residential,126,2
High Density Residential,127,2
High Density Residential,128,2
High Density Residential,129,2
High Density Residential,130,2
High Density Residential,131,2
High Density Residential,132,2
High Density Residential,133,2
High Density Residential,134,2
High Density Residential,135,2
High Density Residential,136,2
High Density Residential,137,2
High Density Residential,138,2
High Density Residential,139,2
High Density Residential,140,2
High Density Residential,141,2
Low Density Residential,142,1
High Density Residential,143,2
High Density Residential,144,2
High Density Residential,145,2
High Density Residential,146,2
High Density Residential,147,2
High Density Residential,148,2
Low Density Residential,149,1
Low Density Residential,150,1
Low Density Residential,151,1
Low Density Residential,152,1
Low Density Residential,153,1
Low Density Residential,154,1
Low Density Residential,155,1
Low Density Residential,156,1
Low Density Residential,157,1
Low Density Residential,158,1
Low Density Residential,159,1
Low Density Residential,160,1
Low Density Residential,161,1
Low Density Residential,162,1
Low Density Residential,163,1
Low Density Residential,164,1
Low Density Residential,165,1
Low Density Residential,166,1
Low Density Residential,167,1
Low Density Residential,168,1
Low Density Residential,169,1
Low Density Residential,170,1
Low Density Residential,171,1
Low Density Residential,172,1
Low Density Residential,173,1
Low Density Residential,174,1
Low Density Residential,175,1
Low Density Residential,176,1
Low Density Residential,177,1
Low Density Residential,178,1
Low Density Residential,179,1
Low Density Residential,180,1
Low Density Residential,181,1
Low Density Residential,182,1
Low Density Residential,183,1
Low Density Residential,184,1
Low Density Residential,185,1
Low Density Residential,186,1
Low Density Residential,187,1
Low Density Residential,188,1
Low Density Residential,189,1
Low Density Residential,190,1
Low Density Residential,191,1
Low Density Residential,192,1
Low Density Residential,193,1
Low Density Residential,194,1
Low Density Residential,195,1
Low Density Residential,196,1
Low Density Residential,197,1
Low Density Residential,198,1
Low Density Residential,199,1
Low Density Residential,200,1
Low Density Residential,201,1
Low Density Residential,202,1
Low Density Residential,203,1
Low Density Residential,204,1
Low Density Residential,205,1
Low Density Residential,206,1
Low Density Residential,207,1
Low Density Residential,208,1
Low Density Residential,209,1
Low Density Residential,210,1
Low Density Residential,211,1
Low Density Residential,212,1
Low Density Residential,213,1
Low Density Residential,214,1
Low Density Residential,215,1
Low Density Residential,216,1
Low Density Residential,217,1
Low Density Residential,218,1
Low Density Residential,219,1
Low Density Residential,220,1
Low Density Residential,221,1
Low Density Residential,222,1
Low Density Residential,223,1
Low Density Residential,224,1
High Density Residential,225,2
Low Density Residential,226,1
Low Density Residential,227,1
Low Density Residential,228,1
Low Density Residential,229,1
Low Density Residential,230,1
Low Density Residential,231,1
Low Density Residential,232,1
Low Density Residential,233,1
Low Density Residential,234,1
Low Density Residential,235,1
Low Density Residential,236,1
Low Density Residential,237,1
Low Density Residential,238,1
Low Density Residential,239,1
Low Density Residential,240,1
Low Density Residential,241,1
Low Density Residential,242,1
Low Density Residential,243,1
Low Density Residential,244,1
Low Density Residential,245,1
Low Density Residential,246,1
Low Density Residential,247,1
Low Density Residential,248,1
Low Density Residential,249,1
