id,gnrl_p_,edt_g__,zoning
0,NA,Rail,3
1,NA,Rail,3
2,NA,Rail,3
3,NA,Rail,3
4,NA,Rail,3
5,NA,Rail,3
6,NA,Rail,3
7,NA,Rail,3
8,NA,Rail,3
9,NA,Rail,3
10,NA,Rail,3
11,NA,Rail,3
12,NA,Rail,3
13,NA,Rail,3
14,AG,AG,0
15,AG,AG,0
16,AG,AG,0
17,AG,AG,0
18,AG S,AG S,0
19,AG S,AG S,0
20,BP,BP,0
21,BP,BP,0
22,BP,BP,0
23,BP,BP,0
24,BP,BP,0
25,BP,BP,0
26,BP,BP,0
27,BP,BP,0
28,BP,BP,0
29,BP,BP,0
30,BP,BP,0
31,BP,BP,0
32,BP,BP,0
33,BP,BP,0
34,BP,BP,0
35,BP,BP,0
36,BP,BP,0
37,BP,BP,0
38,BP,BP,0
39,BP,BP_Remove,3
40,BP,BP_Remove,3
41,BP,BP,0
9993,BP,BP_Remove,3
43,BP,BP,0
44,BP,BP,0
45,BP,BP,0
46,BP,BP,0
47,BP,BP,0
48,BP,BP,0
49,BP,BP,0
50,BP,BP,0
51,BP,BP,0
52,BP,BP,0
53,BP,BP,0
54,BP,BP,0
55,BP,BP,0
56,CC,CC,0
57,CC,CC,0
58,CC,CC,0
59,CC,CC,0
60,CC,CC,0
61,CC,CC,0
62,CC,CC,0
63,CC,CC,0
64,CC,CC,0
65,CC,CC,0
66,CC,CC,0
67,CC,CC,0
68,CC,CC,0
69,CC,CC,0
70,CC,CC,0
71,CC,CC,0
9984,CO PARK,CO PARK_Remove,3
73,ED,ED,0
74,ED,ED,0
75,ED,ED,0
76,ED,ED,0
77,ED,ED,0
78,ED,ED,0
79,ED,ED,0
80,ED,ED,0
81,ED,ED,0
82,ED,ED,0
83,ED,ED,0
84,ED,ED,0
85,ED,ED,0
86,ED,ED,0
87,ED,ED,0
88,ED,ED,0
89,ED,ED,0
90,ED,ED,0
91,ED,ED,0
92,ED,ED,0
93,ED,ED,0
94,ED,ED,0
95,ED,ED,0
96,ED,ED,0
97,ED,ED_Remove,3
98,FW,FW_Remove,3
99,FW,FW_Remove,3
100,FW,FW,3
101,FW,FW,3
102,FW,FW,3
103,FW,FW,3
104,FW,FW,3
105,FW,FW,3
106,FW,FW,3
107,FW,FW,3
108,FW,FW,3
109,FW,FW,3
110,FW,FW,3
111,FW,FW,3
112,FW,FW,3
113,FW,FW,3
114,FW,FW,3
115,FW,FW,3
116,FW,FW,3
117,FW,FW,3
118,FW,FW,3
119,FW,FW,3
120,FW,FW,3
121,FW,FW,3
122,FW,FW,3
123,FW,FW,3
124,FW,FW,3
125,FW,FW,3
126,FW,FW,3
127,FW,FW,3
128,FW,FW,3
129,FW,FW,3
130,FW,FW,3
131,FW,FW,3
132,FW,FW,3
133,FW,FW,3
134,FW,FW,3
135,FW,FW,3
136,FW,FW,3
137,FW,FW,3
138,FW,FW,3
139,FW,FW,3
140,FW,FW,3
141,I,I_Remove,3
142,I,I_Remove,3
143,I,I_Remove,3
144,I,I,3
145,I,I,3
146,I,I,3
147,I,I,3
148,I,I,3
149,I,I,3
150,I,I,3
151,I,I,3
152,I,I,3
153,I,I,3
154,I,I,3
155,I,I,3
156,I,I,3
157,I,I,3
158,I,I,3
159,I,I,3
160,I,I,3
161,I,I,3
162,I,I,3
163,I,I,3
164,I,I,3
165,I,I,3
166,MH,MH,2
167,MH,MH,2
168,MH,MH,2
169,MH,MH,2
170,MH,MH,2
171,MH,MH,2
172,MH,MH,2
9995,MU,MU,0
174,MU,MU,0
175,MU,MU,0
176,MU,MU,0
177,MU,MU,0
178,MU,MU,0
179,MU,MU,0
180,MU,MU,0
181,MU,MU,0
182,MU,MU,0
183,MU,MU,0
184,MU,MU,0
185,MU,MU,0
186,MU,MU,0
187,MU,MU,0
188,MU,MU,0
189,MU,MU_Remove,3
190,MU,MU,0
191,MU,MU,0
192,MU,MU,0
193,MU,MU,0
194,MU,MU,0
195,MU,MU,0
196,MU,MU,0
197,MU,MU_MF,2
198,MU,MU,0
199,MU,MU,0
200,MU,MU,0
201,MU,MU,0
202,MU,MU,0
203,MU,MU,0
204,MU,MU,0
205,MU,MU,0
206,MU,MU,0
207,MU,MU_MF,2
208,MU,MU,0
209,MU,MU,0
210,MU,MU,0
211,MU,MU,0
212,MU,MU,0
213,MU,MU,0
214,MU,MU,0
215,MU,MU,0
216,MU,MU,0
217,MU,MU,0
218,MU,MU,0
219,MU,MU,0
220,MU,MU,0
221,MU,MU,0
222,MU,MU,0
223,MU,MU,0
224,MU,MU,0
225,MU,MU,0
226,MU,MU,0
227,MU,MU,0
228,MU,MU,0
229,MU,MU,0
230,MU,MU,0
231,MU,MU,0
232,MU,MU,0
233,MU,MU,0
234,MU,MU,0
235,MU,MU_MF,2
236,MU,MU,0
237,MU,MU_MF,2
238,MU,MU,0
239,MU,MU_MF,2
240,MU,MU,0
241,MU,MU,0
242,MU,MU_MF,2
243,MU,MU,0
244,MU,MU,0
245,MU,MU,0
246,MU,MU,0
247,MU,MU,0
248,MU,MU_MF,2
249,MU,MU_MF,2
250,MU,MU,0
251,MU,MU,0
252,MU,MU,0
253,MU,MU,0
254,MU,MU,0
255,MU,MU,0
256,MU,MU,0
257,MU,MU,0
258,MU,MU,0
259,MU,MU,0
260,MU,MU,0
261,MU,MU,0
262,MU,MU,0
263,MU,MU,0
264,MU,MU,0
265,MU,MU,0
266,MU,MU,0
267,MU,MU,0
268,MU,MU,0
269,MU,MU,0
270,MU,MU,0
271,MU,MU,0
272,MU,MU,0
273,MU,MU,0
274,MU,MU,0
275,MU,MU,0
276,MU,MU_MF,2
277,MU,MU,0
278,MU,MU,0
279,MU,MU,0
280,MU,MU,0
281,MU,MU,0
282,MU,MU,0
283,MU,MU,0
284,MU,MU,0
285,MU,MU,0
286,MU,MU,0
287,MU,MU,0
288,MU,MU,0
289,MU,MU,0
290,MU,MU,0
291,MU,MU_MF,2
292,MU,MU,0
293,MU,MU,0
294,MU,MU,0
295,MU,MU,0
296,MU,MU,0
297,MU,MU,0
298,MU,MU,0
299,MU,MU,0
300,MU,MU,0
301,MU,MU,0
302,MU,MU,0
303,MU,MU,0
304,MU,MU,0
305,MU,MU,0
306,MU,MU,0
307,MU,MU,0
308,MU,MU,0
309,MU,MU,0
310,MU,MU,0
311,MU,MU,0
312,MU,MU,0
313,MU,MU,0
314,MU,MU,0
315,MU,MU,0
316,MU,MU,0
317,MU,MU,0
318,MU,MU,0
319,MU,MU,0
320,MU,MU_MF,2
321,MU,MU,0
322,MU,MU,0
323,MU,MU,0
324,MU,MU,0
325,MU,MU,0
326,MU,MU,0
327,MU,MU,0
328,MU,MU,0
329,MU,MU,0
330,MU,MU,0
331,MU,MU,0
332,MU,MU,0
333,MU,MU,0
334,MU,MU,0
335,MU,MU,0
336,MU,MU,0
337,MU,MU,0
338,MU,MU,0
339,MU,MU,0
340,MU,MU,0
341,MU,MU,0
342,MU,MU,0
343,MU,MU,0
344,MU,MU,0
345,MU,MU,0
346,MU,MU,0
347,MU,MU,0
348,MU,MU,0
349,MU,MU,0
350,MU,MU,0
351,MU,MU,0
352,MU,MU,0
353,MU,MU,0
354,MU,MU,0
355,MU,MU,0
356,MU,MU,0
357,MU,MU,0
358,MU,MU,0
359,MU,MU,0
360,MU,MU,0
361,MU,MU,0
362,MU,MU,0
363,MU,MU,0
364,MU,MU,0
365,MU,MU,0
366,MU,MU,0
367,MU,MU,0
368,MU,MU,0
369,MU,MU,0
370,MU,MU,0
371,MU,MU,0
372,MU,MU,0
373,MU,MU,0
374,MU,MU,0
375,MU,MU,0
376,MU,MU,0
377,MU,MU,0
378,MU,MU,0
379,MU,MU,0
380,MU,MU,0
381,MU,MU,0
382,MU,MU,0
383,MU,MU,0
384,MU,MU,0
385,MU,MU,0
386,MU,MU,0
387,MU,MU,0
388,MU,MU,0
389,MU,MU,0
390,MU,MU,0
391,MU,MU,0
392,MU,MU,0
393,MU,MU,0
394,MU,MU_MF,2
395,MU,MU,0
396,MU,MU,0
397,MU,MU,0
398,MU,MU,0
399,MU,MU_MF,2
400,MU,MU,0
401,MU,MU,0
402,MU,MU,0
403,MU,MU,0
404,MU,MU_Remove,3
405,MU,MU,0
406,MU,MU,0
407,MU,MU,0
408,MU,MU,0
409,MU,MU,0
410,MU,MU_Remove,3
411,MU,MU,0
412,MU,MU,0
413,MU,MU,0
414,MU,MU,0
415,MU,MU,0
416,MU,MU,0
417,MU,MU,0
418,MU,MU,0
419,MU,MU,0
420,MU,MU,0
421,MU,MU,0
422,MU,MU,0
423,MU,MU,0
424,MU,MU,0
425,MU,MU,0
426,MU,MU,0
427,MU,MU,0
428,MU,MU_Remove,3
429,MU,MU_Remove,3
430,MU,MU,0
431,MU,MU,0
432,MU,MU,0
433,MU,MU_Remove,3
434,MU,MU,0
435,NC,NC,0
436,NC,NC,0
437,NC,NC,0
438,NC,NC,0
439,NC,NC,0
440,NC,NC,0
441,NC,NC,0
442,NC,NC,0
443,NC,NC,0
444,NC,NC,0
445,NC,NC,0
446,NC,NC,0
447,NC,NC,0
448,NC,NC_Remove,3
449,NC,NC,0
450,NC,NC,0
451,NC,NC_Remove,3
452,NC,NC,0
453,NC,NC_Remove,3
454,NC,NC_Remove,3
455,NC,NC,0
456,NC,NC,0
457,NC,NC,0
458,NC,NC,0
459,NC,NC,0
460,NC,NC,0
461,OS,OS,0
462,OS,OS,0
463,OS,OS_Remove,3
464,OS,OS,0
465,OS,OS,0
466,OS,OS,0
467,OS,OS,0
468,OS,OS,0
469,OS,OS,0
470,OS,OS,0
471,OS,OS,0
472,OS,OS,0
473,OS,OS,0
474,OS,OS,0
475,OS,OS,0
476,OS,OS,0
477,OS,OS,0
478,OS,OS,0
479,OS,OS,0
480,OS,OS,0
481,OS,OS,0
482,OS,OS,0
483,OS,OS,0
484,OS,OS,0
485,OS,OS,0
486,OS,OS,0
487,OS,OS,0
488,OS,OS,0
489,OS,OS,0
490,OS,OS,0
491,OS,OS,0
492,OS,OS,0
493,OS,OS,0
494,OS,OS,0
495,OS,OS,0
496,OS,OS,0
497,OS,OS,0
498,OS,OS,0
499,OS,OS,0
500,OS,OS,0
501,OS,OS,0
502,OS,OS,0
503,OS,OS,0
504,OS,OS,0
505,OS,OS,0
506,OS,OS,0
507,OS,OS,0
508,OS,OS,0
509,OS,OS,0
510,OS,OS,0
511,OS,OS,0
512,OS,OS,0
513,OS,OS,0
514,OS,OS,0
515,OS,OS,0
516,OS,OS,0
517,OS,OS_Remove,3
518,OS,OS,0
519,OS,OS,0
520,OS,OS,0
521,OS,OS,0
522,OS,OS,0
523,OS,OS,0
524,OS,OS,0
525,OS,OS,0
526,OS,OS,0
527,OS,OS,0
528,OS,OS,0
529,OS,OS,0
530,OS,OS,0
531,OS,OS,0
532,OS,OS,0
533,OS,OS,0
534,OS,OS,0
535,OS,OS,0
536,OS,OS,0
537,OS,OS,0
538,OS,OS,0
539,OS,OS,0
540,OS,OS,0
541,OS,OS,0
542,OS,OS,0
543,OS,OS,0
544,OS,OS,0
545,P S-P,P S-P,0
546,P S-P,P S-P,0
547,P S-P,P S-P,0
548,P S-P,P S-P,0
549,P S-P,P S-P,0
550,P S-P,P S-P,0
551,P S-P,P S-P,0
552,P S-P,P S-P,0
553,P S-P,P S-P,0
554,P S-P,P S-P,0
555,P S-P,P S-P,0
556,P S-P,P S-P,0
557,P S-P,P S-P,0
558,P S-P,P S-P,0
559,P S-P,P S-P,0
560,P S-P,P S-P,0
561,P S-P,P S-P,0
562,P S-P,P S-P,0
563,P S-P,P S-P,0
564,P S-P,P S-P,0
565,P S-P,P S-P,0
566,P S-P,P S-P,0
567,P S-P,P S-P,0
568,P S-P,P S-P,0
569,P S-P,P S-P,0
570,P S-P,P S-P,0
571,P S-P,P S-P,0
572,P S-P,P S-P,0
573,P S-P,P S-P_Remove,3
574,P S-P,P S-P,0
575,P S-P,P S-P,0
576,P S-P,P S-P,0
577,P S-P,P S-P,0
578,P S-P,P S-P,0
579,P S-P,P S-P,0
580,P S-P,P S-P,0
581,P S-P,P S-P,0
582,P S-P,P S-P,0
583,P S-P,P S-P,0
584,P S-P,P S-P,0
585,P S-P,P S-P,0
