gnrl_p_,id,zoning
210 - High Density Residential,0,2
210 - High Density Residential,1,2
210 - High Density Residential,2,2
210 - High Density Residential,3,2
210 - High Density Residential,4,2
210 - High Density Residential,5,2
210 - High Density Residential,6,2
210 - Light Industrial/Service Commercial,7,0
210 - Low Density Residential,8,1
210 - Low Density Residential,9,1
210 - Low Density Residential,10,1
210 - Low Density Residential,11,1
210 - Low Density Residential,12,1
210 - Low Density Residential,13,1
210 - Low Density Residential,14,1
210 - Low Density Residential,15,1
210 - Low Density Residential,16,1
210 - Low Density Residential,17,1
210 - Low Density Residential,18,1
210 - Low Density Residential,19,1
210 - Low Density Residential,20,1
210 - Low Density Residential,21,1
210 - Low Density Residential,22,1
210 - Low Density Residential,23,1
210 - Low Density Residential,24,1
210 - Low Density Residential,25,1
210 - Low Density Residential,26,1
210 - Low Density Residential,27,1
210 - Low Density Residential,28,1
210 - Low Density Residential,29,1
210 - Low Density Residential,30,1
210 - Low Density Residential,31,1
210 - Low Density Residential,32,1
210 - Low Density Residential,33,1
210 - Low Density Residential,34,1
210 - Low Density Residential,35,1
210 - Low Density Residential,36,1
210 - Low Density Residential,37,1
210 - Low Density Residential,38,1
210 - Low Density Residential,39,1
210 - Major Institution/Medical,40,0
210 - Medium Density Residential,41,2
210 - Medium Density Residential,42,2
210 - Medium Density Residential,43,2
210 - Medium Density Residential,44,2
210 - Medium Density Residential,45,2
210 - Medium Density Residential,46,2
210 - Medium Density Residential,47,2
210 - Medium Density Residential,48,2
210 - Medium Density Residential,49,2
210 - Medium Density Residential,50,2
210 - Medium Density Residential,51,2
210 - Medium Density Residential,52,2
210 - Medium Density Residential,53,2
210 - Medium Density Residential,54,2
210 - Medium Density Residential,55,2
210 - Medium Density Residential,56,2
210 - Medium Density Residential,57,2
210 - Medium Density Residential,58,2
210 - Mixed Use - Neighborhood Commercial/High Density Residential,59,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,60,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,61,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,62,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,63,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,64,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,65,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,66,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,67,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,68,1
210 - Mixed Use - Neighborhood Commercial/High Density Residential,69,1
210 - Mixed Use - Neighborhood Commercial/Low Density Residential,70,1
210 - Mixed Use - Neighborhood Commercial/Medium Density Residential,71,0
210 - Mixed Use - Neighborhood Commercial/Medium Density Residential,72,0
210 - Mixed Use - Suburban/Rural Residential and Medium Density Residential,73,0
210 - Neighborhood Commercial,74,0
210 - Neighborhood Commercial,75,0
210 - Neighborhood Commercial,76,0
210 - Neighborhood Commercial,77,0
210 - Neighborhood Commercial,78,0
210 - Neighborhood Commercial,79,0
210 - Neighborhood Commercial,80,0
210 - Neighborhood Commercial,81,0
210 - Neighborhood Commercial,82,0
210 - Neighborhood Commercial,83,0
210 - Neighborhood Commercial,84,0
210 - Neighborhood Commercial,85,0
