gnrl_p_,id,zoning
211 - Business Commercial,0,0
211 - Business Commercial,1,0
211 - Business Commercial,2,0
211 - Business Commercial,3,0
211 - Business Commercial,4,0
211 - Business Commercial,5,0
211 - Business Commercial,6,0
211 - Business Commercial,7,0
211 - Business Commercial,8,0
211 - Business Commercial,9,0
211 - Business Commercial,10,0
211 - Business Commercial,11,0
211 - Business Commercial,12,0
211 - Business Commercial,13,0
211 - Business Commercial,14,0
211 - Business Commercial,15,0
211 - Business Commercial,16,0
211 - Business Commercial,17,0
211 - Business Commercial,18,0
211 - Business Commercial,19,0
211 - Business Commercial,20,0
211 - Business Commercial,21,0
211 - Business Commercial,22,0
211 - Business Commercial,23,0
211 - Business Commercial,24,0
211 - Business Commercial,25,0
211 - Business Commercial,26,0
211 - Business Commercial,27,0
211 - Business Commercial,28,0
211 - Business Commercial,29,0
211 - Business Commercial,30,0
211 - Business Commercial,31,0
211 - Business Commercial,32,0
211 - Business Commercial,33,0
211 - Community Commercial,34,0
211 - Community Commercial,35,0
211 - Community Commercial,36,0
211 - Community Commercial,37,0
211 - Community Commercial,38,0
211 - Community Commercial,39,0
211 - Community Commercial,40,0
211 - Community Commercial,41,0
211 - Community Commercial,42,0
211 - Community Commercial,43,0
211 - Community Commercial,44,0
211 - Community Commercial,45,0
211 - Community Commercial,46,0
211 - Community Commercial,47,0
211 - Community Commercial,48,0
211 - Community Commercial,49,0
211 - Community Commercial,50,0
211 - Community Commercial,51,0
211 - Community Commercial,52,0
211 - Community Commercial,53,0
211 - Community Commercial,54,0
211 - Community Commercial,55,0
211 - Community Commercial,56,0
211 - Community Commercial,57,0
211 - Community Commercial,58,0
211 - Community Commercial,59,0
211 - Community Commercial,60,0
211 - Community Commercial,61,0
211 - Community Commercial,62,0
211 - Community Commercial,63,0
211 - Community Commercial,64,0
211 - Community Commercial,65,0
211 - Community Commercial,66,0
211 - Community Commercial,67,0
211 - Community Commercial,68,0
211 - Community Commercial,69,0
211 - Community Commercial,70,0
211 - Community Commercial,71,0
211 - Community Commercial,72,0
211 - Community Commercial,73,0
211 - Downtown Commercial,74,0
211 - Downtown Commercial,75,0
211 - Downtown Commercial,76,0
211 - Downtown Commercial,77,0
211 - Downtown Commercial,78,0
211 - Downtown Commercial,79,0
211 - Downtown Commercial,80,0
211 - Downtown Commercial,81,0
211 - Downtown Commercial,82,0
211 - Downtown Commercial,83,0
211 - Downtown Commercial,84,0
211 - Downtown Commercial,85,0
211 - Downtown Commercial,86,0
211 - Downtown Commercial,87,0
211 - Downtown Commercial,88,0
211 - Downtown Commercial,89,0
211 - Downtown Commercial,90,0
211 - Downtown Commercial,91,0
211 - Downtown Commercial,92,0
211 - Downtown Commercial,93,0
211 - Downtown Commercial,94,0
211 - Downtown Commercial,95,0
211 - Downtown Commercial,96,0
211 - Downtown Commercial,97,0
211 - Downtown Commercial,98,0
211 - Downtown Commercial,99,0
211 - Downtown Commercial,100,0
211 - Downtown Commercial,101,0
