gnrl_p_,id,zoning
212 - Commercial and Retail,0,0
212 - Commercial and Retail,1,0
212 - Commercial and Retail,2,0
212 - Commercial and Retail,3,0
212 - Commercial and Retail,4,0
212 - Commercial and Retail,5,0
212 - Commercial and Retail,6,0
212 - Commercial and Retail,7,0
212 - Commercial and Retail,8,0
212 - Commercial and Retail,9,0
212 - Commercial and Retail,10,0
212 - Commercial and Retail,11,0
212 - Commercial and Retail,12,0
212 - Commercial and Retail,13,0
212 - Commercial and Retail,14,0
212 - Light Industrial,15,0
212 - Mixed Use,16,0
212 - Mixed Use,17,0
212 - Multifamily High Density,18,2
212 - Multifamily High Density,19,2
212 - Multifamily High Density,20,2
212 - Multifamily High Density,21,2
212 - Multifamily Low Density,22,2
212 - Multifamily Low Density,23,2
212 - Multifamily Low Density,24,2
212 - Multifamily Low Density,25,2
212 - Multifamily Low Density,26,2
212 - Multifamily Low Density,27,2
212 - Multifamily Low Density,28,2
212 - Multifamily Low Density,29,2
212 - Multifamily Low Density,30,2
212 - Multifamily Low Density,31,2
212 - Multifamily Low Density,32,2
212 - Multifamily Low Density,33,2
212 - Multifamily Low Density,34,2
212 - Multifamily Low Density,35,2
212 - Multifamily Medium Density,36,2
212 - Multifamily Medium Density,37,2
212 - Multifamily Medium Density,38,2
212 - Multifamily Medium Density,39,2
212 - Multifamily Medium Density,40,2
212 - Multifamily Medium Density,41,2
212 - Multifamily Medium Density,42,2
212 - Multifamily Medium Density,43,2
212 - Office,44,0
212 - Office,45,0
212 - Office,46,0
212 - Office,47,0
212 - Office,48,0
212 - Office,49,0
212 - Office,50,0
212 - Office,51,0
212 - Office,52,0
212 - Office,53,0
212 - Office,54,0
212 - Office,55,0
212 - Office,56,0
212 - Office,57,0
212 - Office,58,0
212 - Office,59,0
212 - Office,60,0
212 - Office,61,0
212 - Open Space,62,0
212 - Open Space,63,0
212 - Open Space,64,0
212 - Open Space,65,0
212 - Open Space,66,0
212 - Open Space,67,0
212 - Open Space,68,0
212 - Open Space,69,0
212 - Open Space,70,0
212 - Open Space,71,0
212 - Open Space,72,0
212 - Open Space,73,0
212 - Park,74,0
212 - Park,75,0
212 - Park,76,0
212 - Park,77,0
212 - Park,78,0
212 - Park,79,0
212 - Park,80,0
212 - Park,81,0
212 - Park,82,0
212 - Park,83,0
212 - Park,84,0
212 - Park,85,0
212 - Park,86,0
212 - Park,87,0
212 - Park,88,0
212 - Park,89,0
212 - Park,90,0
212 - Park,91,0
212 - School,92,0
212 - School,93,0
212 - School,94,0
212 - School,95,0
212 - School,96,0
212 - School,97,0
212 - School,98,0
212 - School,99,0
212 - Semi-public and Institutional,100,0
212 - Semi-public and Institutional,101,0
212 - Semi-public and Institutional,102,0
212 - Semi-public and Institutional,103,0
212 - Semi-public and Institutional,104,0
212 - Semi-public and Institutional,105,0
212 - Semi-public and Institutional,106,0
212 - Semi-public and Institutional,107,0
212 - Semi-public and Institutional,108,0
212 - Semi-public and Institutional,109,0
212 - Semi-public and Institutional,110,0
212 - Semi-public and Institutional,111,0
212 - Semi-public and Institutional,112,0
212 - Semi-public and Institutional,113,0
212 - Semi-public and Institutional,114,0
212 - Semi-public and Institutional,115,0
212 - Semi-public and Institutional,116,0
212 - Semi-public and Institutional,117,0
212 - Semi-public and Institutional,118,0
212 - Semi-public and Institutional,120,0
212 - Semi-public and Institutional,121,0
212 - Semi-public and Institutional,122,0
212 - Semi-public and Institutional,123,0
212 - Semi-public and Institutional,124,0
212 - Semi-public and Institutional,125,0
212 - Single Family High Density,126,1
212 - Single Family High Density,127,1
212 - Single Family High Density,128,1
212 - Single Family High Density,129,1
212 - Single Family High Density,130,1
212 - Single Family High Density,131,1
212 - Single Family High Density,132,1
212 - Single Family High Density,133,1
212 - Single Family High Density,134,1
212 - Single Family High Density,135,1
212 - Single Family High Density,136,1
212 - Single Family High Density,137,1
212 - Single Family High Density,138,1
212 - Single Family High Density,139,1
212 - Single Family High Density,140,1
212 - Single Family High Density,141,1
212 - Single Family High Density,142,1
212 - Single Family Low Density,143,1
212 - Single Family Low Density,144,1
212 - Single Family Low Density,145,1
212 - Single Family Low Density,146,1
212 - Single Family Low Density,147,1
212 - Single Family Low Density,148,1
212 - Single Family Low Density,149,1
212 - Single Family Low Density,150,1
212 - Single Family Low Density,151,1
212 - Single Family Low Density,152,1
212 - Single Family Low Density,153,1
212 - Single Family Medium Density,154,1
212 - Single Family Medium Density,155,1
212 - Single Family Medium Density,156,1
212 - Single Family Medium Density,157,1
212 - Single Family Medium Density,158,1
212 - Single Family Medium Density,159,1
212 - Single Family Medium Density,160,1
212 - Single Family Medium Density,161,1
212 - Single Family Medium Density,162,1
212 - Single Family Medium Density,163,1
212 - Single Family Medium Density,164,1
212 - Single Family Medium Density,165,1
