DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
A,Agriculture,1190.7211232,82222.4084808,Agriculture,1,Agriculture,1,0
A,Agriculture,534.248908594,11088.641348,Agriculture,2,Agriculture,1,0
HPD,Hillside Planned Development,7194.2584711,2152705.01153,Hillside Planned Development,3,Hillside Planned Development,3,1
P,Public & Institutional,20171.261723,9523131.70871,Public & Institutional,4,Public & Institutional,4,0
PUD-A/OS/LDR,Agriculture/Open Space/Low Density Residential-PUD,34767.5745857,50643786.3471,Agriculture/Open Space/Low Density Residential-PUD_SingleFam,5,Agriculture/Open Space/Low Density Residential-PUD_SingleFam,993,1
PUD-C,Commercial-PUD,555.153394543,19796.016631900002,Commercial-PUD,6,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1433.24549254,102177.339109,Commercial-PUD,7,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1945.15788465,174996.166391,Commercial-PUD,8,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1161.78961948,87096.3136898,Commercial-PUD,9,Commercial-PUD,6,0
PUD-C-N,Commercial Neighborhood-PUD,2408.05708842,220938.692799,Commercial Neighborhood-PUD,10,Commercial Neighborhood-PUD,10,0
PUD-C-O,Planned Unit Development - Commercial-Office,1849.72891222,169643.985851,Planned Unit Development - Commercial-Office,11,Planned Unit Development - Commercial-Office,11,0
PUD-O/HDR,Office/High Density Residential-PUD,2150.34153609,141623.945617,Office/High Density Residential-PUD_NonRes,12,Office/High Density Residential-PUD_NonRes,987,0
PUD-ELEMENTARY SCHOOL,Elementary School-PUD,3060.5545105,499170.339007,Elementary School-PUD,13,Elementary School-PUD,13,0
PUD-HDR,Planned Unit Development - High Density Residential,2273.4230369,201928.216282,Planned Unit Development - High Density Residential,14,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1699.41318305,112128.546437,Planned Unit Development - High Density Residential,15,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1373.06460019,111681.068642,Planned Unit Development - High Density Residential,16,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3495.49635574,647856.836139,Planned Unit Development - High Density Residential,17,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1627.28277774,109646.673836,Planned Unit Development - High Density Residential,18,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,5164.22826771,1152140.25898,Planned Unit Development - High Density Residential,19,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,6663.235147,2299750.3975,Planned Unit Development - High Density Residential,20,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1539.96508113,128999.297314,Planned Unit Development - High Density Residential,21,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,559.969889483,11969.5492647,Planned Unit Development - High Density Residential,22,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,824.842625257,42320.1554061,Planned Unit Development - High Density Residential,23,Planned Unit Development - High Density Residential,14,2
PUD-HDR-MDR,High Density Residential & Medium Density Residential-PUD,5493.32450026,752200.696057,High Density Residential & Medium Density_SingleFamily,24,High Density Residential & Medium Density_SingleFamily,24,1
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,6634.22288312,900262.766564,Planned Unit Development - Industrial/Commercial-Offices,25,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,7381.04376895,2612114.00454,Planned Unit Development - Industrial/Commercial-Offices,26,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,5942.31236489,1430037.21219,Planned Unit Development - Industrial/Commercial-Offices,27,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-LDR,Low Density Residential,2863.37267918,405463.507907,Low Density Residential,28,Low Density Residential,29,1
PUD-LDR,Low Density Residential,12287.707052,6531514.59339,Low Density Residential,29,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1959.12955259,205704.143408,Low Density Residential,30,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1453.6255371,124759.946168,Low Density Residential,31,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1310.69664397,81053.7228525,Low Density Residential,32,Low Density Residential,29,1
PUD-LDR,Low Density Residential,3798.08185485,879202.050895,Low Density Residential,33,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1558.19487547,83787.1043855,Low Density Residential,34,Low Density Residential,29,1
PUD-LDR,Low Density Residential,5793.83472665,1834017.74252,Low Density Residential,35,Low Density Residential,29,1
PUD-LDR/C/PHS/WO,Low Density Residential/Commercial/Public Health & Safety/Wildlands Overlay-PUD,9430.07850837,2672639.22352,Low Density Residential/Commercial_NonRes,36,Low Density Residential/Commercial_NonRes,37,0
PUD-LDR/MDR,Low Density Residential/Medium Density Residential-PUD,5067.73234052,1020397.28192,Low Density Residential/Medium Density Residential_SingleFam,37,Low Density Residential/Medium Density Residential_SingleFam,662,1
PUD-LDR/RDR/PHS,Low Density Residential/Rural Density Residential/Public Health & Safety-PUD,1310.40132097,86804.8006884,Low Density Residential/Rural Density Residential_SingleFam,38,Low Density Residential/Rural Density Residential_SingleFam,39,1
PUD-MDR,Planned Unit Development - Medium Density Residential,6065.70168035,1925342.95969,Planned Unit Development - Medium Density Residential,39,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1647.98010981,80535.1210102,Planned Unit Development - Medium Density Residential,40,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2027.42975765,224399.66926,Planned Unit Development - Medium Density Residential,41,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,941.665568253,51419.4779966,Planned Unit Development - Medium Density Residential,42,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2886.73708684,405599.33934,Planned Unit Development - Medium Density Residential,43,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,771.348318035,36447.8411639,Planned Unit Development - Medium Density Residential,44,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,894.265591024,49934.4804074,Planned Unit Development - Medium Density Residential,45,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2569.30829475,400587.701222,Planned Unit Development - Medium Density Residential,46,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2883.48493007,546727.034674,Planned Unit Development - Medium Density Residential,47,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR/OS,Medium Density Residential/Open Space-PUD,2305.77656534,313218.319934,Medium Density Residential/Open Space-PUD_SingleFam,48,Medium Density Residential/Open Space-PUD_SingleFam,49,1
PUD-O/C-C,Commercial Office / Commercial Central-PUD,3323.12079864,362880.744259,Commercial Office / Commercial Central-PUD,49,Commercial Office / Commercial Central-PUD,50,0
PUD-P,Public & Institutional-PUD,4568.75811528,1209666.71099,Public & Institutional-PUD,50,Public & Institutional-PUD,51,0
PUD-P,Public & Institutional-PUD,4509.13688504,229586.345495,Public & Institutional-PUD,51,Public & Institutional-PUD,51,0
PUD-RM-25,Multiple Family Residential-PUD,2563.27142294,369459.93595,Multiple Family Residential-PUD,52,Multiple Family Residential-PUD,53,2
PUD-SRR,Semi-Rural Residential-PUD,3379.72256602,686619.081285,Semi-Rural Residential-PUD,53,Semi-Rural Residential-PUD,54,1
R-1-75,Single Family Residential,11789.12889,2592893.20804,Single Family Residential,54,Single Family Residential,55,1
R-1-85,Single Family Residential,613.143984487,17940.3883268,Single Family Residential,55,Single Family Residential,55,1
