general_pl,id,Zoning
613 - Conservation Residential,0,1
613 - Conservation Residential,1,1
613 - Institutions,2,NA
613 - Institutions,3,NA
613 - Institutions,4,NA
613 - Institutions,5,NA
613 - Institutions,6,NA
613 - Institutions,7,NA
613 - Local Shopping & Service,8,NA
613 - Local Shopping & Service,9,NA
613 - Local Shopping & Service,10,NA
613 - Low Intensity Academic Reserve,11,NA
613 - Neighborhood Community,12,NA
613 - Open Residential,13,1
613 - Open Residential,14,1
613 - Open Residential,15,1
613 - Open Residential,16,1
613 - Open Residential,17,1
613 - Open Space-Limited Development,18,NA
613 - Open Space-Limited Development,19,NA
613 - Open Space-Limited Development,20,NA
613 - Open Space-Limited Development,21,NA
613 - Open Space-Limited Development,22,NA
613 - Open Space-Limited Development,23,NA
613 - Open Space-Limited Development,24,NA
613 - Open Space-Limited Development,25,NA
613 - Open Space-Limited Development,26,NA
613 - Open Space-Limited Development,27,NA
613 - Open Space Preserve,28,NA
613 - Open Space Preserve,29,NA
613 - Open Space Preserve,30,NA
613 - Open Space Preserve,31,NA
"613 - Parks, Recreation Areas and Open Spaces",32,NA
"613 - Parks, Recreation Areas and Open Spaces",33,NA
613 - Parkway & Greenway,34,NA
613 - Parkway & Greenway,35,NA
613 - Parkway & Greenway,36,NA
613 - Parkway & Greenway,37,NA
613 - Parkway & Greenway,38,NA
613 - PUD: The Sequoias,39,NA
613 - Regional Park/Private Regional Facility,40,NA
613 - Regional Park/Private Regional Facility,41,NA
613 - Residential Low,42,1
613 - Residential Low,43,1
613 - Residential Low,44,1
613 - Residential Low,45,1
613 - Residential Low,46,1
613 - Residential Low,47,1
613 - Residential Low/Medium,48,1
613 - Residential Low/Medium,49,1
613 - Residential Low/Medium,50,1
613 - Residential Low/Medium,51,1
613 - Residential Low/Medium,52,1
613 - Residential Low/Medium,53,1
