id,general_pl,Zoning
0,CA,NA
1,CA,NA
2,CA,NA
3,CA,NA
4,CA,NA
5,CA,NA
6,CA,NA
7,CA,NA
8,CA,NA
9,CA,NA
10,CA,NA
11,CA,NA
12,CA,NA
13,CA,NA
14,CA,NA
15,CB,NA
16,CB,NA
17,CB,NA
18,CB,NA
19,CB,NA
20,CB,NA
21,CB,NA
22,CB,NA
23,CB,NA
24,CB,NA
25,CB,NA
26,CB,NA
27,CB,NA
28,CB,NA
29,CB,NA
30,CB,NA
31,CB,NA
32,CB,NA
33,CB,NA
34,CB,NA
35,CB,NA
36,CBR,NA
37,CBR,NA
38,CBR,NA
39,CBR,NA
40,CBR,NA
41,CBR,NA
42,CBR,NA
43,CBR,NA
44,CBR,NA
45,CBR,NA
46,CBR,NA
47,CBR,NA
48,CBR,NA
49,CBR,NA
50,CBR,NA
51,CBR,NA
52,CBR,NA
53,CBR,NA
54,CBR,NA
55,CBR,NA
56,CBR,NA
57,CBR,NA
58,CBR,NA
59,CBR,NA
60,CBR,NA
61,CBR,NA
62,CBR,NA
63,CG,NA
64,CG,NA
65,CG,NA
66,CG,NA
67,CG,NA
68,CG,NA
69,CG,NA
70,CG,NA
71,CG,NA
72,CG,NA
73,CG,NA
74,CG,NA
75,CG,NA
76,CG,NA
77,CG,NA
78,CG,NA
79,CG,NA
80,CG,NA
81,CG,NA
82,CG,NA
83,CG,NA
84,CG,NA
85,CG,NA
86,CG,NA
87,CG,NA
88,CG,NA
89,CG,NA
90,CG,NA
91,CG,NA
92,CG,NA
93,CG,NA
94,CG,NA
95,CG,NA
96,CG,NA
97,CG,NA
98,CG,NA
99,CG,NA
100,CG,NA
101,CG,NA
102,CG,NA
103,CG,NA
104,CG,NA
105,CG,NA
106,CG,NA
107,CG,NA
108,CG,NA
109,CG,NA
110,CG-R,NA
111,CG-R,NA
112,CG-R,NA
113,CG-R,NA
114,CG-R,NA
115,CG-R,NA
116,CG-R,NA
117,CG-R,NA
118,CG-R,NA
119,CG-R,NA
120,CG-R,NA
121,CG-R,NA
122,CG-R,NA
123,CG-R,NA
124,CG-R,NA
125,CG-R,NA
126,CG-R,NA
127,CG-R,NA
128,CG-R,NA
129,CG-R,NA
130,CG-R,NA
131,CG-R,NA
132,CG-R,NA
133,CG-R,NA
134,CG-R,NA
135,CG-R,NA
136,CG-R,NA
137,CG-R,NA
138,CG-R,NA
139,CG-R,NA
140,CG-R,NA
141,CG-R,NA
142,CG-R,NA
143,CG-R,NA
144,CG-R,NA
145,CG-R,NA
146,CG-R,NA
147,CG-R,NA
148,CG-R,NA
149,CG-R,NA
150,CG-R,NA
151,CG-R,NA
152,CG-R,NA
153,CG-R,NA
154,CG-R,NA
155,CG-R,NA
156,CG-R,NA
157,CN,NA
158,CN,NA
159,CN,NA
160,CN,NA
161,CN,NA
162,CN,NA
163,CN,NA
164,CN,NA
165,CN,NA
166,CN,NA
167,CN,NA
168,CN,NA
169,CN,NA
170,CN,NA
171,CN,NA
172,CN,NA
173,CN,NA
174,CN,NA
175,CN,NA
176,CN,NA
177,CN,NA
178,CN,NA
179,CN,NA
180,CN,NA
181,CN,NA
182,CN,NA
183,CN,NA
184,CN,NA
185,CN,NA
186,CN,NA
187,CN,NA
188,CN,NA
189,CN,NA
190,CN,NA
191,CN,NA
192,CP,NA
193,CP,NA
194,CP,NA
195,CP,NA
196,CP,NA
197,CP,NA
198,CP,NA
199,CP,NA
200,CP,NA
201,CP,NA
202,CP,NA
203,CP,NA
204,CP,NA
205,CP,NA
206,CP,NA
207,CP,NA
208,CP,NA
209,CP,NA
210,CP,NA
211,GI,NA
212,GI,NA
213,GI,NA
214,GI,NA
215,GI,NA
216,GI,NA
217,HH,NA
218,HH,NA
219,HH,NA
220,HH,NA
221,HH,NA
222,HH,NA
223,HH,NA
224,HH,NA
225,HH,NA
226,HH,NA
227,HH,NA
228,HH,NA
229,HH,NA
230,HH,NA
231,HH,NA
232,HH,NA
233,HH,NA
234,HH,NA
235,HH,NA
236,HH,NA
237,HH,NA
238,HH,NA
239,HH,NA
240,HH,NA
241,HH,NA
242,HH,NA
243,HH,NA
244,HH,NA
245,IP,NA
246,IP,NA
247,IP,NA
248,IP,NA
249,IP,NA
250,IP,NA
251,IP,NA
252,IP,NA
253,IP,NA
254,IP,NA
255,IP,NA
256,IP,NA
257,IP,NA
258,IP,NA
259,IP,NA
260,IP,NA
261,IP,NA
262,IP,NA
263,IP,NA
264,IP,NA
265,IP,NA
266,IP,NA
267,IP,NA
268,IP,NA
269,IP,NA
270,IP-10,NA
271,IP-10,NA
272,IP-T,NA
273,IP-T,NA
274,IP-T,NA
275,IP-V,NA
276,IP-V,NA
277,IP-V,NA
278,IR,NA
279,IR,NA
280,IR,NA
281,IR,NA
282,IR,NA
283,IR,NA
284,IR,NA
285,IR,NA
286,IR,NA
287,IR,NA
288,IR,NA
289,IR,NA
290,IR,NA
291,IR,NA
292,IR,NA
293,IR,NA
294,IR,NA
295,IR,NA
296,IR,NA
297,IR,NA
298,IR,NA
299,IR,NA
300,IR,NA
301,IR,NA
302,IR,NA
303,IR,NA
304,IR,NA
305,IR,NA
306,IR,NA
307,IR,NA
308,IR,NA
309,IR,NA
310,IR,NA
311,IR,NA
312,IR,NA
313,IR,NA
314,IR,NA
315,IR,NA
316,IR,NA
317,IR,NA
318,IR,NA
319,IR,NA
320,IR,NA
321,IR,NA
322,IR,NA
323,IR,NA
324,IR,NA
325,IR,NA
326,IR,NA
327,IR,NA
328,IR,NA
329,IR,NA
330,IR,NA
331,IR,NA
332,IR,NA
333,IR,NA
334,IR,NA
335,IR,NA
336,IR,NA
337,IR,NA
338,IR,NA
339,IR,NA
340,IR,NA
341,IR,NA
342,IR,NA
343,IR,NA
344,IR,NA
345,IR,NA
346,IR,NA
347,IR,NA
348,IR,NA
349,IR,NA
350,IR,NA
351,IR,NA
352,IR,NA
353,IR,NA
354,IR-T,NA
355,IR-T,NA
356,IR-T,NA
357,IR-Y,NA
358,IR-Y,NA
359,MH,NA
360,MH,NA
361,P,NA
362,P,NA
363,P,NA
364,P,NA
365,P,NA
366,P,NA
367,P,NA
368,P,NA
369,P,NA
370,P,NA
371,P,NA
372,P,NA
373,P,NA
374,P,NA
375,PF,NA
376,PF,NA
377,PF,NA
378,PF,NA
379,PF,NA
380,PF,NA
381,PF,NA
382,PF,NA
