general_pl,id,Zoning
City Center,0,NA
GCom,1,NA
GCom,2,NA
GCom,3,NA
GCom,4,NA
GCom,5,NA
GCom,6,NA
GCom,7,NA
GCom,8,NA
GCom,9,NA
GCom,10,NA
GCom,11,NA
GCom,12,NA
GCom,13,NA
GCom,14,NA
GCom,15,NA
GCom,16,NA
GCom,17,NA
GCom,18,NA
GCom,19,NA
GCom,20,NA
GCom-IndL,21,NA
GCom-IndL-Marine,22,NA
GCom-IndO,23,NA
GCom-IndO,24,NA
GCom-IndO,25,NA
GCom-ResM,26,NA
GCom-ResM,27,NA
IndH,28,NA
IndH,29,NA
IndH,30,NA
IndH,31,NA
IndH,32,NA
IndH,33,NA
IndH,34,NA
IndH,35,NA
IndH,36,NA
IndH,37,NA
IndL,38,NA
IndL,39,NA
IndL,40,NA
IndL,41,NA
IndL,42,NA
IndL,43,NA
IndL,44,NA
IndL,45,NA
IndL,46,NA
IndL,47,NA
IndL,48,NA
IndL,49,NA
IndL,50,NA
IndL,51,NA
IndL,52,NA
IndL,53,NA
IndL,54,NA
IndL,55,NA
IndL,56,NA
IndL,57,NA
IndO,58,NA
IndO,59,NA
IndO,60,NA
IndO,61,NA
IndO,62,NA
IndO,63,NA
IndO,64,NA
IndO,65,NA
IndO,66,NA
IndO,67,NA
IndO,68,NA
IndO-IndL,69,NA
IndO-IndL-GCom-WCom,70,NA
IndO-IndL-Marine,71,NA
IndO-RCom,72,NA
Marine,73,NA
Marine,74,NA
Marine,75,NA
Marine,76,NA
Marine,77,NA
Marine,78,NA
Marine,79,NA
Marine,80,NA
Marine,81,NA
NCom,82,NA
NCom,83,NA
NCom,84,NA
NCom,85,NA
NCom,86,NA
NCom,87,NA
NCom,88,NA
NCom,89,NA
NCom,90,NA
NCom,91,NA
NCom,92,NA
NCom,93,NA
NCom,94,NA
NCom,95,NA
NCom,96,NA
NCom,97,NA
NCom,98,NA
NCom-IndO,99,NA
OS,100,NA
OS,101,3
OS,102,NA
OS,103,3
Pub,104,NA
Pub,105,NA
Pub,106,NA
Pub,107,NA
Pub,108,NA
Pub,109,NA
Pub,110,NA
Pub,111,NA
Pub,112,NA
Pub,113,NA
Pub,114,NA
Pub,115,NA
Pub,116,NA
Pub,117,NA
Pub,118,NA
Pub,119,NA
Pub,120,NA
Pub,121,NA
Pub,122,NA
Pub,123,NA
Pub,124,NA
Pub,125,NA
Pub,126,NA
Pub,127,NA
Pub,128,NA
Pub,129,NA
Pub,130,NA
Pub,131,NA
Pub,132,NA
Pub,133,NA
Pub,134,NA
Pub,135,NA
Pub,136,NA
Pub,137,NA
Pub,138,NA
Pub,139,NA
Pub,140,NA
Pub,141,NA
Pub,142,NA
Pub,143,NA
Pub,144,NA
Pub,145,NA
RCom,146,NA
RCom,147,NA
RCom,148,NA
RCom,149,NA
RCom,150,NA
RCom,151,NA
Rec,152,NA
Rec,153,NA
Rec,154,NA
Rec,155,NA
Rec,156,NA
Rec,157,NA
Rec,158,NA
Rec,159,NA
Rec,160,NA
Rec,161,NA
Rec,162,NA
Rec,163,NA
Rec,164,NA
Rec,165,NA
Rec,166,NA
Rec,167,NA
Rec,168,NA
Rec,169,NA
Rec,170,NA
Rec,171,NA
Rec,172,NA
Rec,173,NA
Rec,174,NA
Rec,175,NA
Rec,176,NA
Rec,177,NA
Rec,178,NA
Rec,179,NA
Rec,180,NA
Rec,181,NA
Rec,182,NA
Rec,183,NA
Rec,184,NA
Rec,185,NA
Rec,186,NA
Rec,187,NA
Rec,188,NA
Rec,189,NA
Rec,190,NA
Rec,191,NA
Rec,192,NA
Rec,193,NA
Rec,194,NA
Rec,195,NA
Rec,196,NA
Rec,197,NA
Rec,198,NA
Rec,199,NA
Rec,200,NA
Rec,201,NA
Rec,202,NA
Rec,203,NA
Rec,204,NA
Rec,205,NA
Rec,206,NA
Rec,207,NA
Rec,208,NA
Rec,209,NA
Rec,210,NA
Rec,211,NA
Rec,212,NA
Rec,213,NA
Rec,214,NA
Rec,215,NA
Rec,216,NA
Rec,217,NA
Rec,218,NA
Rec,219,NA
Rec,220,NA
Rec,221,NA
Rec,222,NA
Rec,223,NA
Rec,224,NA
Rec,225,NA
Rec-Resource,226,NA
Rec-Resource,227,NA
Rec-Resource,228,NA
Rec-WCom,229,NA
Rec-WCom-IndL-IndO-GCom,230,NA
ResH,231,2
ResH,232,2
ResH,233,2
ResH,234,2
ResH,235,2
ResH,236,2
ResH,237,2
ResH,238,2
ResH,239,2
ResH,240,2
ResL,241,1
ResL,242,1
ResL,243,1
ResL,244,1
ResL,245,1
ResL,246,1
ResL,247,1
ResL,248,1
ResL,249,1
ResL,250,1
ResL,251,1
ResL,252,1
ResL,253,1
ResL,254,1
ResL,255,1
ResL,256,1
ResL,257,1
ResL,258,1
ResL,259,1
ResL,260,1
ResL,261,1
ResL,262,1
ResL,263,1
ResL,264,1
ResL,265,1
ResL,266,1
ResL,267,1
ResL,268,1
ResL,269,1
ResL,270,1
ResL,271,1
ResL,272,1
ResL,273,1
ResL,274,1
ResL,275,1
ResL,276,1
ResL,277,1
ResL,278,1
ResL-ResM-ResH,279,1
ResL-ResM-ResH,280,1
ResL-Resource,281,NA
ResM,282,2
ResM,283,2
ResM,284,2
ResM,285,2
ResM,286,2
ResM,287,2
ResM,288,2
ResM,289,2
ResM,290,2
ResM,291,2
ResM,292,2
ResM,293,2
ResM,294,2
ResM,295,2
ResM,296,2
ResM,297,2
ResM,298,2
ResM,299,2
ResM,300,2
ResM,301,2
ResM,302,2
ResM,303,2
ResM,304,2
ResM,305,2
ResM,306,2
ResM,307,2
ResM,308,2
ResM,309,2
ResM,310,2
ResM,311,2
ResM,312,2
ResM,313,2
ResM,314,2
ResM,315,2
ResM,316,2
ResM,317,2
ResM,318,2
ResM,319,2
ResM,320,2
ResM,321,2
ResM,322,2
ResM,323,2
ResM,324,2
ResM,325,2
ResM,326,2
ResVL,327,1
ResVL,328,1
ResVL,329,1
ResVL,330,1
ResVL,331,1
ResVL,332,1
ResVL,333,1
ResVL,334,1
ResVL,335,1
ResVL,336,1
ResVL,337,1
ResVL,338,1
ResVL,339,1
Resource,340,NA
Resource,341,NA
Resource,342,NA
Resource,343,NA
Resource,344,NA
Resource,345,NA
Resource,346,NA
Resource,347,NA
Resource,348,NA
Resource,349,NA
Resource,350,NA
Resource,351,NA
Resource,352,NA
Resource,353,NA
Resource,354,NA
Resource,355,NA
Resource,356,NA
Resource,357,NA
Resource,358,NA
Resource-Rec,359,NA
WCom,360,NA
WCom,361,NA
WCom,362,NA
WCom,363,NA
WCom,364,NA
WCom,365,NA
WCom,366,NA
