OBJECTID,ZONE_DESC,SHAPE_Leng,SHAPE_Area,Base_zone,Zoning
1,General manufacturing,14005.2723834,5652217.86372,M-G,NA
2,Planned Unit Development,12858.1307605,7559301.14621,P.U.D.,1
3,Industrial Park and/or Industrial,7646.56833627,1410367.96406,I-P-I,NA
4,Residential Medium Density,2597.5055754,387757.273505,R-2,2
5,Residential Medium Density,1457.34307867,65308.2375863,R-2,2
6,Residential High Density,2240.57080434,96587.2734718,R-3,2
7,Residential High Density,887.2201330471776,40330.1151741,R-4,2
8,Highway Commercial,3648.76894804,215576.448481,C-H,NA
9,Residential Medium Density,2028.57798043,113302.289581,R-2,2
10,Residential Medium Density,706.5565877601117,17890.2206297,R-2,2
11,Residential High Density,1156.20452236,79939.1227019,R-3,2
12,Residential Low Density,677.6954342060677,19436.8750139,R-1,1
13,Park Land,1229.56546554,38893.302134,P-L,NA
14,Open Area Resort,1198.46484442,53365.842425,O-A-R,NA
15,Residential High Density,554.9613178930115,14313.0149092,R-3,2
16,Residential Medium Density,760.6944036099546,11615.9089575,R-2,2
17,Residential High Density,215.00842285515506,2842.25135013,R-4,2
18,Residential Low Density,3180.19881991,312529.568037,R-1,1
19,Residential High Density,798.0026363520856,32270.7318783,R-3,2
20,Residential High Density,671.2194919590831,17821.4998203,R-4,2
21,Residential High Density,832.8910566903,36627.86789,R-3,2
22,Residential High Density,765.352528885283,19520.7597104,R-4,2
23,Residential High Density,1003.09183213,27870.9109732,R-4,2
24,Residential High Density,742.6290931396518,22538.76897,R-3,2
25,Residential Medium Density,371.84829714469686,7881.04414532,R-2,2
26,Residential Low Density,1826.04027657,114085.446513,R-1,1
27,Parkland,408.81351109293735,7256.82484504,P-L,NA
28,Study District,2241.89273814,157602.639631,S-D,NA
29,Residential Medium Density,156.87506392712328,1581.00884076,R-2,2
30,Residential Low Density,5507.01986099,833243.968582,R-1,1
31,Residential High Density,664.5400278124562,27388.8453014,R-4,2
32,General Service Commercial and Industrial,1285.04402112,85545.3492773,C-3,NA
33,Parkland,717.9299070896606,31765.3274353,P-L,NA
34,Genereal Service Commercial and Industrial,358.7701723627838,7714.24918942,C-3,NA
35,Residential Low Density,4063.31640337,664203.305962,R-1,1
36,Parkland,908.249450840951,35317.6374122,P-L,NA
37,Parkland,2586.47560486,42501.3549063,P-L,NA
38,Residential High Density,257.2713682628243,2890.80604084,R-3,2
39,General Manufacturing,527.8659984478259,3891.02414733,M-G,NA
40,General Manufacturing,3492.68146202,561369.279807,M-G,NA
41,Residential High Density,1201.0605908,69579.1478015,R-3,2
42,Planned Unit Development,9825.73438065,3731565.66218,P.U.D.,NA
43,Residential High Density,2305.37877491,224474.003589,C-3,NA
44,"Commercial, Manufacturing and Employment District",2622.94877986,232752.299892,C-3-1,NA
45,Planned Unit Development,7450.86914903,1777162.16662,P.U.D.,NA
46,General Service Commercial,1066.38910375,71056.3822585,C-3,NA
47,Planned Unit Development,6361.8450921,2143497.01726,P.U.D.,NA
