id,gnrl_p_,edt_g__,zoning
0,C-N,C-N,0
1,C-N,C-N,0
2,C-N,C-N,0
3,C-N,C-N,0
4,C-N,C-N,0
5,C-N,C-N,0
6,C-N,C-N,0
7,C-O,C-O,0
8,C-O,C-O,0
9,C-O,C-O,0
10,C-O,C-O,0
11,C-O,C-O,0
12,C-O,C-O_Remove,3
13,C-R,C-R,0
14,C-R,C-R,0
15,C-R,C-R,0
16,C-R,C-R,0
17,C-R,C-R,0
18,C-R,C-R,0
19,C-R,C-R,0
20,C-R,C-R,0
21,C-R,C-R,0
22,C-R,C-R,0
23,C-R,C-R,0
24,C-R,C-R,0
25,C-R,C-R,0
26,C-R,C-R,0
27,C-R,C-R,0
28,C-R,C-R,0
29,C-R,C-R,0
30,C-R,C-R,0
31,C-R,C-R,0
32,C-R,C-R_Remove,3
33,C-R,C-R,0
34,C-R,C-R_Remove,3
35,C-R,C-R,0
36,C-R,C-R,0
37,C-R,C-R,0
38,C-R/R-H,C-R/R-H_Remove,3
39,I-L,I-L,0
40,I-L,I-L,0
41,I-L,I-L,0
42,I-L,I-L,0
43,I-L,I-L,0
44,I-L,I-L,0
45,I-L,I-L,0
46,I-L,I-L,0
47,M-U,M-U_NonRes,0
48,M-U,M-U,2
49,M-U,M-U,2
50,M-U,M-U_NonRes,0
51,M-U,M-U_NonRes,0
52,M-U,M-U_NonRes,0
53,M-U,M-U_NonRes,0
54,M-U,M-U_NonRes,0
55,M-U,M-U_NonRes,0
56,OS-ARM,OS-ARM,3
57,OS-ARM,OS-ARM,3
58,OS-ARM,OS-ARM,3
59,OS-ARM,OS-ARM,3
60,OS-ARM,OS-ARM,3
61,OS-ARM,OS-ARM,3
62,OS-ARM,OS-ARM,3
63,OS-ARM,OS-ARM,3
64,OS-ARM,OS-ARM,3
65,OS-ARM,OS-ARM,3
66,OS-ARM,OS-ARM,3
67,OS-EC,OS-EC,0
68,OS-EC,OS-EC,0
69,OS-EC,OS-EC,0
70,OS-EC,OS-EC,0
71,OS-EC,OS-EC,0
72,OS-EC,OS-EC,0
73,OS-EC,OS-EC,0
74,OS-EC,OS-EC,0
75,OS-EC,OS-EC,0
76,OS-EC,OS-EC,0
77,OS-EC,OS-EC,0
78,OS-EC,OS-EC_Remove,3
79,OS-EC,OS-EC_Remove,3
80,OS-EC,OS-EC,0
81,OS-EC,OS-EC,0
82,OS-EC,OS-EC,0
83,P-I,P-I,0
84,P-I,P-I,0
85,P-I,P-I,0
86,P-I,P-I,0
87,P-I,P-I,0
88,P-I,P-I,0
89,P-I,P-I,0
90,P-I,P-I,0
91,P-I,P-I,0
92,P-I,P-I,0
93,P-I,P-I,0
94,P-I,P-I,0
95,P-I,P-I,0
96,P-I,P-I,0
97,P-I,P-I,0
98,P-I,P-I,0
99,P-I,P-I,0
100,P-I,P-I,0
101,P-I,P-I,0
102,P-I,P-I,0
103,P-I,P-I,0
104,P-I,P-I,0
105,P-I,P-I,0
106,P-I,P-I,0
107,P-I,P-I,0
108,P-I,P-I,0
109,P-I,P-I,0
997,R-E,R-E,1
111,R-E,R-E_Remove,3
112,R-E,R-E_Remove,3
113,R-E,R-E_Remove,3
114,R-E,R-E_Remove,3
115,R-E,R-E_Remove,3
116,R-E,R-E_Remove,3
117,R-E,R-E_Remove,3
118,R-E,R-E_Remove,3
119,R-E,R-E_Remove,3
120,R-E,R-E_Remove,3
121,R-E,R-E_Remove,3
122,R-E,R-E,1
123,R-E,R-E_Remove,3
124,R-E,R-E_Remove,3
125,R-E,R-E_Remove,3
126,R-H,R-H,2
127,R-H,R-H,2
128,R-H,R-H,2
129,R-H,R-H,2
130,R-H,R-H,2
131,R-H,R-H,2
132,R-H,R-H,2
133,R-H,R-H,2
134,R-H,R-H,2
135,R-H,R-H,2
136,R-H,R-H,2
137,R-H,R-H,2
138,R-H,R-H,2
139,R-H,R-H,2
140,R-H,R-H,2
141,R-H,R-H,2
142,R-H,R-H,2
143,R-H,R-H,2
144,R-H,R-H,2
145,R-H,R-H,2
146,R-H,R-H,2
147,R-H,R-H,2
148,R-H,R-H,2
149,R-H,R-H,2
150,R-H,R-H,2
151,R-H,R-H,2
152,R-H,R-H,2
153,R-H,R-H,2
154,R-H,R-H,2
155,R-H,R-H,2
156,R-H,R-H,2
157,R-H,R-H,2
158,R-H,R-H,2
159,R-H,R-H,2
160,R-H,R-H,2
161,R-H,R-H,2
162,R-H,R-H,2
163,R-H,R-H,2
164,R-H,R-H,2
165,R-H,R-H,2
166,R-H,R-H,2
167,R-H,R-H,2
168,R-H,R-H,2
169,R-H,R-H,2
170,R-H,R-H,2
171,R-H,R-H,2
172,R-H,R-H,2
173,R-H,R-H,2
174,R-H,R-H,2
175,R-H,R-H,2
176,R-H,R-H,2
177,R-H,R-H,2
178,R-H,R-H,2
179,R-H,R-H_Remove,3
180,R-H,R-H,2
181,R-H,R-H_Remove,3
182,R-H,R-H,2
183,R-H,R-H,2
184,R-H,R-H,2
185,R-H,R-H,2
186,R-H,R-H_Remove,3
187,R-H,R-H,2
188,R-H,R-H,2
189,R-L,R-L,1
190,R-L,R-L,1
191,R-L,R-L,1
192,R-L,R-L,1
193,R-L,R-L,1
194,R-L,R-L,1
195,R-L,R-L,1
196,R-L,R-L,1
197,R-L,R-L,1
198,R-L,R-L,1
199,R-L,R-L,1
200,R-L,R-L,1
201,R-L,R-L,1
202,R-L,R-L,1
203,R-L,R-L,1
204,R-L,R-L_Remove,3
205,R-L,R-L,1
206,R-L,R-L,1
207,R-L,R-L,1
208,R-L,R-L,1
209,R-L,R-L,1
210,R-L,R-L,1
211,R-L,R-L,1
212,R-L,R-L,1
213,R-L,R-L,1
214,R-L,R-L,1
215,R-L,R-L,1
216,R-L,R-L,1
217,R-L,R-L,1
218,R-L,R-L,1
219,R-L,R-L,1
220,R-L,R-L,1
221,R-L,R-L,1
222,R-L,R-L,1
223,R-L,R-L,1
224,R-L,R-L,1
225,R-L,R-L,1
226,R-L,R-L,1
227,R-L,R-L,1
228,R-L,R-L,1
229,R-L,R-L,1
230,R-L,R-L,1
231,R-L,R-L,1
232,R-L,R-L,1
233,R-L,R-L,1
234,R-L,R-L,1
235,R-L,R-L,1
236,R-L,R-L,1
237,R-L,R-L,1
238,R-L,R-L,1
239,R-L,R-L,1
240,R-L,R-L,1
241,R-L,R-L,1
242,R-L,R-L,1
243,R-L,R-L,1
244,R-L,R-L,1
245,R-L,R-L,1
246,R-L,R-L,1
247,R-L,R-L,1
