District,Prim_Use,MinLot,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
FLOODWAY,FLOOD CONTROL AREA,NONE,45638.8613281,2070.2520584,F,NA
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,10 ACRES,6022243.99414,15533.930079,R-1_B-10A,1
CIVIC DISTRICT,"PUBLIC, QUASI-PUBLIC",NONE,1348108.30176,5686.80938105,C-D,NA
CIVIC DISTRICT,"PUBLIC, QUASI-PUBLIC",NONE,521385.647461,5081.51341425,C-D,NA
CIVIC DISTRICT,"PUBLIC, QUASI-PUBLIC",NONE,104556.515625,1543.2949973,C-D,NA
LOCAL SERVICE COMMERCIAL,COMMERCIAL,NONE,30002.0380859,699.570193545,C-L,NA
LOCAL SERVICE COMMERCIAL,COMMERCIAL,NONE,35281.8515625,874.154906248,C-L,NA
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"5,000 SQ FT",108329.629883,1452.04782512,R-1,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"5,000 SQ FT",224107.817383,3133.5616035,R-1,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"5,000 SQ FT",42837.3457031,860.718830097,R-1,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"10,000 SQ FT",667.84375,105.897141542,R-1_B-10,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"10,000 SQ FT",206925.612305,1933.92234006,R-1_B-10,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"10,000 SQ FT",69852.0986328,1183.14922478,R-1_B-10,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"10,000 SQ FT",458386.238281,4781.22413403,R-1_B-10,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"10,000 SQ FT",516311.983398,3972.27295704,R-1_B-10,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"10,000 SQ FT",67289.0761719,1423.33767923,R-1_B-10,1
SINGLE FAMILY RESIDENTIAL,ONE-FAMILY RESIDENTIAL,"10,000 SQ FT",74196.4033203,1121.00000041,R-1_B-10,1
