id,gnrl_p_,zoning
0,Central Commercial,0
1,Central Commercial,0
2,Central Commercial,0
3,Central Commercial,0
4,Central Commercial,0
5,Central Commercial,0
6,Central Commercial,0
7,Central Commercial,0
8,Central Commercial,0
9,Central Commercial,0
10,Central Commercial,0
11,Central Commercial,0
12,Central Commercial,0
13,Central Commercial,0
14,Central Commercial,0
15,Central Commercial,0
16,Central Commercial,0
17,Central Commercial,0
18,Central Commercial,0
19,Downtown Mixed Residential,2
20,Downtown Mixed Residential,2
21,Downtown Mixed Residential,2
22,Downtown Mixed Residential,2
23,Downtown Mixed Residential,2
24,Downtown Mixed Residential,2
25,Downtown Mixed Residential,2
26,Downtown Mixed Residential,2
27,Downtown Mixed Residential,2
28,Downtown Mixed Residential,2
29,Downtown Mixed Residential,2
30,Downtown Mixed Residential,2
31,Downtown Mixed Residential,2
32,Downtown Mixed Residential,2
33,Downtown Mixed Residential,2
34,Downtown Mixed Residential,2
35,Downtown Mixed Residential,2
36,Downtown Mixed Residential,2
37,General Commercial,0
38,General Commercial,0
39,General Commercial,0
40,General Commercial,0
41,General Commercial,0
42,General Commercial,0
43,General Commercial,0
44,General Commercial,0
45,General Commercial,0
46,General Commercial,0
47,General Commercial,0
48,General Commercial,0
49,General Commercial,0
50,General Commercial,0
51,General Commercial,0
52,General Commercial,0
53,General Commercial,0
54,General Commercial,0
55,General Commercial,0
56,General Commercial,0
57,High Density Residential,2
58,High Density Residential,2
59,High Density Residential,2
60,High Density Residential,2
61,High Density Residential,2
62,High Density Residential,2
63,High Density Residential,2
64,High Density Residential,2
65,High Density Residential,2
66,High Density Residential,2
67,High Density Residential,2
68,High Density Residential,2
69,High Density Residential,2
70,High Density Residential,2
71,High Density Residential,2
72,High Density Residential,2
73,High Density Residential,2
74,Limited Commercial,0
75,Limited Commercial,0
76,Limited Commercial,0
77,Limited Commercial,0
78,Medium Density Residential,1
79,Medium Density Residential,1
80,Medium Density Residential_MF,2
81,Medium Density Residential,1
82,Medium Density Residential,1
83,Medium Density Residential,1
84,Medium Density Residential,1
85,Medium Density Residential_MF,2
86,Medium Density Residential,1
87,Medium Density Residential,1
88,Medium Density Residential,1
89,Neighborhood Commercial,0
90,Neighborhood Commercial,0
91,Neighborhood Commercial,0
92,Neighborhood Commercial,0
93,Neighborhood Commercial,0
94,Neighborhood Commercial,0
95,Neighborhood Commercial,0
96,Neighborhood Commercial,0
97,Neighborhood Commercial,0
98,Neighborhood Commercial,0
99,Neighborhood Commercial,0
100,Parks/Open Space,0
101,Parks/Open Space,0
102,Parks/Open Space,0
103,Parks/Open Space,0
104,Parks/Open Space,0
105,Parks/Open Space,0
106,Parks/Open Space,0
107,Parks/Open Space,0
108,Parks/Open Space,0
109,Parks/Open Space,0
110,Parks/Open Space,0
111,Parks/Open Space,0
112,Parks/Open Space,0
113,Parks/Open Space,0
114,Parks/Open Space,0
115,Parks/Open Space,0
116,Public Facility,0
117,Public Facility,0
118,Public Facility,0
119,Public Facility,0
120,Public Facility,0
121,Public Facility,0
122,Public Facility,0
123,Public Facility,0
124,Public Facility,0
125,Public Facility,0
