id,gnrl_p_,zoning
0,Central Business District,0
1,Central Business District,0
2,Central Business District,0
3,Central Business District,0
4,Central Business District,0
5,Central Business District,0
6,Central Business District,0
7,Central Business District,0
8,Central Business District,0
9,Central Business District,0
10,Central Business District,0
11,Central Business District,0
12,Central Business District,0
13,Central Business District,0
14,Central Business District,0
15,Central Business District,0
16,High Density Residential,2
17,High Density Residential,2
18,High Density Residential,2
19,High Density Residential,2
20,High Density Residential,2
21,High Density Residential,2
22,High Density Residential,2
23,High Density Residential,2
24,High Density Residential,2
25,High Density Residential,2
26,High Density Residential,2
27,High Density Residential,2
28,High Density Residential,2
29,High Density Residential,2
30,High Density Residential,2
31,High Density Residential,2
32,Industrial,0
33,Industrial,0
34,Industrial,0
35,Industrial,0
36,Industrial,0
37,Industrial,0
38,Industrial,0
39,Industrial,0
40,Industrial,0
41,Industrial,0
42,Low Density Residential,1
43,Low Density Residential,1
44,Low Density Residential,1
45,Low Density Residential,1
46,Low Density Residential,1
47,Low Density Residential,1
48,Low Density Residential,1
49,Low Density Residential,1
50,Low Density Residential,1
51,Low Density Residential,1
52,Low Density Residential,1
53,Low Density Residential,1
54,Low Density Residential,1
55,Low Density Residential,1
56,Low Density Residential,1
57,Low Density Residential,1
58,Low Density Residential,1
59,Low Density Residential,1
60,Low Density Residential,1
61,Low Density Residential,1
62,Low Density Residential,1
63,Low Density Residential,1
64,Low Density Residential,1
65,Low Density Residential,1
66,Low Density Residential,1
67,Low Density Residential,1
68,Low Density Residential,1
69,Low Density Residential,1
70,Low Density Residential,1
71,Low Density Residential,1
72,Low Density Residential,1
73,Low Density Residential,1
74,Low Density Residential,1
75,Low Density Residential,1
76,Low Density Residential,1
77,Low Density Residential,1
78,Low Density Residential,1
79,Low Density Residential,1
80,Low Density Residential,1
81,Low Density Residential,1
82,Low Density Residential,1
83,Low Density Residential,1
84,Low Density Residential,1
85,Low Density Residential,1
86,Low Density Residential,1
87,Low Density Residential,1
88,Low Density Residential,1
89,Low Density Residential,1
90,Low Density Residential,1
91,Low Density Residential,1
92,Low Density Residential,1
93,Low Density Residential,1
94,Low Density Residential,1
95,Low Density Residential,1
96,Low Density Residential,1
97,Low Density Residential,1
98,Low Density Residential,1
99,Low Density Residential,1
100,Low Density Residential,1
101,Low Density Residential,1
102,Low Density Residential,1
103,Low Density Residential,1
104,Low Density Residential,1
105,Low Density Residential,1
106,Low Density Residential,1
107,Low Density Residential,1
108,Low Density Residential,1
109,Low Density Residential,1
110,Low Density Residential,1
111,Low Density Residential,1
112,Low Density Residential,1
113,Low Density Residential,1
114,Low Density Residential,1
115,Low Density Residential,1
116,Low Density Residential,1
117,Low Density Residential,1
118,Low Density Residential,1
119,Low Density Residential,1
120,Low Density Residential,1
121,Low Density Residential,1
122,Low Density Residential,1
123,Low Density Residential,1
124,Low Density Residential,1
125,Low Density Residential,1
126,Low Density Residential,1
127,Low Density Residential,1
128,Low Density Residential,1
129,Low Density Residential,1
130,Low Density Residential,1
131,Low Density Residential,1
132,Low Density Residential,1
133,Low Density Residential,1
134,Low Density Residential,1
135,Low Density Residential,1
136,Low Density Residential,1
137,Low Density Residential,1
138,Low Density Residential,1
139,Low Density Residential,1
140,Low Density Residential,1
141,Low Density Residential,1
142,Low Density Residential,1
143,Low Density Residential,1
144,Low Density Residential,1
145,Low Density Residential,1
146,Low Density Residential,1
147,Low Density Residential,1
148,Low Density Residential,1
149,Low Density Residential,1
150,Low Density Residential,1
151,Low Density Residential,1
152,Low Density Residential,1
153,Low Density Residential,1
154,Low Density Residential,1
155,Low Density Residential,1
156,Low Density Residential,1
157,Low Density Residential,1
158,Low Density Residential,1
159,Low Density Residential,1
160,Low Density Residential,1
161,Low Density Residential,1
162,Low Density Residential,1
163,Low Density Residential,1
164,Low Density Residential,1
165,Low Density Residential,1
166,Low Density Residential,1
167,Low Density Residential,1
168,Low Density Residential,1
169,Low Density Residential,1
170,Low Density Residential,1
171,Low Density Residential,1
172,Low Density Residential,1
173,Low Density Residential,1
174,Low Density Residential,1
175,Low Density Residential,1
176,Low Density Residential,1
177,Low Density Residential,1
178,Low Density Residential,1
179,Low Density Residential,1
180,Low Density Residential,1
181,Low Density Residential,1
182,Low Density Residential,1
183,Low Density Residential,1
184,Low Density Residential,1
185,Low Density Residential,1
186,Low Density Residential,1
187,Low Density Residential,1
188,Low Density Residential,1
189,Low Density Residential,1
190,Low Density Residential,1
191,Low Density Residential,1
192,Low Density Residential,1
193,Low Density Residential,1
194,Low Density Residential,1
195,Low Density Residential,1
196,Low Density Residential,1
197,Low Density Residential,1
198,Low Density Residential,1
199,Low Density Residential,1
200,Low Density Residential,1
201,Low Density Residential,1
202,Low Density Residential,1
203,Low Density Residential,1
204,Low Density Residential,1
205,Low Density Residential,1
206,Low Density Residential,1
207,Low Density Residential,1
208,Low Density Residential,1
209,Low Density Residential,1
210,Low Density Residential,1
211,Low Density Residential,1
212,Low Density Residential,1
213,Low Density Residential,1
214,Low Density Residential,1
215,Low Density Residential,1
216,Low Density Residential,1
217,Low Density Residential,1
218,Low Density Residential,1
219,Low Density Residential,1
220,Low Density Residential,1
221,Low Density Residential,1
222,Low Density Residential,1
223,Low Density Residential,1
224,Low Density Residential,1
225,Low Density Residential,1
226,Low Density Residential,1
227,Low Density Residential,1
228,Low Density Residential,1
229,Low Density Residential,1
230,Low Density Residential,1
231,Low Density Residential,1
232,Low Density Residential,1
233,Low Density Residential,1
234,Low Density Residential,1
235,Low Density Residential,1
236,Low Density Residential,1
237,Low Density Residential,1
238,Low Density Residential,1
239,Low Density Residential,1
240,Low Density Residential,1
241,Low Density Residential,1
242,Low Density Residential,1
243,Low Density Residential,1
244,Low Density Residential,1
245,Low Density Residential,1
246,Low Density Residential,1
247,Low Density Residential,1
248,Low Density Residential,1
249,Low Density Residential,1
250,Low Density Residential,1
251,Low Density Residential,1
252,Low Density Residential,1
253,Low Density Residential,1
254,Low Density Residential,1
255,Low Density Residential,1
256,Low Density Residential,1
257,Low Density Residential,1
258,Low Density Residential,1
259,Low Density Residential,1
260,Low Density Residential,1
261,Low Density Residential,1
262,Low Density Residential,1
263,Low Density Residential,1
264,Low Density Residential,1
265,Low Density Residential,1
266,Low Density Residential,1
267,Low Density Residential,1
268,Low Density Residential,1
269,Low Density Residential,1
270,Low Density Residential,1
271,Low Density Residential,1
272,Low Density Residential,1
273,Low Density Residential,1
274,Low Density Residential,1
275,Low Density Residential,1
276,Low Density Residential,1
277,Low Density Residential,1
278,Low Density Residential,1
279,Low Density Residential,1
280,Low Density Residential,1
281,Low Density Residential,1
282,Low Density Residential,1
283,Low Density Residential,1
284,Low Density Residential,1
285,Low Density Residential,1
286,Low Density Residential,1
287,Low Density Residential,1
288,Low Density Residential,1
289,Low Density Residential,1
290,Low Density Residential,1
291,Low Density Residential,1
292,Low Density Residential,1
293,Low Density Residential,1
294,Low Density Residential,1
295,Low Density Residential,1
296,Low Density Residential,1
297,Low Density Residential,1
298,Low Density Residential,1
299,Low Density Residential,1
300,Low Density Residential,1
301,Low Density Residential,1
302,Low Density Residential,1
303,Low Density Residential,1
304,Low Density Residential,1
305,Low Density Residential,1
306,Low Density Residential,1
307,Low Density Residential,1
308,Low Density Residential,1
309,Low Density Residential,1
310,Low Density Residential,1
311,Low Density Residential,1
312,Low Density Residential,1
313,Low Density Residential,1
314,Low Density Residential,1
315,Low Density Residential,1
316,Low Density Residential,1
317,Low Density Residential,1
318,Low Density Residential,1
319,Low Density Residential,1
320,Low Density Residential,1
321,Low Density Residential,1
322,Low Density Residential,1
323,Low Density Residential,1
324,Low Density Residential,1
325,Low Density Residential,1
326,Low Density Residential,1
327,Low Density Residential,1
328,Low Density Residential,1
329,Low Density Residential,1
330,Low Density Residential,1
331,Low Density Residential,1
332,Low Density Residential,1
333,Low Density Residential,1
334,Low Density Residential,1
335,Low Density Residential,1
336,Low Density Residential,1
337,Low Density Residential,1
338,Low Density Residential,1
339,Low Density Residential,1
340,Low Density Residential,1
341,Low Density Residential,1
342,Low Density Residential,1
343,Low Density Residential,1
344,Low Density Residential,1
345,Low Density Residential,1
346,Low Density Residential,1
347,Low Density Residential,1
348,Low Density Residential,1
349,Low Density Residential,1
350,Low Density Residential,1
351,Low Density Residential,1
352,Low Density Residential,1
353,Low Density Residential,1
354,Low Density Residential,1
355,Low Density Residential,1
356,Low Density Residential,1
357,Low Density Residential,1
358,Low Density Residential,1
359,Low Density Residential,1
360,Low Density Residential,1
361,Low Density Residential,1
362,Low Density Residential,1
363,Low Density Residential,1
364,Low Density Residential,1
365,Low Density Residential,1
366,Low Density Residential,1
367,Low Density Residential,1
368,Low Density Residential,1
369,Low Density Residential,1
370,Low Density Residential,1
371,Low Density Residential,1
372,Low Density Residential,1
373,Low Density Residential,1
374,Low Density Residential,1
375,Low Density Residential,1
376,Low Density Residential,1
377,Low Density Residential,1
378,Low Density Residential,1
379,Low Density Residential,1
380,Low Density Residential,1
381,Low Density Residential,1
382,Low Density Residential,1
383,Low Density Residential,1
384,Low Density Residential,1
385,Low Density Residential,1
386,Low Density Residential,1
387,Low Density Residential,1
388,Low Density Residential,1
389,Low Density Residential,1
390,Low Density Residential,1
391,Low Density Residential,1
392,Low Density Residential,1
393,Low Density Residential,1
394,Low Density Residential,1
395,Low Density Residential,1
396,Low Density Residential,1
397,Low Density Residential,1
398,Low Density Residential,1
399,Low Density Residential,1
400,Low Density Residential,1
401,Low Density Residential,1
402,Low Density Residential,1
403,Low Density Residential,1
404,Low Density Residential,1
405,Low Density Residential,1
406,Low Density Residential,1
407,Low Density Residential,1
408,Low Density Residential,1
409,Low Density Residential,1
410,Low Density Residential,1
411,Low Density Residential,1
