id,gnrl_p_,zoning
0,IP,0
1,A,0
2,RS-3,1
3,MU-SB,0
4,MU-SB,0
5,MU-D,0
6,MU-D,0
7,MU-D,0
8,MU-D,0
9,MU-D,0
10,MU-D,0
11,MU-D,0
12,MU-D,0
13,MU-DC,0
14,MU-DC,0
15,MU-DC,0
16,MU-DC,0
17,MU-DC,0
18,MU-DC,0
19,MU-DC,0
20,MU-DC,0
21,MU-DC,0
22,MU-DC,0
23,GCI,0
24,GCI,0
25,GCI,0
26,GCI,0
27,GCI,0
28,GCI,0
29,GCI,0
30,GCI,0
31,GCI,0
32,GCI,0
33,GCI,0
34,IA,0
35,IA,0
36,IA,0
37,IA,0
38,IA,0
39,IA,0
40,IA,0
41,IA,0
42,IA,0
43,IA,0
44,IA,0
45,IA,0
46,IA,0
47,IA,0
48,IA,0
49,IH,0
50,IH,0
51,IH,0
52,IH,0
53,GCI,0
54,GCI,0
55,IH,0
56,IH,0
57,IH,0
58,IH,0
59,RS-6,1
60,IH,0
61,IH,0
62,IH,0
63,RS-6,1
64,IH,0
65,IH,0
66,IL,0
67,IL,0
68,IL,0
69,IL,0
70,MU-NB,0
71,MU-NB,0
72,MU-NB,0
73,MU-N,0
74,MU-N,0
75,MU-N,0
76,MU-N,0
77,MU-N,0
78,MU-N,0
79,MU-N,0
80,MU-N,0
81,MU-N,0
82,MU-N,0
83,MU-N,0
84,MU-N,0
85,MU-N,0
86,MU-N,0
87,MU-N,0
88,MU-N,0
89,MU-N,0
90,MU-N,0
91,MU-N,0
92,MU-N,0
93,MU-N,0
94,MU-N,0
95,MU-N,0
96,NR,0
97,NR,0
98,OS,0
99,OS,0
100,OS,0
101,OS,0
102,OS,0
103,OS,0
104,OS,0
105,OS,0
106,OS,0
107,OS,0
108,OS,0
109,OS,0
110,OS,0
111,P,0
112,P,0
113,P,0
114,P,0
115,P,0
116,P,0
117,P,0
118,P,0
119,P,0
120,P,0
121,P,0
122,P,0
123,P,0
124,P,0
125,PK,0
126,PK,0
127,PK,0
128,PK,0
129,PK,0
130,PK,0
131,PK,0
132,PK,0
133,PK,0
134,PK,0
135,PK,0
136,PK,0
137,PK,0
138,PK,0
139,PK,0
140,PK,0
141,PK,0
