id,general_pl,Zoning
0,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
1,"RESIDENTIAL- MIXED, HIGH DENSITY-65-N",2
2,"RESIDENTIAL- MIXED, HIGH DENSITY-300-E-2",2
3,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
4,"RESIDENTIAL- MIXED, HIGH DENSITY-65-N",2
5,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
6,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
7,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
8,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
9,"RESIDENTIAL- MIXED, HIGH DENSITY-105-D",2
10,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
11,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
12,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
13,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
14,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
15,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
16,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
17,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
18,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
19,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
20,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
21,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
22,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
23,INNER SUNSET NEIGHBORHOOD COMMERCIAL-40-X,NA
24,INNER SUNSET NEIGHBORHOOD COMMERCIAL-40-X,NA
25,INNER SUNSET NEIGHBORHOOD COMMERCIAL-40-X,NA
26,INNER SUNSET NEIGHBORHOOD COMMERCIAL-40-X,NA
27,INNER SUNSET NEIGHBORHOOD COMMERCIAL-40-X,NA
28,INNER SUNSET NEIGHBORHOOD COMMERCIAL-40-X,NA
29,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
30,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT-65-X,NA
31,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT-65-X,NA
32,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
33,MIXED USE-GENERAL-85-X,NA
34,MIXED USE-GENERAL-45-X,NA
35,MIXED USE-GENERAL-45-X,NA
36,MIXED USE-GENERAL-45-X,NA
37,MIXED USE-GENERAL-85-X,NA
38,SOMA SERVICE- LIGHT INDUSTRIAL-40-X,NA
39,SOMA SERVICE- LIGHT INDUSTRIAL-50-X,NA
40,SOMA SERVICE- LIGHT INDUSTRIAL-30-X,NA
41,SOMA SERVICE- LIGHT INDUSTRIAL-50-X,NA
42,SOMA SERVICE- LIGHT INDUSTRIAL-50-X,NA
