OBJECTID,FACILITYID,ZONINGABBR,REZONINGFI,PDUSE,PDDENSITY,DEVELOPEDA,APPROVALDA,COLORCODE,LASTUPDATE,ENTERPRISE,Zone_descr,Zoning,PDDENS_NUM
1,1,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000001,Agriculture,0,0
2,2,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000002,Agriculture,0,0
3,3,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000003,Agriculture,0,0
4,4,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000004,Agriculture,0,0
5,5,A,NA,NA,0,NA,NA,17,2007-04-12T08:29:49.000Z,PLN-ZONI-0000000005,Agriculture,0,0
6,6,A,NA,NA,0,NA,NA,17,2007-04-12T08:29:49.000Z,PLN-ZONI-0000000006,Agriculture,0,0
7,7,A,NA,NA,0,NA,NA,17,2009-06-17T10:46:13.000Z,PLN-ZONI-0000000007,Agriculture,0,0
8,8,A,NA,NA,0,NA,NA,17,2007-10-11T10:36:00.000Z,PLN-ZONI-0000000008,Agriculture,0,0
9,9,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000009,Agriculture,0,0
10,10,A,NA,NA,0,NA,NA,17,2013-11-22T11:29:40.000Z,PLN-ZONI-0000000010,Agriculture,0,0
11,11,A,NA,NA,0,NA,NA,17,2007-04-11T09:57:20.000Z,PLN-ZONI-0000000011,Agriculture,0,0
12,12,A,NA,NA,0,NA,NA,17,2008-05-19T14:29:39.000Z,PLN-ZONI-0000000012,Agriculture,0,0
13,13,A,NA,NA,0,NA,NA,17,2007-10-11T08:46:53.000Z,PLN-ZONI-0000000013,Agriculture,0,0
14,14,A,NA,NA,0,NA,NA,17,2008-02-08T08:27:41.000Z,PLN-ZONI-0000000014,Agriculture,0,0
15,15,A,NA,NA,0,NA,NA,17,2010-07-27T09:28:19.000Z,PLN-ZONI-0000000015,Agriculture,0,0
16,16,R-2,NA,NA,0,NA,NA,2,2019-07-09T20:11:59.000Z,PLN-ZONI-0000000016,Two-Family Residential (Up to eight to sixteen Dwelling Units per Acre),2,0
17,17,A,NA,NA,0,NA,NA,17,2010-07-27T09:28:19.000Z,PLN-ZONI-0000000017,Agriculture,0,0
18,18,A,NA,NA,0,NA,NA,17,2010-07-27T09:28:19.000Z,PLN-ZONI-0000000018,Agriculture,0,0
19,19,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000019,Agriculture,0,0
20,20,A,NA,NA,0,NA,NA,17,2007-11-02T09:25:45.000Z,PLN-ZONI-0000000020,Agriculture,0,0
21,21,A,NA,NA,0,NA,NA,17,2007-11-02T09:19:38.000Z,PLN-ZONI-0000000021,Agriculture,0,0
22,22,A,NA,NA,0,NA,NA,17,2006-11-20T10:38:35.000Z,PLN-ZONI-0000000022,Agriculture,0,0
23,23,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000023,Agriculture,0,0
24,24,A,NA,NA,0,NA,NA,17,2007-09-20T14:12:32.000Z,PLN-ZONI-0000000024,Agriculture,0,0
25,25,A,NA,NA,0,NA,NA,17,2008-08-18T13:04:59.000Z,PLN-ZONI-0000000025,Agriculture,0,0
26,26,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000026,Agriculture,0,0
27,27,A,NA,NA,0,NA,NA,17,2010-10-29T09:02:06.000Z,PLN-ZONI-0000000027,Agriculture,0,0
28,28,A,NA,NA,0,NA,NA,17,2007-10-09T15:02:14.000Z,PLN-ZONI-0000000028,Agriculture,0,0
29,29,A,NA,NA,0,NA,NA,17,2012-04-18T15:20:14.000Z,PLN-ZONI-0000000029,Agriculture,0,0
30,30,A,NA,NA,0,NA,NA,17,2007-09-20T15:34:52.000Z,PLN-ZONI-0000000030,Agriculture,0,0
31,31,A,NA,NA,0,NA,NA,17,2007-09-20T15:34:52.000Z,PLN-ZONI-0000000031,Agriculture,0,0
32,32,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000032,Agriculture,0,0
