id,general_pl,Zoning
0,NA,NA
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,0
5,NA,NA
6,NA,NA
7,NA,NA
8,NA,NA
9,NA,NA
10,NA,NA
11,NA,NA
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
16,NA,NA
17,NA,NA
18,NA,NA
19,NA,NA
20,NA,NA
21,NA,NA
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
28,NA,2
29,NA,NA
30,NA,NA
31,NA,NA
32,NA,NA
33,NA,NA
35,NA,NA
36,NA,NA
37,NA,NA
38,NA,NA
39,NA,NA
40,NA,NA
41,NA,NA
42,NA,NA
43,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,NA,NA
49,NA,NA
50,NA,NA
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,Downtown Retail Core,NA
66,Downtown Retail Core,NA
67,Downtown Retail Core,NA
68,Downtown Retail Core,NA
69,Downtown Retail Core,NA
70,Downtown Retail Core,NA
71,Downtown Retail Core,NA
72,Downtown Retail Core,NA
73,Downtown Retail Core,NA
74,Downtown Retail Core,NA
75,Downtown Retail Core,NA
76,Downtown Retail Core,NA
77,Downtown Retail Core,NA
78,Downtown Retail Core,NA
79,Downtown Retail Core,NA
80,Downtown Retail Core,NA
81,Downtown Retail Core,NA
82,Downtown Retail Core,NA
83,Downtown Retail Core,NA
84,Downtown Retail Core,NA
85,Downtown Retail Core,NA
86,Downtown Retail Core,NA
87,Downtown Retail Core Support,NA
88,Downtown Retail Core Support,NA
89,Downtown Retail Core Support,NA
90,Downtown Retail Core Support,NA
91,Downtown Retail Core Support,NA
92,Downtown Retail Core Support,NA
93,Downtown Retail Core Support,NA
94,Downtown Retail Core Support,NA
95,Downtown Retail Core Support,NA
96,Downtown Retail Core Support,NA
97,Downtown Retail Core Support,NA
98,Downtown Retail Core Support,NA
99,Downtown Retail Core Support,NA
100,Downtown Retail Core Support,NA
101,Downtown Retail Core Support,NA
102,Downtown Retail Core Support,NA
103,Downtown Retail Core Support,NA
104,Executive Office,NA
105,Executive Office,NA
106,Executive Office,NA
107,Executive Office,NA
108,Executive Office,NA
109,Executive Office,NA
110,Executive Office,NA
111,Executive Office,NA
112,Executive Office,NA
113,Executive Office,NA
114,Executive Office,NA
115,Executive Office,NA
116,Executive Office,NA
117,Executive Office,NA
118,Executive Office,NA
119,Executive Office,NA
120,Executive Office,NA
121,Executive Office,NA
122,Executive Office,NA
123,Executive Office,NA
124,Executive Office,NA
125,Executive Office,NA
126,Executive Office,NA
127,Executive Office,NA
128,Executive Office,NA
129,Executive Office,NA
130,Executive Office,NA
131,Executive Office,NA
132,Executive Office,NA
133,Executive Office,NA
134,Executive Office,NA
135,Executive Office,NA
136,Executive Office,NA
137,Executive Office,NA
138,Executive Office,NA
139,Executive Office,NA
140,Executive Office,NA
141,Executive Office,NA
142,Executive Office,NA
143,Executive Office,NA
144,Executive Office,NA
145,Executive Office,NA
146,Executive Office,NA
147,Executive Office,0
148,Executive Office,NA
149,Executive Office,NA
150,Executive Office,NA
151,Executive Office,NA
152,Executive Office,NA
153,Executive Office,NA
154,Executive Office,NA
155,Executive Office,NA
156,Executive Office,NA
157,Executive Office,NA
158,Executive Office &Med Density Multi-Family (split LU),2
159,Executive Office/ High Density Multi-Family,2
160,Executive Office/ High Density Multi-Family,2
161,Executive Office/ High Density Multi-Family,2
162,Executive Office/ High Density Multi-Family,2
163,Executive Office/ High Density Multi-Family,2
164,Executive Office/ High Density Multi-Family,2
165,Executive Office/ High Density Multi-Family,2
166,Executive Office/ High Density Multi-Family,2
167,Executive Office/ High Density Multi-Family,2
168,Executive Office/ High Density Multi-Family,2
169,Executive Office/ High Density Multi-Family,2
