gnrl_p_,id,edtd_nm_x,edt_g__,edtd_nm_y,zoning
HDR,0,HDR,HDR,HDR,2
HDR,1,HDR,HDR,HDR,2
HR,2,HR,HR,HR,1
HDR,3,HDR,HDR,HDR,2
2/3MU,4,2/3MU,2/3MU,2/3MU,0
2/3MU,5,2/3MU,2/3MU,2/3MU,0
2/3MU,6,2/3MU,2/3MU,2/3MU,0
2/3MU,7,2/3MU,2/3MU,2/3MU,0
2/3MU,8,2/3MU,2/3MU,2/3MU,0
2/3MU,9,2/3MU,2/3MU,2/3MU,0
2/3MU,10,2/3MU,2/3MU,2/3MU,0
2/3MU,11,2/3MU,2/3MU,2/3MU,0
2/3MU,12,2/3MU,2/3MU,2/3MU,0
2/3MU,13,2/3MU,2/3MU,2/3MU,0
2/3MU,14,2/3MU,2/3MU,2/3MU,0
2/3MU,15,2/3MU,2/3MU,2/3MU,0
2/3MU,16,2/3MU,2/3MU,2/3MU,0
2/3MU,17,2/3MU,2/3MU,2/3MU,0
2/3MU,18,2/3MU,2/3MU,2/3MU,0
2/3MU,19,2/3MU,2/3MU,2/3MU,0
2/3MU,20,2/3MU,2/3MU,2/3MU,0
2/3MU,21,2/3MU,2/3MU,2/3MU,0
2/3MU,22,2/3MU,2/3MU,2/3MU,0
2/3MU,23,2/3MU,2/3MU,2/3MU,0
2/3MU,24,2/3MU,2/3MU,2/3MU,0
2/3MU,25,2/3MU,2/3MU,2/3MU,0
2/3MU,26,2/3MU,2/3MU,2/3MU,0
2/3MU,27,2/3MU,2/3MU,2/3MU,0
2/3MU,28,2/3MU,2/3MU,2/3MU,0
2/3MU,29,2/3MU,2/3MU,2/3MU,0
2/3MU,30,2/3MU,2/3MU,2/3MU,0
2/3MU,31,2/3MU,2/3MU,2/3MU,0
2/3MU,32,2/3MU,2/3MU,2/3MU,0
2/3MU,33,2/3MU,2/3MU,2/3MU,0
2/3MU,34,2/3MU,2/3MU,2/3MU,0
2/3MU,35,2/3MU,2/3MU,2/3MU,0
4SRC,36,4SRC,4SRC,4SRC,0
4SRC,37,4SRC,4SRC,4SRC,0
4SRC,38,4SRC,4SRC,4SRC,0
4SRC,39,4SRC,4SRC,4SRC,0
4SRC,40,4SRC,4SRC,4SRC,0
4SRC,41,4SRC,4SRC,4SRC,0
4SRC,42,4SRC,4SRC,4SRC,0
4SRC,43,4SRC,4SRC,4SRC,0
4SRC,44,4SRC,4SRC,4SRC,0
4SRC,45,4SRC_MF,4SRC_MF,4SRC_MF,2
4SRC,46,4SRC,4SRC,4SRC,0
4SRC,47,4SRC,4SRC,4SRC,0
4SRC,48,4SRC,4SRC,4SRC,0
4SRC,49,4SRC,4SRC,4SRC,0
4SRC,50,4SRC,4SRC,4SRC,0
5MR/O,51,5MR/O,5MR/O,5MR/O,0
5MR/O,52,5MR/O,5MR/O,5MR/O,0
5MR/O,53,5MR/O_MF,5MR/O_MF,5MR/O_MF,2
5MR/O,54,5MR/O,5MR/O,5MR/O,0
5MR/O,55,5MR/O,5MR/O,5MR/O,0
5MR/O,56,5MR/O,5MR/O,5MR/O,0
5MR/O,57,5MR/O_SF,5MR/O_SF,5MR/O_SF,1
5MR/O,58,5MR/O,5MR/O,5MR/O,0
5MR/O,59,5MR/O,5MR/O,5MR/O,0
5MR/O,60,5MR/O,5MR/O,5MR/O,0
5MR/O,61,5MR/O,5MR/O,5MR/O,0
5MR/O,62,5MR/O,5MR/O,5MR/O,0
5MR/O,63,5MR/O,5MR/O,5MR/O,0
5MR/O,64,5MR/O,5MR/O,5MR/O,0
5MR/O,65,5MR/O,5MR/O,5MR/O,0
5MR/O,66,5MR/O,5MR/O,5MR/O,0
5MR/O,67,5MR/O,5MR/O,5MR/O,0
5MR/O,68,5MR/O,5MR/O,5MR/O,0
5MR/O,69,5MR/O,5MR/O,5MR/O,0
5MR/O,70,5MR/O,5MR/O,5MR/O,0
5MR/O,71,5MR/O,5MR/O,5MR/O,0
AR,72,AR,AR,AR,0
C,73,C,C,C,0
C,74,C,C,C,0
C,75,C,C,C,0
C,76,C,C,C,0
C,77,C,C,C,0
C,78,C,C,C,0
LDR,79,LDR,LDR,LDR,1
LDR,80,LDR,LDR,LDR,1
LDR,81,LDR,LDR,LDR,1
LDR,82,LDR,LDR,LDR,1
LDR,83,LDR,LDR,LDR,1
LDR,84,LDR,LDR,LDR,1
LDR,85,LDR,LDR,LDR,1
LDR,86,LDR,LDR,LDR,1
LDR,87,LDR,LDR,LDR,1
LDR,88,LDR,LDR,LDR,1
LDR,89,LDR,LDR,LDR,1
LDR,90,LDR,LDR,LDR,1
LDR,91,LDR,LDR,LDR,1
LDR,92,LDR,LDR,LDR,1
GC,93,GC,GC,GC,0
GC,94,GC,GC,GC,0
GC,95,GC,GC,GC,0
GC,96,GC,GC,GC,0
GC,97,GC,GC,GC,0
GC,98,GC,GC,GC,0
GC,99,GC,GC,GC,0
GC,100,GC,GC,GC,0
GC,101,GC,GC,GC,0
GC,102,GC,GC,GC,0
GC,103,GC,GC,GC,0
GC,104,GC,GC,GC,0
GC,105,GC,GC,GC,0
GC,106,GC,GC,GC,0
GC,107,GC,GC,GC,0
GC,108,GC,GC,GC,0
GC,109,GC,GC,GC,0
GC,110,GC,GC,GC,0
GC,111,GC,GC,GC,0
GC,112,GC,GC,GC,0
GC,113,GC,GC,GC,0
GC,114,GC,GC,GC,0
GC,115,GC,GC,GC,0
GC,116,GC,GC,GC,0
GC,117,GC,GC,GC,0
GC,118,GC,GC,GC,0
GC,119,GC,GC,GC,0
GC,120,GC,GC,GC,0
GC,121,GC,GC,GC,0
GC,122,GC,GC,GC,0
GC,123,GC,GC,GC,0
GC,124,GC,GC,GC,0
GC,125,GC,GC,GC,0
GC,126,GC,GC,GC,0
GC,127,GC,GC,GC,0
GC,128,GC,GC,GC,0
GC,129,GC,GC,GC,0
GC,130,GC,GC,GC,0
GC,131,GC,GC,GC,0
GC,132,GC,GC,GC,0
GC,133,GC,GC,GC,0
GC,134,GC,GC,GC,0
HDR,135,HDR,HDR,HDR,2
HDR,136,HDR,HDR,HDR,2
HDR,137,HDR,HDR,HDR,2
HDR,138,HDR,HDR,HDR,2
HDR,139,HDR,HDR,HDR,2
HDR,140,HDR,HDR,HDR,2
HDR,141,HDR,HDR,HDR,2
HDR,142,HDR,HDR,HDR,2
HDR,143,HDR,HDR,HDR,2
HDR,144,HDR,HDR,HDR,2
HDR,145,HDR,HDR,HDR,2
HDR,146,HDR,HDR,HDR,2
HDR,147,HDR,HDR,HDR,2
HDR,148,HDR,HDR,HDR,2
HDR,149,HDR,HDR,HDR,2
HDR,150,HDR,HDR,HDR,2
HDR,151,HDR,HDR,HDR,2
HDR,152,HDR,HDR,HDR,2
HDR,153,HDR,HDR,HDR,2
HDR,154,HDR,HDR,HDR,2
HDR,155,HDR,HDR,HDR,2
HDR,156,HDR,HDR,HDR,2
HDR,157,HDR,HDR,HDR,2
HDR,158,HDR,HDR,HDR,2
HDR,159,HDR,HDR,HDR,2
HDR,160,HDR,HDR,HDR,2
HDR,161,HDR,HDR,HDR,2
HDR,162,HDR,HDR,HDR,2
HDR,163,HDR,HDR,HDR,2
HDR,164,HDR,HDR,HDR,2
HDR,165,HDR,HDR,HDR,2
HDR,166,HDR,HDR,HDR,2
HDR,167,HDR,HDR,HDR,2
HDR,168,HDR,HDR,HDR,2
HDR,169,HDR,HDR,HDR,2
HDR,170,HDR,HDR,HDR,2
HDR,171,HDR,HDR,HDR,2
HDR,172,HDR,HDR,HDR,2
HDR,173,HDR,HDR,HDR,2
HDR,174,HDR,HDR,HDR,2
HDR,175,HDR,HDR,HDR,2
HDR,176,HDR,HDR,HDR,2
HDR,177,HDR,HDR,HDR,2
HDR,178,HDR,HDR,HDR,2
HDR,179,HDR,HDR,HDR,2
HDR,180,HDR,HDR,HDR,2
HDR,181,HDR,HDR,HDR,2
HDR,182,HDR,HDR,HDR,2
HDR,183,HDR,HDR,HDR,2
HDR,184,HDR,HDR,HDR,2
HDR,185,HDR,HDR,HDR,2
