Entity,Layer,Color,Linetyp,Elevatn,LineWt,RefName,Symblgy,Red,Green,Blue,Shp_STA,Shp_STL,gnrl_p_,id,edt_g__,zoning
LWPolyline,ZM-RC,7,Continuous,0,25,NA,RC,238,255,153,367416.269531,2463.16423857,RC,1,RC,1
LWPolyline,ZM-AG,7,Continuous,0,25,NA,AG,129,129,0,79541.203125,1301.50004427,AG,2,AG,0
LWPolyline,ZM-RE-B,7,Continuous,0,25,NA,RE-B,255,255,163,95658.8183594,1655.3990581,RE-B,3,RE-B,1
LWPolyline,ZM-RM-R,7,Continuous,0,25,NA,RM,214,173,92,494482.293945,3686.38997156,RM,4,RM,2
LWPolyline,ZM-RMH-R,7,Continuous,0,25,NA,RMH,209,156,71,387838.09375,2857.57704685,RMH,5,RMH,2
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,54741.1757813,1306.50181358,OS-1,6,OS-1,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,153543.021484,2261.57248268,P,7,P,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,45169.6689453,1102.97624812,OS-1,8,OS-1,0
LWPolyline,ZM-RMH-R,7,Continuous,0,25,NA,RMH,209,156,71,478969.769531,2971.1426285,RMH,9,RMH,2
LWPolyline,ZM-RH-R,7,Continuous,0,25,NA,RH,0,0,0,807833.352539,4581.27789009,RH,10,RH,2
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,240837.996094,2090.32293331,SP_MF,11,SP_MF,2
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,870739.910156,6041.79519596,SP_NonRes,12,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,38349.7714844,838.735020727,SP_NonRes,13,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,481259.621094,2946.99275005,SP_NonRes,14,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,220194.770508,1903.82328947,SP_NonRes,15,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,133526.527344,1604.50215759,SP_NonRes,16,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,101410.849609,1483.08639205,SP_NonRes,17,SP_NonRes,0
