OBJECTID,ZONGDSGN,CSCVOTEDIS,LNDPARSTAT,SHAPESTAre,SHAPESTLen,Zoning,Row_num
1,PD - Planned Development,NA,Active,1200.5174649459573,153.35751531703482,2,1
2,PD - Planned Development,NA,Active,1077.0135712384472,142.99932449030504,2,2
3,PD - Planned Development,NA,Active,1227.1092200013486,147.27487884719943,2,3
4,PD - Planned Development,NA,Active,1124.0599895913028,149.84157675740272,2,4
5,PD - Planned Development,NA,Active,1160.963730227947,149.58820494440835,2,5
6,PD - Planned Development,NA,Active,1121.168718333292,149.64051151265863,2,6
7,PD - Planned Development,NA,Active,1239.3524151925812,157.0231944581094,2,7
8,PD - Planned Development,NA,Active,1011.8555166048677,137.42832203731606,2,8
9,PD - Planned Development,NA,Active,1183.6926474679317,152.41646582289172,2,9
10,PD - Planned Development,NA,Active,477890.31577236834,2803.256636831367,2,10
11,PD - Planned Development,NA,Active,1579.9461306549147,174.9095740037541,2,11
12,PD-MC - Planned Development - Master Community,NA,Active,1982.4606493760584,185.94735713623677,1,12
13,PD-MC - Planned Development - Master Community,NA,Active,54385.648364733235,962.4643253846406,0,13
14,PD-MC - Planned Development - Master Community,NA,Active,2556.2875667991557,207.90688030530106,1,14
15,PD-MC - Planned Development - Master Community,NA,Active,1878.5748081648098,188.84297817195377,1,15
16,PD-MC - Planned Development - Master Community,NA,Active,154253.00395866705,1840.6654431589711,2,16
17,PD - Planned Development,NA,Active,53240.431219948456,4240.730815922402,1,17
18,PD - Planned Development,NA,Active,444202.7216655165,3543.960603387829,2,18
19,CT - Thoroughfare Commercial,NA,Active,29001.08612106667,780.0215359255001,0,19
20,CT - Thoroughfare Commercial,NA,Active,29001.007733243045,780.020011070065,0,20
21,B - Public or Quasi Public,NA,Active,392011.1043449467,2565.837200139224,0,21
22,PD - Planned Development,NA,Active,1464.9160368442608,170.6435535633261,2,22
23,PD - Planned Development,NA,Active,1300.568316432461,156.17028397952805,2,23
24,PD - Planned Development,NA,Active,1300.1522832882556,156.1548761641311,2,24
25,PD - Planned Development,NA,Active,1379.661750637535,165.5428973380395,2,25
26,PD - Planned Development,NA,Active,1456.7218261784556,169.16150972303686,2,26
27,PD - Planned Development,NA,Active,1380.2373523570232,166.03354953769195,2,27
28,PD - Planned Development,NA,Active,2690.1732844842763,211.90582350665045,2,28
29,PD - Planned Development,NA,Active,1457.206957454985,169.16935605809914,2,29
30,PD - Planned Development,NA,Active,1356.2776303455735,164.08042171006886,2,30
31,PD - Planned Development,NA,Active,3059.199467458835,222.14418900694676,2,31
32,PD - Planned Development,NA,Active,1251.9417273720264,152.15008743497305,2,32
33,PD - Planned Development,NA,Active,2966.2723320041805,219.0799549758583,2,33
34,PD - Planned Development,NA,Active,2447.7037284093058,198.1565159401516,2,34
35,PD - Planned Development,NA,Active,2107.007597119724,230.24815911973855,2,35
36,PD - Planned Development,NA,Active,3199.936955005851,239.99835825418964,2,36
37,PD - Planned Development,NA,Active,3200.4140521360096,240.0120903816775,2,37
38,PD - Planned Development,NA,Active,3558.352381557266,253.6746769581378,2,38
39,PD - Planned Development,NA,Active,3391.950705428124,249.59248098231518,2,39
40,PD-MC - Planned Development - Master Community,NA,Active,2368.419075402473,244.24233442326744,1,40
41,PD-MC - Planned Development - Master Community,NA,Active,1950.2081171604004,189.60641031483658,1,41
42,PD-MC - Planned Development - Master Community,NA,Active,2475.9945591848373,205.9740390652819,1,42
43,PD - Planned Development,NA,Active,214652.3496582231,1992.384874307657,2,43
44,PD-MC - Planned Development - Master Community,NA,Active,3329.877291127934,249.41128535503182,1,44
45,PD-MC - Planned Development - Master Community,NA,Active,3505.995658074291,257.1580421535298,1,45
46,PD-MC - Planned Development - Master Community,NA,Active,5232.638975040765,290.28968594960963,1,46
47,PD-MC - Planned Development - Master Community,NA,Active,2575.234229598873,226.8457344958917,1,47
48,PD-MC - Planned Development - Master Community,NA,Active,4195.786274418988,282.01988730860336,1,48
49,PD-MC - Planned Development - Master Community,NA,Active,3617.319170070754,263.99736202756515,1,49
50,PD-MC - Planned Development - Master Community,NA,Active,3287.7284900174072,249.42589271922787,1,50
51,R3-25D - Moderate Density Multiple Dwelling,NA,Active,33657.09292810924,944.3118961937494,2,51
52,R3-25D - Moderate Density Multiple Dwelling,NA,Active,87293.21649692356,1450.0659687945022,2,52
53,PD-MC - Planned Development - Master Community,NA,Active,3667.6108334822884,261.4635790961774,1,53
54,PD-MC - Planned Development - Master Community,NA,Active,3437.641051382565,256.3193476503852,1,54
