gnrl_p_,LABEL,id,edt_g__,zonng_d,zoning
Agriculture,RR-40,1,RR-40,8,1
Agriculture,RR-40,2,RR-40,8,1
Agriculture,RR-40,3,RR-40,8,1
Agriculture,RR-40,4,RR-40,8,1
Agriculture,PD,5,PD__NonRes,14,0
Agriculture,RR-20,6,RR-20,15,1
Agriculture,RR-20,7,RR-20,15,1
Agriculture,RR-40,8,RR-40,8,1
Agriculture,RR-40,9,RR-40,8,1
Agriculture,PD-RC,10,PD-RC__NonRes,22,0
Agriculture,PD-G,11,PD-G__NonRes,25,0
Agriculture,PD,12,PD__NonRes,14,0
Agriculture,PI-RC,13,PI-RC,28,0
Agriculture,RR-40,14,RR-40,8,1
Agriculture,RR-20,15,RR-20,15,1
Agriculture,PD,16,PD__NonRes,14,0
Agriculture,PD-G,17,PD-G__NonRes,25,0
Agriculture,MH,18,MH,29,2
Agriculture,R-1-6,19,R-1-6,33,1
Agriculture,RR-40,20,RR-40,8,1
Agriculture,RR-40,21,RR-40,8,1
Agriculture,PD,22,PD__NonRes,14,0
Agriculture,R-1-6-RC,23,R-1-6-RC,39,1
Agriculture,PD-RC,24,PD-RC__NonRes,22,0
Agriculture,CO-G-RC,25,CO-G-RC,39,0
Agriculture,PD-RC,26,PD-RC__NonRes,22,0
Agriculture,RR-20-RC,27,RR-20-RC,39,1
Agriculture,R-1-6-RC,28,R-1-6-RC,39,1
Agriculture,R-1-6-RC,29,R-1-6-RC,39,1
Agriculture,R-1-6-RC,30,R-1-6-RC,39,1
Agriculture,R-1-6-RC,31,R-1-6-RC,39,1
Agriculture,R-1-6-RC,32,R-1-6-RC,39,1
Agriculture,RR-20-RC,33,RR-20-RC,39,1
Agriculture,RR-20-RC,34,RR-20-RC,39,1
Business Park,IG,35,IG,80,0
Business Park,OSR,36,OSR,80,0
Business Park,BP,37,BP,80,0
Business Park,PD,38,PD__NonRes,14,0
Business Park,BP,39,BP,80,0
Business Park,PD,40,PD__NonRes,14,0
Business Park,PI,41,PI,83,0
Business Park,PD,42,PD__NonRes,14,0
Business Park,BP-SA,43,BP-SA,84,0
Business Park,R-3-30-SA,44,R-3-30-SA,85,2
Business Park,BP-SA,45,BP-SA,84,0
Business Park,R-3-30-SA,46,R-3-30-SA,85,2
Business Park,IL-SA,47,IL-SA,86,0
Business Park,BP-SA,48,BP-SA,84,0
Business Park,PD-RC,49,PD-RC__NonRes,22,0
Business Park,OSC,50,OSC,88,0
Business Park,R-1-6,51,R-1-6,33,1
Country Residential,PD-RC,52,PD-RC__SF,120,1
